col_1,col_2,col_3,order,division
,United States Senator - Republican,,1,All
,Lou Barletta,Jim Christiana,2,All
Lou Barletta,"7,501",0,3,All
Jim Christiana,,"6,082",4,All
Total,"7,501","6,082",5,All
