col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Noam Kugelmass,Darrell L Clarke,Judi Golding Baker,Joe Celentano,Jon Geeting,Matthew D Myers,2,All
Torri Douglas,143,408,381,387,0,0,0,0,0,0,0,0,0,0,0,0,0,3,All
Marisa Piccarreto,,85,390,383,0,0,0,0,0,0,0,0,0,0,0,0,0,4,All
Kyle Shenandoah,,,48,379,0,0,0,0,0,0,0,0,0,0,0,0,0,5,All
Kyle J Sampson,,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,6,All
Rhea Powell,,,,,47,155,155,141,136,116,126,118,91,123,96,62,56,7,All
Amanda Mcillmurray,,,,,,6,150,128,97,76,122,81,66,110,65,57,51,8,All
Marylouise Isaacson,,,,,,,5,138,106,90,120,80,81,107,55,56,63,9,All
Andi Perez,,,,,,,,4,109,87,111,85,81,90,66,60,51,10,All
Micah Mahjoubian,,,,,,,,,7,105,90,103,76,64,82,48,49,11,All
Tom Young,,,,,,,,,,10,66,91,64,50,87,50,45,12,All
Mariel J K Martin,,,,,,,,,,,0,67,69,88,44,40,50,13,All
Noam Kugelmass,,,,,,,,,,,,8,46,54,74,44,34,14,All
Darrell L Clarke,,,,,,,,,,,,,19,60,33,32,51,15,All
Judi Golding Baker,,,,,,,,,,,,,,0,39,35,37,16,All
Joe Celentano,,,,,,,,,,,,,,,11,44,25,17,All
Jon Geeting,,,,,,,,,,,,,,,,4,25,18,All
Matthew D Myers,,,,,,,,,,,,,,,,,3,19,All
Total,569,518,457,444,290,202,198,193,184,168,161,152,147,136,135,91,87,20,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,1
,Rhea Powell,Darrell L Clarke,Micah Mahjoubian,Marylouise Isaacson,Tom Young,Andi Perez,Noam Kugelmass,Mariel J K Martin,Joe Celentano,Amanda Mcillmurray,Jon Geeting,Judi Golding Baker,Matthew D Myers,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,1
Rhea Powell,3,9,18,16,14,15,19,14,12,12,9,11,5,0,0,0,0,3,1
Darrell L Clarke,,6,13,13,13,10,9,10,6,7,8,6,10,0,0,0,0,4,1
Micah Mahjoubian,,,0,16,15,15,16,16,9,10,7,6,9,0,0,0,0,5,1
Marylouise Isaacson,,,,0,12,19,12,18,6,14,9,11,7,0,0,0,0,6,1
Tom Young,,,,,1,10,14,8,12,4,9,4,8,0,0,0,0,7,1
Andi Perez,,,,,,0,10,15,7,11,10,11,6,0,0,0,0,8,1
Noam Kugelmass,,,,,,,1,10,11,8,8,7,4,0,0,0,0,9,1
Mariel J K Martin,,,,,,,,0,3,14,6,8,7,0,0,0,0,10,1
Joe Celentano,,,,,,,,,2,4,8,4,3,0,0,0,0,11,1
Amanda Mcillmurray,,,,,,,,,,0,6,10,4,0,0,0,0,12,1
Jon Geeting,,,,,,,,,,,2,7,4,0,0,0,0,13,1
Judi Golding Baker,,,,,,,,,,,,0,2,0,0,0,0,14,1
Matthew D Myers,,,,,,,,,,,,,1,0,0,0,0,15,1
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,1
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,1
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,1
Torri Douglas,,,,,,,,,,,,,,,,,0,19,1
Total,30,27,27,24,23,22,22,21,17,16,16,13,12,0,0,0,0,20,1
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,2
,Rhea Powell,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Darrell L Clarke,Joe Celentano,Tom Young,Amanda Mcillmurray,Mariel J K Martin,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Matthew D Myers,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,2
Rhea Powell,12,21,20,14,17,14,14,15,17,18,12,9,7,0,0,0,0,3,2
Andi Perez,,1,19,14,11,11,11,15,16,12,11,10,5,0,0,0,0,4,2
Marylouise Isaacson,,,0,12,10,9,7,18,13,13,8,9,7,0,0,0,0,5,2
Micah Mahjoubian,,,,3,10,11,8,9,10,9,13,9,5,0,0,0,0,6,2
Darrell L Clarke,,,,,3,8,8,7,11,12,5,7,4,0,0,0,0,7,2
Joe Celentano,,,,,,3,10,7,8,9,9,5,4,0,0,0,0,8,2
Tom Young,,,,,,,4,3,6,5,8,6,2,0,0,0,0,9,2
Amanda Mcillmurray,,,,,,,,1,12,11,5,5,6,0,0,0,0,10,2
Mariel J K Martin,,,,,,,,,0,11,6,6,6,0,0,0,0,11,2
Judi Golding Baker,,,,,,,,,,0,5,4,4,0,0,0,0,12,2
