col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,2,All
Mike Stack,156,0,0,0,0,372,311,294,259,276,247,240,183,189,3,All
John Fetterman,,82,0,0,0,112,99,98,81,88,90,77,68,53,4,All
Kathi Cozzone,,,22,0,0,81,108,107,58,47,44,45,36,34,5,All
Nina Ahmad,,,,22,0,72,101,91,85,68,56,74,54,50,6,All
Ray Sosa,,,,,3,10,14,11,11,9,7,4,2,8,7,All
James Harrity,,,,,,4,422,391,382,387,363,327,259,269,8,All
Meagan Ingerson,,,,,,,6,423,376,333,308,314,235,223,9,All
Mona Getzes Cohen,,,,,,,,7,339,310,281,285,214,218,10,All
Erica Vanstone,,,,,,,,,0,370,324,339,270,262,11,All
Richard Lombardo,,,,,,,,,,2,336,312,233,252,12,All
Frank T Brzozowski,,,,,,,,,,,3,275,213,223,13,All
Catherine Bartch,,,,,,,,,,,,0,257,233,14,All
Marnie Aument Loughrey,,,,,,,,,,,,,0,181,15,All
Billy Cortes,,,,,,,,,,,,,,0,16,All
Total,747,253,185,165,23,661,647,617,501,496,453,442,346,336,17,All
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Mona Getzes Cohen,James Harrity,Richard Lombardo,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,1
Mike Stack,8,0,0,0,0,7,6,6,4,5,6,5,5,3,3,1
Nina Ahmad,,3,0,0,0,5,4,5,4,4,2,3,2,1,4,1
John Fetterman,,,0,0,0,5,2,3,2,2,2,2,1,2,5,1
Kathi Cozzone,,,,1,0,4,2,0,2,0,0,0,0,0,6,1
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,7,1
Mona Getzes Cohen,,,,,,0,11,8,10,9,8,8,7,6,8,1
James Harrity,,,,,,,1,8,9,8,9,7,7,5,9,1
