col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Judi Golding Baker,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Noam Kugelmass,Mariel J K Martin,Darrell L Clarke,Tom Young,Joe Celentano,Matthew D Myers,Jon Geeting,2,All
Dwight Evans,655,0,"1,977","1,885","1,695","1,490","1,344","1,266","1,266","1,189","1,243","1,163",950,731,674,3,All
Kevin Johnson,,153,365,415,363,345,299,288,272,279,192,265,228,160,166,4,All
Judi Golding Baker,,,19,"1,355","1,414","1,300","1,036",852,877,987,913,706,557,648,484,5,All
Rhea Powell,,,,34,"1,533","1,436","1,214","1,162","1,079","1,142",810,"1,050",909,537,560,6,All
Marylouise Isaacson,,,,,4,"1,489","1,254","1,061",998,"1,184",869,907,721,613,534,7,All
Amanda Mcillmurray,,,,,,5,"1,099",887,884,"1,108",735,804,682,526,501,8,All
Andi Perez,,,,,,,1,903,832,952,739,745,632,513,531,9,All
Micah Mahjoubian,,,,,,,,4,845,758,594,809,717,397,383,10,All
Noam Kugelmass,,,,,,,,,9,671,555,803,648,442,436,11,All
Mariel J K Martin,,,,,,,,,,1,632,679,529,455,361,12,All
Darrell L Clarke,,,,,,,,,,,16,539,376,522,360,13,All
Tom Young,,,,,,,,,,,,6,779,435,434,14,All
Joe Celentano,,,,,,,,,,,,,4,299,386,15,All
Matthew D Myers,,,,,,,,,,,,,,5,289,16,All
Jon Geeting,,,,,,,,,,,,,,,3,17,All
Total,"4,071",869,"2,436","2,413","2,147","1,915","1,696","1,607","1,601","1,527","1,489","1,489","1,222",920,873,18,All
