col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,All
,Scott R Wagner,Laura Ellsworth,Paul Mango,Pearl Kim,Paul D Addis,2,All
Scott R Wagner,11,0,0,6,0,3,All
Laura Ellsworth,,5,0,4,0,4,All
Paul Mango,,,4,1,0,5,All
Pearl Kim,,,,1,0,6,All
Paul D Addis,,,,,0,7,All
Total,17,9,5,12,0,8,All
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,1
,Scott R Wagner,Laura Ellsworth,Paul Mango,Paul D Addis,Pearl Kim,2,1
Scott R Wagner,2,0,0,0,0,3,1
Laura Ellsworth,,1,0,0,0,4,1
Paul Mango,,,0,0,0,5,1
Paul D Addis,,,,0,0,6,1
Pearl Kim,,,,,0,7,1
Total,2,1,0,0,0,8,1
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,2
,Laura Ellsworth,Scott R Wagner,Paul Mango,Paul D Addis,Pearl Kim,2,2
Laura Ellsworth,1,0,0,0,0,3,2
Scott R Wagner,,1,0,0,0,4,2
Paul Mango,,,0,0,0,5,2
Paul D Addis,,,,0,0,6,2
Pearl Kim,,,,,0,7,2
Total,1,1,0,0,0,8,2
,Representative In Congress 5th District - Republican,,Governor - Republican,,,1,4
,Pearl Kim,Paul D Addis,Scott R Wagner,Laura Ellsworth,Paul Mango,2,4
Pearl Kim,0,0,1,0,0,3,4
Paul D Addis,,0,0,0,0,4,4
Scott R Wagner,,,0,0,0,5,4
Laura Ellsworth,,,,0,0,6,4
Paul Mango,,,,,0,7,4
Total,1,0,1,0,0,8,4
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,5
,Paul Mango,Laura Ellsworth,Scott R Wagner,Paul D Addis,Pearl Kim,2,5
Paul Mango,1,0,0,0,0,3,5
Laura Ellsworth,,0,0,0,0,4,5
Scott R Wagner,,,0,0,0,5,5
Paul D Addis,,,,0,0,6,5
Pearl Kim,,,,,0,7,5
Total,1,0,0,0,0,8,5
,Representative In Congress 5th District - Republican,,Governor - Republican,,,1,10
,Pearl Kim,Paul D Addis,Scott R Wagner,Laura Ellsworth,Paul Mango,2,10
Pearl Kim,0,0,4,2,1,3,10
Paul D Addis,,0,0,0,0,4,10
Scott R Wagner,,,1,0,0,5,10
Laura Ellsworth,,,,0,0,6,10
Paul Mango,,,,,1,7,10
Total,7,0,5,2,2,8,10
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,11
,Laura Ellsworth,Paul Mango,Scott R Wagner,Paul D Addis,Pearl Kim,2,11
Laura Ellsworth,1,0,0,0,0,3,11
Paul Mango,,0,0,0,0,4,11
Scott R Wagner,,,0,0,0,5,11
Paul D Addis,,,,0,0,6,11
Pearl Kim,,,,,0,7,11
Total,1,0,0,0,0,8,11
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,16
,Scott R Wagner,Laura Ellsworth,Paul Mango,Paul D Addis,Pearl Kim,2,16
Scott R Wagner,2,0,0,0,0,3,16
Laura Ellsworth,,0,0,0,0,4,16
Paul Mango,,,0,0,0,5,16
Paul D Addis,,,,0,0,6,16
Pearl Kim,,,,,0,7,16
Total,2,0,0,0,0,8,16
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,Paul D Addis,Pearl Kim,2,17
Paul Mango,1,0,0,0,0,3,17
Scott R Wagner,,1,0,0,0,4,17
Laura Ellsworth,,,0,0,0,5,17
Paul D Addis,,,,0,0,6,17
Pearl Kim,,,,,0,7,17
Total,1,1,0,0,0,8,17
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,20
,Scott R Wagner,Laura Ellsworth,Paul Mango,Paul D Addis,Pearl Kim,2,20
Scott R Wagner,2,0,0,0,0,3,20
Laura Ellsworth,,0,0,0,0,4,20
Paul Mango,,,0,0,0,5,20
Paul D Addis,,,,0,0,6,20
Pearl Kim,,,,,0,7,20
Total,2,0,0,0,0,8,20
,Representative In Congress 5th District - Republican,,Governor - Republican,,,1,22
,Pearl Kim,Paul D Addis,Laura Ellsworth,Paul Mango,Scott R Wagner,2,22
Pearl Kim,1,0,0,0,0,3,22
Paul D Addis,,0,0,0,0,4,22
Laura Ellsworth,,,0,0,0,5,22
Paul Mango,,,,0,0,6,22
Scott R Wagner,,,,,0,7,22
Total,1,0,0,0,0,8,22
,Representative In Congress 5th District - Republican,,Governor - Republican,,,1,24
,Pearl Kim,Paul D Addis,Scott R Wagner,Laura Ellsworth,Paul Mango,2,24
Pearl Kim,0,0,1,1,0,3,24
Paul D Addis,,0,0,0,0,4,24
Scott R Wagner,,,1,0,0,5,24
Laura Ellsworth,,,,0,0,6,24
Paul Mango,,,,,0,7,24
Total,2,0,2,1,0,8,24
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,25
,Laura Ellsworth,Scott R Wagner,Paul Mango,Pearl Kim,Paul D Addis,2,25
Laura Ellsworth,1,0,0,1,0,3,25
Scott R Wagner,,1,0,0,0,4,25
Paul Mango,,,0,0,0,5,25
Pearl Kim,,,,0,0,6,25
Paul D Addis,,,,,0,7,25
Total,2,1,0,1,0,8,25
,Governor - Republican,,,Representative In Congress 5th District - Republican,,1,26
,Laura Ellsworth,Paul Mango,Scott R Wagner,Paul D Addis,Pearl Kim,2,26
Laura Ellsworth,1,0,0,0,0,3,26
Paul Mango,,1,0,0,0,4,26
Scott R Wagner,,,0,0,0,5,26
Paul D Addis,,,,0,0,6,26
Pearl Kim,,,,,0,7,26
Total,1,1,0,0,0,8,26
