col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,8
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,2,8
Paul Mango,2,0,0,3,3,4,3,2,3,8
Scott R Wagner,,1,0,4,3,2,2,2,4,8
Laura Ellsworth,,,0,1,1,0,0,0,5,8
Camille G Mccolgan,,,,0,6,1,2,4,6,8
Margaret L Recupido,,,,,0,1,3,4,7,8
Joseph Giedemann,,,,,,0,3,0,8,8
Dan Tinney,,,,,,,0,1,9,8
Linwood Holland,,,,,,,,0,10,8
Total,10,6,1,8,7,6,5,4,11,8
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,9
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
Camille G Mccolgan,0,13,18,10,9,10,10,5,3,9
Joseph Giedemann,,0,11,12,5,13,9,1,4,9
Margaret L Recupido,,,0,9,8,9,8,3,5,9
Dan Tinney,,,,0,2,10,7,1,6,9
Linwood Holland,,,,,1,3,7,1,7,9
Paul Mango,,,,,,3,0,0,8,9
Scott R Wagner,,,,,,,1,0,9,9
Laura Ellsworth,,,,,,,,0,10,9
Total,25,23,20,18,12,23,16,5,11,9
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,10
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,10
Paul Mango,1,0,0,7,7,7,6,6,3,10
Scott R Wagner,,4,0,6,6,5,3,0,4,10
Laura Ellsworth,,,0,1,0,1,1,0,5,10
Camille G Mccolgan,,,,0,8,11,6,2,6,10
Linwood Holland,,,,,0,9,4,1,7,10
Margaret L Recupido,,,,,,0,6,3,8,10
Joseph Giedemann,,,,,,,0,4,9,10
Dan Tinney,,,,,,,,0,10,10
Total,15,12,2,14,13,13,10,6,11,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,11
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,Laura Ellsworth,Paul Mango,Scott R Wagner,2,11
Camille G Mccolgan,0,9,6,6,3,3,5,4,3,11
Margaret L Recupido,,0,6,6,3,4,3,3,4,11
Joseph Giedemann,,,0,7,0,4,1,4,5,11
Dan Tinney,,,,0,1,3,1,4,6,11
Linwood Holland,,,,,0,2,3,3,7,11
Laura Ellsworth,,,,,,1,0,0,8,11
Paul Mango,,,,,,,2,0,9,11
Scott R Wagner,,,,,,,,0,10,11
Total,12,10,9,8,8,8,8,8,11,11
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,12
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,Margaret L Recupido,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
Camille G Mccolgan,0,14,14,9,14,12,8,3,3,12
Joseph Giedemann,,0,9,13,8,10,7,4,4,12
Linwood Holland,,,0,6,10,12,4,2,5,12
Dan Tinney,,,,0,5,8,5,2,6,12
Margaret L Recupido,,,,,0,10,3,2,7,12
Scott R Wagner,,,,,,1,0,0,8,12
Paul Mango,,,,,,,0,0,9,12
Laura Ellsworth,,,,,,,,1,10,12
Total,23,21,18,15,15,19,11,6,11,12
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,13
,Joseph Giedemann,Linwood Holland,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Scott R Wagner,Paul Mango,Laura Ellsworth,2,13
Joseph Giedemann,0,8,6,10,6,5,6,6,3,13
Linwood Holland,,0,8,6,8,7,3,5,4,13
Camille G Mccolgan,,,0,5,10,9,3,2,5,13
Dan Tinney,,,,0,6,5,6,3,6,13
Margaret L Recupido,,,,,0,8,3,3,7,13
Scott R Wagner,,,,,,3,0,0,8,13
Paul Mango,,,,,,,2,0,9,13
Laura Ellsworth,,,,,,,,0,10,13
Total,17,15,14,14,14,17,12,7,11,13
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,14
Paul Mango,5,0,0,6,7,6,4,4,3,14
Scott R Wagner,,3,0,6,4,6,6,3,4,14
Laura Ellsworth,,,0,2,3,2,3,3,5,14
Camille G Mccolgan,,,,0,9,11,11,6,6,14
Joseph Giedemann,,,,,0,8,9,8,7,14
Linwood Holland,,,,,,0,10,5,8,14
Margaret L Recupido,,,,,,,0,5,9,14
