col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Paul Mango,,,,,,2,0,0,8,39
Scott R Wagner,,,,,,,2,0,9,39
Laura Ellsworth,,,,,,,,1,10,39
Total,34,29,29,29,19,33,20,14,11,39
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,40
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,40
Camille G Mccolgan,0,3,4,2,1,4,1,0,3,40
Margaret L Recupido,,0,3,1,0,2,2,1,4,40
Linwood Holland,,,0,2,1,3,1,0,5,40
Dan Tinney,,,,0,2,2,1,0,6,40
Joseph Giedemann,,,,,0,2,0,0,7,40
Scott R Wagner,,,,,,0,0,0,8,40
Paul Mango,,,,,,,1,0,9,40
Laura Ellsworth,,,,,,,,0,10,40
Total,5,5,4,3,2,5,3,1,11,40
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,41
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,41
Paul Mango,8,0,0,18,22,22,17,15,3,41
Scott R Wagner,,3,0,13,9,10,5,5,4,41
Laura Ellsworth,,,1,9,6,6,10,5,5,41
Camille G Mccolgan,,,,0,20,20,25,17,6,41
Dan Tinney,,,,,1,33,16,5,7,41
Joseph Giedemann,,,,,,0,14,6,8,41
Margaret L Recupido,,,,,,,0,14,9,41
Linwood Holland,,,,,,,,0,10,41
Total,46,22,15,40,38,38,32,25,11,41
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,42
,Paul Mango,Scott R Wagner,Laura Ellsworth,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,2,42
Paul Mango,2,0,0,9,7,7,4,6,3,42
Scott R Wagner,,0,0,4,2,2,3,2,4,42
Laura Ellsworth,,,0,2,2,2,2,0,5,42
Margaret L Recupido,,,,0,8,8,8,7,6,42
Camille G Mccolgan,,,,,0,7,6,5,7,42
Joseph Giedemann,,,,,,0,8,6,8,42
Dan Tinney,,,,,,,0,5,9,42
Linwood Holland,,,,,,,,0,10,42
Total,16,4,2,15,12,12,9,9,11,42
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,43
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,Scott R Wagner,Paul Mango,Laura Ellsworth,2,43
Margaret L Recupido,0,12,6,8,5,7,6,3,3,43
Camille G Mccolgan,,1,4,8,4,6,4,1,4,43
Joseph Giedemann,,,0,2,4,6,2,2,5,43
Linwood Holland,,,,0,2,4,3,1,6,43
Dan Tinney,,,,,0,2,3,1,7,43
Scott R Wagner,,,,,,0,0,0,8,43
Paul Mango,,,,,,,1,0,9,43
Laura Ellsworth,,,,,,,,0,10,43
Total,17,13,10,8,6,9,8,4,11,43
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,44
,Paul Mango,Scott R Wagner,Laura Ellsworth,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,44
Paul Mango,1,0,0,3,3,2,2,3,3,44
Scott R Wagner,,0,0,2,2,2,3,2,4,44
Laura Ellsworth,,,1,1,0,1,0,0,5,44
Dan Tinney,,,,0,2,3,3,1,6,44
Camille G Mccolgan,,,,,0,2,2,2,7,44
Joseph Giedemann,,,,,,0,1,0,8,44
Linwood Holland,,,,,,,0,2,9,44
Margaret L Recupido,,,,,,,,0,10,44
Total,9,5,2,6,5,5,5,5,11,44
