col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Brendan F Boyle,59,0,471,61,96,79,7,3,All
Michele Lawrence,,28,127,160,99,39,6,4,All
Mike Stack,,,59,0,0,0,0,5,All
Kathi Cozzone,,,,34,0,0,0,6,All
Nina Ahmad,,,,,10,0,0,7,All
John Fetterman,,,,,,8,0,8,All
Ray Sosa,,,,,,,1,9,All
Total,773,459,657,255,205,126,14,10,All
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Brendan F Boyle,3,0,10,4,0,1,0,3,1
Michele Lawrence,,0,1,4,3,1,0,4,1
Mike Stack,,,4,0,0,0,0,5,1
Kathi Cozzone,,,,1,0,0,0,6,1
Nina Ahmad,,,,,0,0,0,7,1
John Fetterman,,,,,,0,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,18,9,15,9,3,2,0,10,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,2
Brendan F Boyle,1,0,17,2,3,2,0,3,2
Michele Lawrence,,0,4,3,1,1,1,4,2
Mike Stack,,,1,0,0,0,0,5,2
Kathi Cozzone,,,,1,0,0,0,6,2
John Fetterman,,,,,0,0,0,7,2
Nina Ahmad,,,,,,0,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,25,10,22,6,4,3,1,10,2
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Brendan F Boyle,0,0,13,2,1,1,1,3,3
Michele Lawrence,,0,3,7,3,1,0,4,3
Mike Stack,,,2,0,0,0,0,5,3
Kathi Cozzone,,,,0,0,0,0,6,3
Nina Ahmad,,,,,1,0,0,7,3
John Fetterman,,,,,,0,0,8,3
Ray Sosa,,,,,,,0,9,3
Total,18,14,18,9,5,2,1,10,3
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,4
Brendan F Boyle,7,0,21,3,3,1,1,3,4
Michele Lawrence,,3,5,6,2,3,0,4,4
Mike Stack,,,0,0,0,0,0,5,4
Nina Ahmad,,,,1,0,0,0,6,4
Kathi Cozzone,,,,,1,0,0,7,4
John Fetterman,,,,,,0,0,8,4
Ray Sosa,,,,,,,0,9,4
Total,36,19,26,10,6,4,1,10,4
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Brendan F Boyle,3,0,7,3,3,1,0,3,5
Michele Lawrence,,0,5,4,1,1,0,4,5
Mike Stack,,,0,0,0,0,0,5,5
Kathi Cozzone,,,,1,0,0,0,6,5
Nina Ahmad,,,,,1,0,0,7,5
John Fetterman,,,,,,1,0,8,5
Ray Sosa,,,,,,,0,9,5
Total,17,11,12,8,5,3,0,10,5
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Brendan F Boyle,2,0,13,3,4,5,0,3,6
Michele Lawrence,,1,4,6,2,1,0,4,6
Mike Stack,,,4,0,0,0,0,5,6
