col_1,col_2,col_3,col_4,col_5,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,All
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,All
Marisa Piccarreto,103,703,642,639,3,All
Torri Douglas,,98,644,642,4,All
Kyle Shenandoah,,,42,636,5,All
Kyle J Sampson,,,,34,6,All
Total,817,817,697,685,7,All
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,1
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,1
Marisa Piccarreto,13,43,40,39,3,1
Torri Douglas,,7,41,39,4,1
Kyle Shenandoah,,,2,39,5,1
Kyle J Sampson,,,,1,6,1
Total,56,51,43,40,7,1
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,2
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,2
Marisa Piccarreto,16,94,83,84,3,2
Torri Douglas,,7,84,83,4,2
Kyle J Sampson,,,3,83,5,2
Kyle Shenandoah,,,,3,6,2
Total,112,103,88,88,7,2
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,4
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,4
Torri Douglas,11,22,21,20,3,4
Marisa Piccarreto,,7,21,19,4,4
Kyle J Sampson,,,3,19,5,4
Kyle Shenandoah,,,,6,6,4
Total,35,31,26,26,7,4
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,5
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,5
Marisa Piccarreto,8,33,28,27,3,5
Torri Douglas,,4,27,26,4,5
Kyle Shenandoah,,,1,28,5,5
Kyle J Sampson,,,,1,6,5
Total,42,37,30,29,7,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,7
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,7
Marisa Piccarreto,8,60,54,54,3,7
Torri Douglas,,1,55,56,4,7
Kyle J Sampson,,,2,55,5,7
Kyle Shenandoah,,,,1,6,7
Total,68,63,57,57,7,7
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,8
,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Torri Douglas,2,8
Kyle Shenandoah,2,12,12,12,3,8
Marisa Piccarreto,,2,12,12,4,8
Kyle J Sampson,,,0,12,5,8
Torri Douglas,,,,0,6,8
Total,14,14,12,12,7,8
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,9
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,9
Marisa Piccarreto,2,16,16,16,3,9
Torri Douglas,,3,15,15,4,9
Kyle J Sampson,,,0,16,5,9
Kyle Shenandoah,,,,0,6,9
Total,19,19,16,16,7,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,10
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,10
Torri Douglas,7,52,51,51,3,10
Marisa Piccarreto,,5,51,51,4,10
Kyle J Sampson,,,0,50,5,10
Kyle Shenandoah,,,,0,6,10
Total,59,57,51,51,7,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,12
