col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Tom Young,Andi Perez,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,2,All
John Fetterman,544,0,0,0,0,9,11,6,11,10,9,5,11,8,10,6,9,5,3,All
Mike Stack,,488,0,0,0,58,52,52,56,47,49,47,13,13,8,11,6,8,4,All
Nina Ahmad,,,507,0,0,9,11,11,5,9,5,6,9,9,6,2,4,3,5,All
Kathi Cozzone,,,,163,0,6,4,6,5,5,4,3,6,3,3,2,1,4,6,All
Ray Sosa,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,All
Micah Mahjoubian,,,,,,0,65,63,66,62,55,54,25,18,13,10,11,14,8,All
Marylouise Isaacson,,,,,,,0,68,60,66,57,52,29,22,16,13,12,13,9,All
Mariel J K Martin,,,,,,,,0,62,63,58,56,23,20,13,11,8,8,10,All
Tom Young,,,,,,,,,0,58,51,52,22,13,17,6,12,10,11,All
Andi Perez,,,,,,,,,,0,55,52,26,20,15,12,14,16,12,All
Darrell L Clarke,,,,,,,,,,,0,57,18,11,7,9,8,5,13,All
Matthew D Myers,,,,,,,,,,,,0,13,9,6,6,7,4,14,All
Rhea Powell,,,,,,,,,,,,,0,23,19,15,15,16,15,All
Amanda Mcillmurray,,,,,,,,,,,,,,0,14,17,10,14,16,All
Joe Celentano,,,,,,,,,,,,,,,0,10,11,13,17,All
Judi Golding Baker,,,,,,,,,,,,,,,,0,7,9,18,All
Jon Geeting,,,,,,,,,,,,,,,,,0,9,19,All
Noam Kugelmass,,,,,,,,,,,,,,,,,,0,20,All
Total,562,560,522,173,15,84,81,79,79,74,71,65,41,34,27,21,20,20,21,All
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,1
Nina Ahmad,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
John Fetterman,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Mike Stack,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Kathi Cozzone,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,1
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,1
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,1
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,1
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,1
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,1
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,1
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,1
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,1
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,1
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,1
Tom Young,,,,,,,,,,,,,,,,,,0,20,1
Total,47,46,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,2
Mike Stack,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Nina Ahmad,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
John Fetterman,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Kathi Cozzone,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,2
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,2
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,2
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,2
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,2
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,2
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,2
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,2
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,2
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,2
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,2
Tom Young,,,,,,,,,,,,,,,,,,0,20,2
Total,11,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,3
John Fetterman,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Nina Ahmad,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Mike Stack,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Kathi Cozzone,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Ray Sosa,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,3
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,3
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,3
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,3
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,3
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,3
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,3
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,3
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,3
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,3
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,3
Tom Young,,,,,,,,,,,,,,,,,,0,20,3
Total,35,24,21,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
,John Fetterman,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,4
John Fetterman,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Mike Stack,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Nina Ahmad,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Kathi Cozzone,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,4
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,4
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,4
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,4
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,4
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,4
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,4
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,4
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,4
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,4
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,4
Tom Young,,,,,,,,,,,,,,,,,,0,20,4
Total,47,34,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,5
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,5
Mike Stack,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Nina Ahmad,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
John Fetterman,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Kathi Cozzone,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,5
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,5
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,5
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,5
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,5
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,5
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,5
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,5
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,5
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,5
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,5
Tom Young,,,,,,,,,,,,,,,,,,0,20,5
Total,41,29,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,6
Nina Ahmad,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
John Fetterman,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Mike Stack,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Kathi Cozzone,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Ray Sosa,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,6
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,6
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,6
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,6
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,6
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,6
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,6
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,6
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,6
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,6
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,6
Tom Young,,,,,,,,,,,,,,,,,,0,20,6
Total,36,22,17,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,7
,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Tom Young,Andi Perez,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,7
Micah Mahjoubian,0,65,63,66,62,55,54,25,18,13,10,11,14,58,9,9,6,0,3,7
Marylouise Isaacson,,0,68,60,66,57,52,29,22,16,13,12,13,52,11,11,4,0,4,7
Mariel J K Martin,,,0,62,63,58,56,23,20,13,11,8,8,52,6,11,6,0,5,7
Tom Young,,,,0,58,51,52,22,13,17,6,12,10,56,11,5,5,0,6,7
Andi Perez,,,,,0,55,52,26,20,15,12,14,16,47,10,9,5,0,7,7
Darrell L Clarke,,,,,,0,57,18,11,7,9,8,5,49,9,5,4,0,8,7
Matthew D Myers,,,,,,,0,13,9,6,6,7,4,47,5,6,3,0,9,7
Rhea Powell,,,,,,,,0,23,19,15,15,16,13,11,9,6,0,10,7
Amanda Mcillmurray,,,,,,,,,0,14,17,10,14,13,8,9,3,0,11,7
Joe Celentano,,,,,,,,,,0,10,11,13,8,10,6,3,0,12,7
Judi Golding Baker,,,,,,,,,,,0,7,9,11,6,2,2,0,13,7
Jon Geeting,,,,,,,,,,,,0,9,6,9,4,1,0,14,7
Noam Kugelmass,,,,,,,,,,,,,0,8,5,3,4,0,15,7
Mike Stack,,,,,,,,,,,,,,8,0,0,0,0,16,7
John Fetterman,,,,,,,,,,,,,,,1,0,0,0,17,7
Nina Ahmad,,,,,,,,,,,,,,,,2,0,0,18,7
Kathi Cozzone,,,,,,,,,,,,,,,,,3,0,19,7
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,7
Total,84,81,79,79,74,71,65,41,34,27,21,20,20,80,19,17,13,0,21,7
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,8
John Fetterman,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Nina Ahmad,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Mike Stack,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Kathi Cozzone,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Ray Sosa,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,8
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,8
Jon Geeting,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,8
Judi Golding Baker,,,,,,,,,,,0,0,0,0,0,0,0,0,13,8
Mariel J K Martin,,,,,,,,,,,,0,0,0,0,0,0,0,14,8
Marylouise Isaacson,,,,,,,,,,,,,0,0,0,0,0,0,15,8
Matthew D Myers,,,,,,,,,,,,,,0,0,0,0,0,16,8
Micah Mahjoubian,,,,,,,,,,,,,,,0,0,0,0,17,8
Noam Kugelmass,,,,,,,,,,,,,,,,0,0,0,18,8
Rhea Powell,,,,,,,,,,,,,,,,,0,0,19,8
Tom Young,,,,,,,,,,,,,,,,,,0,20,8
Total,39,32,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,9
Nina Ahmad,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
John Fetterman,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Mike Stack,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Kathi Cozzone,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Ray Sosa,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
Amanda Mcillmurray,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
Andi Perez,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Darrell L Clarke,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10,9
Joe Celentano,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,9
