col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,All
,Paul Mango,Scott R Wagner,Laura Ellsworth,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Paul Mango,65,0,0,56,67,39,11,3,All
Scott R Wagner,,31,0,105,31,40,3,4,All
Laura Ellsworth,,,8,23,21,8,3,5,All
Kathy Coder,,,,1,0,0,0,6,All
Diana Irey Vaughan,,,,,2,0,0,7,All
Jeff Bartos,,,,,,2,0,8,All
Peg Luksik,,,,,,,0,9,All
Total,238,210,63,185,121,89,17,10,All
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,1
,Paul Mango,Laura Ellsworth,Scott R Wagner,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,1
Paul Mango,2,0,0,2,1,1,0,3,1
Laura Ellsworth,,0,0,2,0,0,0,4,1
Scott R Wagner,,,0,0,1,0,0,5,1
Kathy Coder,,,,0,0,0,0,6,1
Diana Irey Vaughan,,,,,0,0,0,7,1
Jeff Bartos,,,,,,0,0,8,1
Peg Luksik,,,,,,,0,9,1
Total,6,2,1,4,2,1,0,10,1
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,2
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,2
Kathy Coder,0,0,0,0,3,1,0,3,2
Diana Irey Vaughan,,1,0,0,1,0,1,4,2
Jeff Bartos,,,0,0,0,0,0,5,2
Peg Luksik,,,,0,0,0,0,6,2
Scott R Wagner,,,,,0,0,0,7,2
Laura Ellsworth,,,,,,0,0,8,2
Paul Mango,,,,,,,0,9,2
Total,4,3,0,0,4,1,1,10,2
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,3
,Scott R Wagner,Paul Mango,Laura Ellsworth,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,3
Scott R Wagner,1,0,0,4,2,0,1,3,3
Paul Mango,,1,0,1,2,2,0,4,3
Laura Ellsworth,,,0,1,0,0,0,5,3
Kathy Coder,,,,0,0,0,0,6,3
Jeff Bartos,,,,,0,0,0,7,3
Diana Irey Vaughan,,,,,,0,0,8,3
Peg Luksik,,,,,,,0,9,3
Total,8,6,1,6,4,2,1,10,3
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,4
,Scott R Wagner,Paul Mango,Laura Ellsworth,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,4
Scott R Wagner,1,0,0,2,2,2,0,3,4
Paul Mango,,3,0,1,1,0,0,4,4
Laura Ellsworth,,,0,0,0,0,0,5,4
Diana Irey Vaughan,,,,0,0,0,0,6,4
Kathy Coder,,,,,0,0,0,7,4
Jeff Bartos,,,,,,0,0,8,4
Peg Luksik,,,,,,,0,9,4
Total,7,5,0,3,3,2,0,10,4
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,5
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Paul Mango,Scott R Wagner,Laura Ellsworth,2,5
Kathy Coder,0,0,0,0,1,1,0,3,5
Diana Irey Vaughan,,0,0,0,0,0,0,4,5
Jeff Bartos,,,0,0,0,0,0,5,5
Peg Luksik,,,,0,0,0,0,6,5
Paul Mango,,,,,0,0,0,7,5
Scott R Wagner,,,,,,0,0,8,5
