col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,All
Bob Casey Jr,130,449,423,413,404,353,3,All
Kathy Enggasser,,4,343,337,363,330,4,All
James G Donnelly Sr,,,13,330,326,328,5,All
John Dellricci,,,,10,329,325,6,All
Mary Ann Quartullo,,,,,7,317,7,All
Patrick Parkinson,,,,,,2,8,All
Total,802,469,456,443,433,372,9,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Bob Casey Jr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,1
Bob Casey Jr,7,14,10,11,10,9,3,1
Kathy Enggasser,,0,9,8,8,6,4,1
John Dellricci,,,1,8,9,6,5,1
Mary Ann Quartullo,,,,0,9,5,6,1
Patrick Parkinson,,,,,1,7,7,1
James G Donnelly Sr,,,,,,0,8,1
Total,27,14,12,12,12,9,9,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,2
,Bob Casey Jr,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,2
Bob Casey Jr,11,16,16,14,12,10,3,2
Kathy Enggasser,,1,11,11,10,10,4,2
John Dellricci,,,0,11,8,10,5,2
James G Donnelly Sr,,,,0,8,10,6,2
Mary Ann Quartullo,,,,,1,7,7,2
Patrick Parkinson,,,,,,0,8,2
Total,37,17,16,14,13,10,9,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,Bob Casey Jr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,3
Bob Casey Jr,4,15,14,13,11,11,3,3
John Dellricci,,1,10,10,11,10,4,3
Kathy Enggasser,,,0,11,11,9,5,3
Mary Ann Quartullo,,,,0,12,10,6,3
James G Donnelly Sr,,,,,0,11,7,3
Patrick Parkinson,,,,,,0,8,3
Total,28,18,15,15,14,13,9,3
