col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,All
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Thaddeus Kirkland,Mary Gay Scanlon,Greg Vitali,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,2,All
Mike Stack,"1,064",0,0,0,0,10,2,9,8,2,2,1,0,2,0,0,0,0,3,All
Kathi Cozzone,,380,0,0,0,0,15,0,2,2,0,1,4,0,0,0,0,0,4,All
Nina Ahmad,,,280,0,0,6,1,5,2,2,3,3,0,0,0,0,0,0,5,All
John Fetterman,,,,96,0,2,0,0,0,1,0,0,0,1,0,0,0,0,6,All
Ray Sosa,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,All
Rich Lazer,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,8,All
Theresa M Wright,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,9,All
Lindy Li,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,10,All
Molly Sheehan,,,,,,,,,1,0,0,0,0,0,0,0,0,0,11,All
Ashley Lunkenheimer,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,All
Thaddeus Kirkland,,,,,,,,,,,1,0,0,0,0,0,0,0,13,All
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,0,14,All
Greg Vitali,,,,,,,,,,,,,0,0,0,0,0,0,15,All
Margo Davidson,,,,,,,,,,,,,,1,0,0,0,0,16,All
Dan Muroff,,,,,,,,,,,,,,,0,0,0,0,17,All
David Wertime,,,,,,,,,,,,,,,,0,0,0,18,All
Larry Arata,,,,,,,,,,,,,,,,,0,0,19,All
Shelly Chauncey,,,,,,,,,,,,,,,,,,0,20,All
Total,"1,100",404,302,100,11,22,20,15,13,7,6,5,4,4,0,0,0,0,21,All
