col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,All
Dwight Evans,173,0,903,733,720,286,14,3,All
Kevin Johnson,,34,249,253,116,54,2,4,All
Nina Ahmad,,,47,0,0,0,0,5,All
John Fetterman,,,,64,0,0,0,6,All
Mike Stack,,,,,35,0,0,7,All
Kathi Cozzone,,,,,,23,0,8,All
Ray Sosa,,,,,,,3,9,All
Total,"2,829",708,"1,199","1,050",871,363,19,10,All
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Dwight Evans,3,0,93,69,14,10,1,3,1
Kevin Johnson,,3,18,31,4,0,0,4,1
Nina Ahmad,,,6,0,0,0,0,5,1
John Fetterman,,,,9,0,0,0,6,1
Mike Stack,,,,,4,0,0,7,1
Kathi Cozzone,,,,,,0,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,190,56,117,109,22,10,1,10,1
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Dwight Evans,Kevin Johnson,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Dwight Evans,10,0,42,40,27,14,0,3,2
Kevin Johnson,,1,18,18,4,2,0,4,2
John Fetterman,,,6,0,0,0,0,5,2
Nina Ahmad,,,,3,0,0,0,6,2
Mike Stack,,,,,2,0,0,7,2
Kathi Cozzone,,,,,,1,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,133,43,66,61,33,17,0,10,2
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,3
Dwight Evans,12,0,37,36,25,13,1,3,3
Kevin Johnson,,1,20,10,15,5,0,4,3
Nina Ahmad,,,3,0,0,0,0,5,3
Mike Stack,,,,7,0,0,0,6,3
John Fetterman,,,,,3,0,0,7,3
Kathi Cozzone,,,,,,2,0,8,3
Ray Sosa,,,,,,,1,9,3
Total,124,51,60,53,43,20,2,10,3
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,4
Dwight Evans,3,0,23,13,10,7,1,3,4
Kevin Johnson,,0,5,2,2,2,0,4,4
Mike Stack,,,1,0,0,0,0,5,4
Kathi Cozzone,,,,0,0,0,0,6,4
John Fetterman,,,,,1,0,0,7,4
Nina Ahmad,,,,,,0,0,8,4
Ray Sosa,,,,,,,1,9,4
Total,57,11,29,15,13,9,2,10,4
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,5
Dwight Evans,9,0,38,18,12,4,0,3,5
Kevin Johnson,,1,6,2,3,0,0,4,5
Mike Stack,,,2,0,0,0,0,5,5
Nina Ahmad,,,,0,0,0,0,6,5
Kathi Cozzone,,,,,0,0,0,7,5
John Fetterman,,,,,,0,0,8,5
Ray Sosa,,,,,,,0,9,5
Total,81,12,46,20,15,4,0,10,5
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Dwight Evans,9,0,41,15,7,2,0,3,6
Kevin Johnson,,2,4,1,1,2,0,4,6
Mike Stack,,,1,0,0,0,0,5,6
Kathi Cozzone,,,,1,0,0,0,6,6
Nina Ahmad,,,,,0,0,0,7,6
John Fetterman,,,,,,0,0,8,6
Ray Sosa,,,,,,,0,9,6
Total,74,10,46,17,8,4,0,10,6
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,7
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,7
Dwight Evans,1,0,65,35,22,6,0,3,7
Kevin Johnson,,4,18,12,8,4,0,4,7
Nina Ahmad,,,5,0,0,0,0,5,7
John Fetterman,,,,1,0,0,0,6,7
Mike Stack,,,,,1,0,0,7,7
Kathi Cozzone,,,,,,0,0,8,7
Ray Sosa,,,,,,,0,9,7
Total,129,46,88,48,31,10,0,10,7
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,8
,Dwight Evans,Kevin Johnson,John Fetterman,Nina Ahmad,Kathi Cozzone,Mike Stack,Ray Sosa,2,8
Dwight Evans,2,0,69,63,24,15,0,3,8
Kevin Johnson,,1,21,21,2,0,0,4,8
John Fetterman,,,11,0,0,0,0,5,8
Nina Ahmad,,,,6,0,0,0,6,8
Kathi Cozzone,,,,,0,0,0,7,8
Mike Stack,,,,,,1,0,8,8
Ray Sosa,,,,,,,0,9,8
Total,173,45,101,90,26,16,0,10,8
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,9
,Dwight Evans,Kevin Johnson,John Fetterman,Nina Ahmad,Kathi Cozzone,Mike Stack,Ray Sosa,2,9
Dwight Evans,5,0,47,49,15,18,0,3,9
Kevin Johnson,,5,21,17,4,2,1,4,9
John Fetterman,,,3,0,0,0,0,5,9
Nina Ahmad,,,,2,0,0,0,6,9
Kathi Cozzone,,,,,2,0,0,7,9
Mike Stack,,,,,,0,0,8,9
Ray Sosa,,,,,,,0,9,9
Total,134,50,71,68,21,20,1,10,9
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,10
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,10
Dwight Evans,7,0,36,32,19,13,0,3,10
Kevin Johnson,,0,8,6,10,0,0,4,10
Mike Stack,,,2,0,0,0,0,5,10
Nina Ahmad,,,,2,0,0,0,6,10
John Fetterman,,,,,0,0,0,7,10
Kathi Cozzone,,,,,,1,0,8,10
Ray Sosa,,,,,,,1,9,10
Total,107,24,46,40,29,14,1,10,10
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,11
,Dwight Evans,Kevin Johnson,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,11
Dwight Evans,4,0,99,11,11,11,2,3,11
Kevin Johnson,,2,2,8,5,0,0,4,11
Mike Stack,,,3,0,0,0,0,5,11
John Fetterman,,,,2,0,0,0,6,11
Nina Ahmad,,,,,2,0,0,7,11
Kathi Cozzone,,,,,,1,0,8,11
Ray Sosa,,,,,,,0,9,11
Total,138,17,104,21,18,12,2,10,11
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,12
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,12
Dwight Evans,13,0,45,15,7,4,0,3,12
Kevin Johnson,,1,3,4,3,5,0,4,12
Mike Stack,,,0,0,0,0,0,5,12
Nina Ahmad,,,,0,0,0,0,6,12
Kathi Cozzone,,,,,2,0,0,7,12
John Fetterman,,,,,,1,0,8,12
Ray Sosa,,,,,,,0,9,12
Total,84,16,48,19,12,10,0,10,12
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,13
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,13
Dwight Evans,16,0,40,14,9,7,2,3,13
Kevin Johnson,,2,9,2,3,2,0,4,13
Mike Stack,,,1,0,0,0,0,5,13
Nina Ahmad,,,,0,0,0,0,6,13
Kathi Cozzone,,,,,1,0,0,7,13
John Fetterman,,,,,,1,0,8,13
Ray Sosa,,,,,,,0,9,13
Total,88,18,50,16,13,10,2,10,13
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,14
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,14
