col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"2,684",3,All
Total,"2,684",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,224,3,1
Total,224,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,149,3,2
Total,149,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,118,3,3
Total,118,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,76,3,4
Total,76,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,108,3,5
Total,108,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,185,3,6
Total,185,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,254,3,7
Total,254,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,208,3,8
Total,208,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,205,3,9
Total,205,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,114,3,10
Total,114,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,112,3,11
Total,112,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,57,3,12
Total,57,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,160,3,13
Total,160,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,153,3,14
Total,153,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,169,3,15
Total,169,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,191,3,16
Total,191,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,201,3,17
Total,201,4,17
