col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,1
,Tom Wolf,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Catherine Bartch,Billy Cortes,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,1
Tom Wolf,4,10,5,5,1,1,1,1,1,1,1
James Harrity,,0,5,5,1,1,1,1,1,1,1
Mona Getzes Cohen,,,1,5,0,0,0,0,0,0,1
Meagan Ingerson,,,,0,0,0,0,0,0,0,1
Catherine Bartch,,,,,1,1,1,1,1,1,1
Billy Cortes,,,,,,0,1,1,1,1,1
Erica Vanstone,,,,,,,0,1,1,1,1
Frank T Brzozowski,,,,,,,,0,1,1,1
Marnie Aument Loughrey,,,,,,,,,0,1,1
Richard Lombardo,,,,,,,,,,0,1
Total,14,10,6,5,2,1,1,1,1,1,1
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,2
,Tom Wolf,James Harrity,Billy Cortes,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,2
Tom Wolf,3,5,3,3,3,2,2,2,1,2,2
James Harrity,,0,2,3,3,2,2,2,1,2,2
Billy Cortes,,,0,2,2,2,2,2,0,0,2
Erica Vanstone,,,,0,3,2,2,2,0,1,2
Richard Lombardo,,,,,0,2,2,2,0,1,2
Catherine Bartch,,,,,,0,2,2,0,0,2
Frank T Brzozowski,,,,,,,0,2,0,0,2
Marnie Aument Loughrey,,,,,,,,0,0,0,2
Meagan Ingerson,,,,,,,,,1,1,2
Mona Getzes Cohen,,,,,,,,,,0,2
Total,9,5,3,3,3,2,2,2,2,2,2
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,3
,Tom Wolf,Meagan Ingerson,James Harrity,Billy Cortes,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,3
Tom Wolf,2,3,1,1,1,0,0,0,0,0,3
Meagan Ingerson,,0,2,0,1,0,0,0,0,0,3
James Harrity,,,0,0,1,0,0,0,0,0,3
Billy Cortes,,,,0,0,0,0,0,0,0,3
Mona Getzes Cohen,,,,,0,0,0,0,0,0,3
Catherine Bartch,,,,,,0,0,0,0,0,3
Erica Vanstone,,,,,,,0,0,0,0,3
Frank T Brzozowski,,,,,,,,0,0,0,3
Marnie Aument Loughrey,,,,,,,,,0,0,3
Richard Lombardo,,,,,,,,,,0,3
Total,6,4,2,1,1,0,0,0,0,0,3
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,4
,Tom Wolf,James Harrity,Mona Getzes Cohen,Billy Cortes,Erica Vanstone,Richard Lombardo,Meagan Ingerson,Marnie Aument Loughrey,Catherine Bartch,Frank T Brzozowski,4
Tom Wolf,6,21,23,17,17,17,15,12,9,10,4
James Harrity,,3,13,14,14,14,10,11,9,9,4
Mona Getzes Cohen,,,0,9,9,9,12,5,2,3,4
Billy Cortes,,,,0,16,14,7,11,9,10,4
Erica Vanstone,,,,,0,15,6,11,8,10,4
Richard Lombardo,,,,,,0,5,11,8,10,4
Meagan Ingerson,,,,,,,0,3,2,3,4
Marnie Aument Loughrey,,,,,,,,0,8,8,4
Catherine Bartch,,,,,,,,,1,7,4
Frank T Brzozowski,,,,,,,,,,0,4
Total,41,24,23,17,17,17,15,12,10,10,4
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,5
,Tom Wolf,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Richard Lombardo,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,5
Tom Wolf,6,16,16,14,6,5,5,3,3,2,5
Meagan Ingerson,,0,14,15,4,4,4,1,2,1,5
Mona Getzes Cohen,,,2,13,4,4,4,1,2,1,5
James Harrity,,,,1,5,5,5,2,2,2,5
Richard Lombardo,,,,,0,5,5,3,2,2,5
Erica Vanstone,,,,,,0,5,2,2,2,5
Frank T Brzozowski,,,,,,,0,2,2,2,5
Billy Cortes,,,,,,,,0,1,1,5
Catherine Bartch,,,,,,,,,0,1,5
Marnie Aument Loughrey,,,,,,,,,,0,5
Total,26,18,18,17,6,5,5,3,3,2,5
,Governor - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,6
,Tom Wolf,Mona Getzes Cohen,Billy Cortes,James Harrity,Meagan Ingerson,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Catherine Bartch,6
Tom Wolf,6,7,3,3,3,1,1,1,1,0,6
Mona Getzes Cohen,,0,1,2,1,1,1,0,1,0,6
Billy Cortes,,,0,1,1,1,1,0,1,0,6
James Harrity,,,,0,1,1,1,0,1,0,6
Meagan Ingerson,,,,,0,1,1,1,1,0,6
