col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,All
Kathryn S Huggins,156,447,459,385,291,287,279,244,146,106,113,92,84,All
Ken Washington,,63,426,399,254,249,253,239,107,97,91,93,57,All
Dewayne Drummond,,,66,379,255,254,246,233,117,99,100,79,67,All
Liam G Boyle,,,,16,215,207,209,199,75,60,63,53,34,All
Monica Maria Djerassi,,,,,5,243,243,102,120,58,53,70,66,All
Lisa Rhodes,,,,,,2,273,97,89,65,51,53,80,All
Linda Norris,,,,,,,2,84,87,70,42,55,67,All
Kevin Bundy,,,,,,,,18,76,83,86,60,47,All
Rebecca Poyourow,,,,,,,,,1,45,60,56,52,All
John Brady,,,,,,,,,,11,62,50,29,All
Nat Lownes,,,,,,,,,,,4,46,30,All
Joe Khan,,,,,,,,,,,,4,33,All
Jacque Whaumbush,,,,,,,,,,,,,2,All
Total,762,618,617,479,356,353,350,341,187,169,149,140,116,All
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Liam G Boyle,Kevin Bundy,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,1
Kathryn S Huggins,7,34,32,30,31,33,24,20,21,19,14,14,15,1
Dewayne Drummond,,6,26,24,22,23,16,17,17,14,12,12,9,1
Ken Washington,,,3,17,18,20,15,19,15,14,7,11,10,1
Lisa Rhodes,,,,0,25,21,22,12,15,12,16,8,9,1
Monica Maria Djerassi,,,,,0,28,18,12,10,15,14,8,8,1
Rebecca Poyourow,,,,,,0,19,8,7,15,13,7,10,1
Linda Norris,,,,,,,0,7,8,11,14,7,5,1
Liam G Boyle,,,,,,,,1,17,6,4,8,5,1
Kevin Bundy,,,,,,,,,0,5,4,6,5,1
Joe Khan,,,,,,,,,,0,6,9,6,1
Jacque Whaumbush,,,,,,,,,,,0,4,2,1
John Brady,,,,,,,,,,,,1,7,1
Nat Lownes,,,,,,,,,,,,,0,1
Total,65,49,43,37,37,37,31,26,25,24,19,19,17,1
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,2
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Joe Khan,John Brady,Nat Lownes,Jacque Whaumbush,2
Kathryn S Huggins,22,25,26,21,19,11,10,12,8,4,4,7,4,2
Ken Washington,,1,21,24,15,9,10,9,8,5,3,5,4,2
Dewayne Drummond,,,2,20,17,8,8,8,5,4,4,7,3,2
Liam G Boyle,,,,1,14,8,9,8,9,4,1,4,4,2
Kevin Bundy,,,,,2,2,4,2,6,3,1,6,2,2
Linda Norris,,,,,,0,10,10,5,1,3,1,2,2
Monica Maria Djerassi,,,,,,,0,8,6,4,2,2,4,2
Lisa Rhodes,,,,,,,,0,5,1,4,2,4,2
Rebecca Poyourow,,,,,,,,,0,1,0,3,3,2
Joe Khan,,,,,,,,,,1,2,4,4,2
John Brady,,,,,,,,,,,2,3,2,2
Nat Lownes,,,,,,,,,,,,0,2,2
Jacque Whaumbush,,,,,,,,,,,,,0,2
Total,56,32,31,28,24,14,14,13,10,8,8,8,7,2
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,3
,Dewayne Drummond,Kathryn S Huggins,Ken Washington,Monica Maria Djerassi,Liam G Boyle,Linda Norris,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,3
Dewayne Drummond,3,49,47,41,43,35,34,19,20,12,13,10,3,3
Kathryn S Huggins,,6,45,39,41,37,32,19,16,14,11,10,2,3
Ken Washington,,,0,38,40,37,29,18,20,15,9,5,3,3
Monica Maria Djerassi,,,,0,29,40,35,22,14,19,7,8,5,3
Liam G Boyle,,,,,0,29,27,11,16,4,8,7,4,3
Linda Norris,,,,,,0,39,19,11,12,6,9,3,3
Lisa Rhodes,,,,,,,0,13,9,9,5,9,3,3
Rebecca Poyourow,,,,,,,,0,10,11,7,6,2,3
Kevin Bundy,,,,,,,,,1,11,9,4,2,3
Joe Khan,,,,,,,,,,0,7,4,4,3
Nat Lownes,,,,,,,,,,,0,3,3,3
Jacque Whaumbush,,,,,,,,,,,,0,1,3
John Brady,,,,,,,,,,,,,0,3
Total,65,65,58,54,50,50,44,28,27,22,16,13,7,3
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,4
