col_1,col_2,col_3,col_4,col_5,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,All
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,All
Torri Douglas,510,"1,102","1,120","1,063",3,All
Marisa Piccarreto,,231,"1,068","1,045",4,All
Kyle J Sampson,,,201,"1,060",5,All
Kyle Shenandoah,,,,158,6,All
Total,"1,722","1,380","1,365","1,270",7,All
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,1
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,1
Torri Douglas,7,19,19,19,3,1
Marisa Piccarreto,,2,19,18,4,1
Kyle J Sampson,,,1,18,5,1
Kyle Shenandoah,,,,1,6,1
Total,27,21,20,20,7,1
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,2
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,2,2
Torri Douglas,10,25,26,23,3,2
Kyle Shenandoah,,6,24,23,4,2
Kyle J Sampson,,,4,24,5,2
Marisa Piccarreto,,,,7,6,2
Total,38,32,31,31,7,2
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,3
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,3
Torri Douglas,20,30,31,27,3,3
Kyle J Sampson,,9,27,24,4,3
Kyle Shenandoah,,,6,25,5,3
Marisa Piccarreto,,,,8,6,3
Total,55,39,37,35,7,3
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,4
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,4
Torri Douglas,20,15,14,13,3,4
Kyle J Sampson,,10,14,14,4,4
Marisa Piccarreto,,,7,13,5,4
Kyle Shenandoah,,,,6,6,4
Total,35,26,21,20,7,4
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,5
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,5
Torri Douglas,26,41,34,38,3,5
Kyle J Sampson,,4,35,38,4,5
Kyle Shenandoah,,,9,35,5,5
Marisa Piccarreto,,,,5,6,5
Total,68,46,45,45,7,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,6
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,6
Torri Douglas,5,23,23,22,3,6
Marisa Piccarreto,,4,22,23,4,6
Kyle Shenandoah,,,1,23,5,6
Kyle J Sampson,,,,0,6,6
Total,30,28,26,24,7,6
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,7
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,7
Torri Douglas,20,36,33,32,3,7
Kyle J Sampson,,6,31,32,4,7
Marisa Piccarreto,,,5,32,5,7
Kyle Shenandoah,,,,4,6,7
Total,59,43,39,37,7,7
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,8
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,8
Torri Douglas,11,18,19,19,3,8
Marisa Piccarreto,,7,19,19,4,8
Kyle J Sampson,,,1,19,5,8
Kyle Shenandoah,,,,1,6,8
Total,31,26,21,21,7,8
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,9
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,9
Torri Douglas,9,35,37,36,3,9
Kyle Shenandoah,,5,36,36,4,9
Marisa Piccarreto,,,3,37,5,9
Kyle J Sampson,,,,2,6,9
Total,48,42,42,40,7,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,10
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,10
Torri Douglas,11,13,12,12,3,10
Kyle J Sampson,,2,9,11,4,10
Marisa Piccarreto,,,2,9,5,10
Kyle Shenandoah,,,,0,6,10
Total,29,16,14,13,7,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,11
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,11
Torri Douglas,10,23,22,20,3,11
Marisa Piccarreto,,8,21,20,4,11
Kyle J Sampson,,,7,19,5,11
Kyle Shenandoah,,,,1,6,11
Total,34,31,29,21,7,11
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,12
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,12
Torri Douglas,7,16,16,17,3,12
Marisa Piccarreto,,7,14,15,4,12
Kyle Shenandoah,,,5,15,5,12
Kyle J Sampson,,,,2,6,12
Total,26,23,21,19,7,12
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,13
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,13
Torri Douglas,13,25,22,20,3,13
Marisa Piccarreto,,2,23,23,4,13
Kyle J Sampson,,,6,21,5,13
Kyle Shenandoah,,,,2,6,13
Total,38,30,29,25,7,13
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,14
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,14
Torri Douglas,8,27,25,27,3,14
Kyle J Sampson,,3,26,26,4,14
Kyle Shenandoah,,,5,25,5,14
Marisa Piccarreto,,,,3,6,14
Total,36,31,31,30,7,14
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,15
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,15
Torri Douglas,9,17,17,18,3,15
Kyle J Sampson,,2,16,17,4,15
Kyle Shenandoah,,,2,16,5,15
Marisa Piccarreto,,,,2,6,15
Total,28,20,20,20,7,15
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,16
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,16
Torri Douglas,12,12,10,11,3,16
Marisa Piccarreto,,8,10,11,4,16
Kyle Shenandoah,,,6,10,5,16
Kyle J Sampson,,,,4,6,16
Total,24,20,16,15,7,16
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,17
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,17
Torri Douglas,6,15,14,13,3,17
Marisa Piccarreto,,7,12,12,4,17
Kyle J Sampson,,,1,12,5,17
Kyle Shenandoah,,,,1,6,17
Total,24,22,16,15,7,17
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,18
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,2,18
Torri Douglas,9,12,13,8,3,18
Kyle Shenandoah,,6,12,8,4,18
Kyle J Sampson,,,1,8,5,18
Marisa Piccarreto,,,,4,6,18
Total,22,18,14,12,7,18
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,19
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,19
Torri Douglas,6,12,12,13,3,19
Kyle J Sampson,,4,13,13,4,19
Marisa Piccarreto,,,3,13,5,19
Kyle Shenandoah,,,,0,6,19
Total,19,17,16,14,7,19
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,20
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,20
Torri Douglas,5,7,7,6,3,20
Kyle J Sampson,,2,7,7,4,20
Kyle Shenandoah,,,2,7,5,20
Marisa Piccarreto,,,,1,6,20
Total,13,10,10,8,7,20
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,21
,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,21
Marisa Piccarreto,3,6,6,6,3,21
Torri Douglas,,4,5,5,4,21
Kyle J Sampson,,,2,6,5,21
Kyle Shenandoah,,,,1,6,21
Total,10,10,8,7,7,21
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,22
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,22
Torri Douglas,6,14,11,11,3,22
Marisa Piccarreto,,2,11,12,4,22
Kyle J Sampson,,,4,11,5,22
Kyle Shenandoah,,,,2,6,22
Total,20,17,15,14,7,22
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,23
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,23
Torri Douglas,5,17,16,15,3,23
Marisa Piccarreto,,4,15,16,4,23
Kyle J Sampson,,,2,15,5,23
Kyle Shenandoah,,,,1,6,23
Total,23,22,18,17,7,23
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,24
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,24
Torri Douglas,16,22,20,17,3,24
Kyle J Sampson,,5,20,17,4,24
Kyle Shenandoah,,,4,17,5,24
Marisa Piccarreto,,,,1,6,24
Total,38,27,24,18,7,24
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,25
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,25
Torri Douglas,7,35,36,32,3,25
Kyle J Sampson,,7,34,31,4,25
Marisa Piccarreto,,,3,33,5,25
Kyle Shenandoah,,,,3,6,25
Total,44,42,40,36,7,25
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,26
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,26
Torri Douglas,14,14,13,11,3,26
Marisa Piccarreto,,4,12,10,4,26
Kyle J Sampson,,,0,10,5,26
Kyle Shenandoah,,,,2,6,26
Total,30,18,13,13,7,26
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,27
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,27
Torri Douglas,9,10,11,9,3,27
Kyle J Sampson,,5,12,9,4,27
Marisa Piccarreto,,,3,10,5,27
Kyle Shenandoah,,,,6,6,27
Total,20,17,17,16,7,27
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,28
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,2,28
Torri Douglas,11,22,24,21,3,28
Kyle Shenandoah,,7,23,20,4,28
Kyle J Sampson,,,3,21,5,28
Marisa Piccarreto,,,,7,6,28
Total,35,30,28,28,7,28
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,29
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,29
Torri Douglas,7,16,14,15,3,29
Kyle J Sampson,,4,13,14,4,29
Marisa Piccarreto,,,5,14,5,29
Kyle Shenandoah,,,,2,6,29
Total,24,20,19,17,7,29
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,31
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,31
Torri Douglas,8,19,17,17,3,31
Kyle Shenandoah,,3,18,17,4,31
Marisa Piccarreto,,,4,16,5,31
Kyle J Sampson,,,,1,6,31
Total,27,23,22,18,7,31
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,32
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,32
Torri Douglas,20,46,47,44,3,32
Kyle J Sampson,,11,48,46,4,32
Marisa Piccarreto,,,4,46,5,32
Kyle Shenandoah,,,,3,6,32
Total,67,59,53,49,7,32
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,33
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,33
Torri Douglas,7,14,15,14,3,33
Marisa Piccarreto,,2,14,14,4,33
Kyle J Sampson,,,1,13,5,33
Kyle Shenandoah,,,,0,6,33
Total,23,17,16,15,7,33
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,34
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,34
Torri Douglas,5,12,12,10,3,34
Kyle J Sampson,,3,11,10,4,34
Marisa Piccarreto,,,2,10,5,34
Kyle Shenandoah,,,,1,6,34
Total,18,15,14,11,7,34
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,35
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,35
Torri Douglas,10,26,26,25,3,35
Kyle J Sampson,,5,27,25,4,35
Kyle Shenandoah,,,2,26,5,35
Marisa Piccarreto,,,,4,6,35
Total,37,33,30,30,7,35
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,36
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,36
Torri Douglas,7,14,11,12,3,36
Marisa Piccarreto,,4,11,12,4,36
Kyle Shenandoah,,,3,12,5,36
Kyle J Sampson,,,,1,6,36
Total,21,18,15,14,7,36
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,37
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,37
Torri Douglas,14,45,43,42,3,37
Kyle J Sampson,,7,43,43,4,37
Marisa Piccarreto,,,10,40,5,37
Kyle Shenandoah,,,,1,6,37
Total,60,54,54,44,7,37
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,39
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,39
Torri Douglas,7,15,15,15,3,39
Kyle Shenandoah,,5,13,14,4,39
Marisa Piccarreto,,,5,13,5,39
Kyle J Sampson,,,,4,6,39
Total,25,20,20,19,7,39
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,41
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,41
Torri Douglas,18,9,9,9,3,41
Kyle J Sampson,,7,10,11,4,41
Kyle Shenandoah,,,3,11,5,41
Marisa Piccarreto,,,,2,6,41
Total,27,18,14,14,7,41
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,42
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,42
Torri Douglas,11,39,39,37,3,42
Marisa Piccarreto,,9,40,39,4,42
Kyle J Sampson,,,6,39,5,42
Kyle Shenandoah,,,,7,6,42
Total,52,51,48,46,7,42
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,43
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,43
Torri Douglas,6,11,13,11,3,43
Marisa Piccarreto,,6,12,12,4,43
Kyle J Sampson,,,2,12,5,43
Kyle Shenandoah,,,,1,6,43
Total,19,18,16,13,7,43
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,44
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,44
Torri Douglas,23,52,48,46,3,44
Kyle J Sampson,,12,48,47,4,44
Marisa Piccarreto,,,13,47,5,44
Kyle Shenandoah,,,,5,6,44
Total,76,65,63,53,7,44
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,45
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,45
Torri Douglas,16,60,58,58,3,45
Kyle J Sampson,,14,55,57,4,45
Marisa Piccarreto,,,8,54,5,45
Kyle Shenandoah,,,,3,6,45
Total,80,75,67,61,7,45
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,46
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,46
Torri Douglas,12,45,43,42,3,46
Kyle J Sampson,,7,43,43,4,46
Marisa Piccarreto,,,6,43,5,46
Kyle Shenandoah,,,,4,6,46
Total,60,55,53,50,7,46
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,47
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,47
Torri Douglas,7,5,6,4,3,47
Marisa Piccarreto,,3,4,4,4,47
Kyle J Sampson,,,0,4,5,47
Kyle Shenandoah,,,,2,6,47
Total,14,8,6,6,7,47
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,48
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,48
Torri Douglas,11,35,38,35,3,48
Kyle Shenandoah,,8,35,35,4,48
Marisa Piccarreto,,,3,37,5,48
Kyle J Sampson,,,,4,6,48
Total,50,44,43,41,7,48
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,49
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,49
Torri Douglas,10,48,44,47,3,49
Marisa Piccarreto,,4,45,45,4,49
Kyle J Sampson,,,7,45,5,49
Kyle Shenandoah,,,,3,6,49
Total,61,54,53,51,7,49
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,50
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,50
Torri Douglas,10,41,40,39,3,50
Marisa Piccarreto,,10,40,39,4,50
Kyle J Sampson,,,4,38,5,50
Kyle Shenandoah,,,,4,6,50
Total,53,52,45,44,7,50
,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,51
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,2,51
Marisa Piccarreto,5,19,20,19,3,51
Torri Douglas,,5,18,18,4,51
Kyle Shenandoah,,,3,19,5,51
Kyle J Sampson,,,,2,6,51
