col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,All
Brendan F Boyle,117,0,459,282,282,333,327,282,290,270,265,3,All
Michele Lawrence,,43,234,266,246,172,136,125,112,110,111,4,All
James Harrity,,,14,361,368,422,402,346,353,342,321,5,All
Mona Getzes Cohen,,,,18,387,282,233,206,182,178,167,6,All
Meagan Ingerson,,,,,13,292,244,214,195,180,183,7,All
Erica Vanstone,,,,,,1,416,383,368,351,342,8,All
Richard Lombardo,,,,,,,1,333,363,329,300,9,All
Catherine Bartch,,,,,,,,0,288,299,316,10,All
Frank T Brzozowski,,,,,,,,,0,283,281,11,All
Billy Cortes,,,,,,,,,,0,279,12,All
Marnie Aument Loughrey,,,,,,,,,,,0,13,All
Total,773,459,742,585,558,534,488,432,428,404,401,14,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,1
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Brendan F Boyle,Michele Lawrence,2,1
James Harrity,2,8,7,9,8,6,6,6,3,11,3,3,1
Mona Getzes Cohen,,1,7,5,4,3,2,2,0,7,8,4,1
Meagan Ingerson,,,1,5,4,4,2,2,1,7,3,5,1
Erica Vanstone,,,,0,7,7,6,5,4,6,2,6,1
Billy Cortes,,,,,0,6,5,6,3,4,2,7,1
Richard Lombardo,,,,,,0,5,4,4,5,1,8,1
Catherine Bartch,,,,,,,0,3,3,3,1,9,1
Marnie Aument Loughrey,,,,,,,,0,3,3,1,10,1
Frank T Brzozowski,,,,,,,,,0,3,0,11,1
Brendan F Boyle,,,,,,,,,,2,0,12,1
Michele Lawrence,,,,,,,,,,,1,13,1
Total,19,16,11,10,8,7,6,6,4,18,9,14,1
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Brendan F Boyle,Michele Lawrence,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,2,2
Brendan F Boyle,7,0,13,12,11,7,6,5,3,3,1,3,2
Michele Lawrence,,0,7,4,4,4,3,2,3,3,4,4,2
Mona Getzes Cohen,,,0,12,12,10,8,7,5,5,4,5,2
James Harrity,,,,0,11,9,8,7,6,5,3,6,2
Meagan Ingerson,,,,,0,10,7,6,5,4,3,7,2
Erica Vanstone,,,,,,0,8,7,5,5,4,8,2
Richard Lombardo,,,,,,,0,7,5,5,3,9,2
Catherine Bartch,,,,,,,,0,3,3,2,10,2
Marnie Aument Loughrey,,,,,,,,,0,3,2,11,2
Billy Cortes,,,,,,,,,,0,3,12,2
Frank T Brzozowski,,,,,,,,,,,0,13,2
Total,25,10,20,17,15,11,9,7,7,6,5,14,2
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,3
Brendan F Boyle,1,0,11,5,6,8,8,7,5,5,3,3,3
Michele Lawrence,,1,7,9,9,5,4,4,2,2,3,4,3
James Harrity,,,0,10,9,8,7,8,4,5,4,5,3
Meagan Ingerson,,,,1,11,8,7,8,4,4,3,6,3
Mona Getzes Cohen,,,,,0,8,7,8,4,5,3,7,3
Erica Vanstone,,,,,,0,10,11,7,7,6,8,3
Richard Lombardo,,,,,,,0,10,6,6,6,9,3
Frank T Brzozowski,,,,,,,,0,7,7,6,10,3
Billy Cortes,,,,,,,,,0,5,5,11,3
Catherine Bartch,,,,,,,,,,0,3,12,3
Marnie Aument Loughrey,,,,,,,,,,,0,13,3
Total,18,14,18,15,15,13,12,11,7,7,6,14,3
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Brendan F Boyle,Michele Lawrence,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Richard Lombardo,Erica Vanstone,Billy Cortes,Marnie Aument Loughrey,Catherine Bartch,Frank T Brzozowski,2,4
Brendan F Boyle,10,0,19,14,15,11,7,9,8,6,7,3,4
Michele Lawrence,,0,8,10,8,7,7,4,4,5,4,4,4
Mona Getzes Cohen,,,1,18,17,13,9,10,7,7,7,5,4
James Harrity,,,,0,18,14,10,10,9,8,8,6,4
Meagan Ingerson,,,,,1,12,9,9,7,6,8,7,4
Richard Lombardo,,,,,,0,11,8,9,8,11,8,4
Erica Vanstone,,,,,,,0,7,6,7,7,9,4
Billy Cortes,,,,,,,,0,6,4,5,10,4
Marnie Aument Loughrey,,,,,,,,,0,7,6,11,4
Catherine Bartch,,,,,,,,,,0,4,12,4
Frank T Brzozowski,,,,,,,,,,,0,13,4
Total,36,19,28,24,24,18,14,13,12,11,11,14,4
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,Billy Cortes,Erica Vanstone,Marnie Aument Loughrey,Richard Lombardo,Frank T Brzozowski,2,5
Brendan F Boyle,5,0,9,6,6,9,9,7,6,8,7,3,5
Michele Lawrence,,0,5,8,8,3,3,5,4,3,2,4,5
James Harrity,,,1,8,7,7,10,8,7,10,8,5,5
Meagan Ingerson,,,,0,11,7,6,8,5,6,4,6,5
Mona Getzes Cohen,,,,,1,7,6,8,5,6,4,7,5
Catherine Bartch,,,,,,0,8,9,10,8,7,8,5
Billy Cortes,,,,,,,0,8,7,10,9,9,5
Erica Vanstone,,,,,,,,0,8,9,7,10,5
Marnie Aument Loughrey,,,,,,,,,0,7,5,11,5
Richard Lombardo,,,,,,,,,,0,9,12,5
Frank T Brzozowski,,,,,,,,,,,0,13,5
Total,17,11,15,15,15,13,12,12,11,11,9,14,5
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,6
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,6
James Harrity,1,18,19,17,15,16,15,14,11,18,7,3,6
Mona Getzes Cohen,,3,14,18,10,11,10,9,6,12,9,4,6
Erica Vanstone,,,0,13,14,16,14,14,10,13,6,5,6
Meagan Ingerson,,,,0,10,11,9,8,7,10,9,6,6
Frank T Brzozowski,,,,,0,14,10,10,8,10,5,7,6
Richard Lombardo,,,,,,0,11,10,8,10,5,8,6
Catherine Bartch,,,,,,,0,10,10,12,2,9,6
Billy Cortes,,,,,,,,0,8,10,2,10,6
Marnie Aument Loughrey,,,,,,,,,0,8,3,11,6
Brendan F Boyle,,,,,,,,,,5,0,12,6
Michele Lawrence,,,,,,,,,,,2,13,6
Total,28,25,21,20,17,17,15,14,12,27,14,14,6
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,7
,James Harrity,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Mona Getzes Cohen,Erica Vanstone,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,7
James Harrity,1,16,20,17,15,16,15,15,15,16,13,3,7
Meagan Ingerson,,0,11,9,12,7,7,6,8,11,11,4,7
Richard Lombardo,,,0,18,9,17,14,15,15,13,9,5,7
Catherine Bartch,,,,0,7,14,12,11,14,11,7,6,7
Mona Getzes Cohen,,,,,0,4,5,4,5,6,9,7,7
Erica Vanstone,,,,,,0,12,12,11,11,6,8,7
Billy Cortes,,,,,,,0,10,11,8,7,9,7
Frank T Brzozowski,,,,,,,,0,11,10,5,10,7
Marnie Aument Loughrey,,,,,,,,,0,9,7,11,7
Brendan F Boyle,,,,,,,,,,5,0,12,7
Michele Lawrence,,,,,,,,,,,5,13,7
Total,34,24,22,18,18,17,16,16,16,27,25,14,7
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,8
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,2,8
Mona Getzes Cohen,2,27,33,25,23,22,20,19,17,28,18,3,8
James Harrity,,0,27,26,26,24,21,19,18,24,14,4,8
Meagan Ingerson,,,0,26,24,22,22,19,16,24,15,5,8
Erica Vanstone,,,,0,27,28,26,22,19,24,10,6,8
Richard Lombardo,,,,,0,25,21,20,16,24,10,7,8
Frank T Brzozowski,,,,,,0,22,18,17,24,7,8,8
Billy Cortes,,,,,,,0,21,16,22,8,9,8
Catherine Bartch,,,,,,,,0,16,19,8,10,8
Marnie Aument Loughrey,,,,,,,,,0,17,7,11,8
Brendan F Boyle,,,,,,,,,,5,0,12,8
Michele Lawrence,,,,,,,,,,,0,13,8
Total,50,41,40,35,34,33,30,28,25,48,24,14,8
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,9
,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Brendan F Boyle,Michele Lawrence,2,9
Meagan Ingerson,1,35,44,34,27,21,18,21,16,31,22,3,9
James Harrity,,3,34,33,25,23,21,19,19,32,18,4,9
Mona Getzes Cohen,,,0,35,27,20,19,21,17,24,25,5,9
Erica Vanstone,,,,1,33,26,25,26,21,23,21,6,9
Catherine Bartch,,,,,0,18,18,23,17,17,17,7,9
Richard Lombardo,,,,,,1,16,14,14,15,14,8,9
Frank T Brzozowski,,,,,,,0,14,13,16,10,9,9
Marnie Aument Loughrey,,,,,,,,0,13,13,12,10,9
Billy Cortes,,,,,,,,,0,11,11,11,9
Brendan F Boyle,,,,,,,,,,10,0,12,9
Michele Lawrence,,,,,,,,,,,6,13,9
Total,56,53,51,47,36,30,27,27,22,55,39,14,9
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,Brendan F Boyle,Michele Lawrence,James Harrity,Erica Vanstone,Mona Getzes Cohen,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Billy Cortes,2,10
Brendan F Boyle,11,0,42,34,30,32,26,29,24,25,22,3,10
Michele Lawrence,,3,13,16,15,10,14,8,14,9,7,4,10
James Harrity,,,0,34,26,35,29,32,23,28,26,5,10
Erica Vanstone,,,,0,31,38,39,34,32,35,29,6,10
Mona Getzes Cohen,,,,,0,23,22,21,30,19,15,7,10
Richard Lombardo,,,,,,0,32,37,23,28,28,8,10
Catherine Bartch,,,,,,,0,30,23,30,26,9,10
Frank T Brzozowski,,,,,,,,0,19,26,25,10,10
Meagan Ingerson,,,,,,,,,1,19,13,11,10
Marnie Aument Loughrey,,,,,,,,,,0,25,12,10
Billy Cortes,,,,,,,,,,,0,13,10
Total,68,32,58,53,46,45,43,40,39,38,33,14,10
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,Brendan F Boyle,Michele Lawrence,James Harrity,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,2,11
Brendan F Boyle,2,0,14,14,9,6,9,11,11,9,8,3,11
Michele Lawrence,,4,12,8,10,11,7,5,5,6,3,4,11
James Harrity,,,0,18,15,12,15,13,14,14,9,5,11
Erica Vanstone,,,,0,12,10,14,14,14,14,10,6,11
Meagan Ingerson,,,,,0,12,9,8,9,9,4,7,11
Mona Getzes Cohen,,,,,,1,7,6,7,6,2,8,11
Billy Cortes,,,,,,,0,10,11,11,10,9,11
Frank T Brzozowski,,,,,,,,0,13,11,8,10,11
Richard Lombardo,,,,,,,,,0,10,7,11,11
Catherine Bartch,,,,,,,,,,0,10,12,11
Marnie Aument Loughrey,,,,,,,,,,,0,13,11
Total,26,20,26,22,19,18,16,16,16,15,11,14,11
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,12
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Michele Lawrence,Brendan F Boyle,2,12
James Harrity,1,14,13,13,11,10,8,10,4,12,8,3,12
Meagan Ingerson,,0,13,12,10,9,7,8,4,12,6,4,12
Mona Getzes Cohen,,,2,12,9,8,7,8,4,9,6,5,12
Erica Vanstone,,,,0,11,10,9,10,5,8,6,6,12
Catherine Bartch,,,,,0,8,8,7,5,7,5,7,12
Richard Lombardo,,,,,,0,7,8,2,5,7,8,12
Billy Cortes,,,,,,,0,6,3,5,5,9,12
Frank T Brzozowski,,,,,,,,0,2,6,4,10,12
Marnie Aument Loughrey,,,,,,,,,0,3,2,11,12
Michele Lawrence,,,,,,,,,,2,0,12,12
Brendan F Boyle,,,,,,,,,,,1,13,12
Total,21,18,17,14,13,12,11,10,5,19,11,14,12
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Catherine Bartch,2,13
Brendan F Boyle,15,0,42,31,29,33,32,30,26,26,24,3,13
Michele Lawrence,,4,21,24,24,15,15,13,12,12,13,4,13
James Harrity,,,0,38,36,41,42,34,34,33,29,5,13
Mona Getzes Cohen,,,,1,43,34,31,25,22,21,24,6,13
Meagan Ingerson,,,,,1,35,33,25,22,23,25,7,13
Erica Vanstone,,,,,,0,42,36,32,34,34,8,13
Richard Lombardo,,,,,,,0,32,33,33,30,9,13
Marnie Aument Loughrey,,,,,,,,0,25,27,32,10,13
Frank T Brzozowski,,,,,,,,,0,25,24,11,13
Billy Cortes,,,,,,,,,,0,23,12,13
Catherine Bartch,,,,,,,,,,,0,13,13
Total,74,44,67,60,58,51,50,45,40,39,39,14,13
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,2,14
Brendan F Boyle,6,0,18,14,13,13,13,13,12,10,8,3,14
Michele Lawrence,,2,17,17,14,12,12,11,12,8,5,4,14
Meagan Ingerson,,,0,19,17,20,18,18,19,12,8,5,14
Mona Getzes Cohen,,,,0,18,17,13,15,15,9,6,6,14
James Harrity,,,,,0,18,17,15,15,12,9,7,14
Erica Vanstone,,,,,,0,21,22,22,15,11,8,14
Frank T Brzozowski,,,,,,,0,17,17,16,8,9,14
Catherine Bartch,,,,,,,,0,22,13,10,10,14
Marnie Aument Loughrey,,,,,,,,,0,12,10,11,14
Richard Lombardo,,,,,,,,,,0,9,12,14
Billy Cortes,,,,,,,,,,,0,13,14
Total,36,29,35,31,28,27,27,24,24,19,14,14,14
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,15
,James Harrity,Erica Vanstone,Catherine Bartch,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Mona Getzes Cohen,Brendan F Boyle,Michele Lawrence,2,15
James Harrity,0,19,19,19,16,15,12,13,10,10,11,3,15
Erica Vanstone,,0,19,18,16,15,10,14,9,9,9,4,15
Catherine Bartch,,,0,18,16,15,9,14,8,10,8,5,15
Richard Lombardo,,,,0,15,15,9,13,7,10,8,6,15
Billy Cortes,,,,,0,13,6,12,6,9,6,7,15
Frank T Brzozowski,,,,,,0,6,11,5,10,5,8,15
Meagan Ingerson,,,,,,,2,4,10,4,10,9,15
Marnie Aument Loughrey,,,,,,,,0,2,8,4,10,15
Mona Getzes Cohen,,,,,,,,,0,2,10,11,15
Brendan F Boyle,,,,,,,,,,3,0,12,15
Michele Lawrence,,,,,,,,,,,1,13,15
Total,23,21,20,20,17,17,17,14,13,16,15,14,15
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,Brendan F Boyle,Michele Lawrence,James Harrity,Richard Lombardo,Frank T Brzozowski,Erica Vanstone,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,2,16
Brendan F Boyle,7,0,35,29,28,26,26,27,26,9,8,3,16
Michele Lawrence,,2,8,5,5,5,4,3,4,5,5,4,16
James Harrity,,,0,28,27,26,24,26,24,9,9,5,16
Richard Lombardo,,,,0,33,32,30,30,30,2,4,6,16
Frank T Brzozowski,,,,,0,30,28,28,29,1,3,7,16
Erica Vanstone,,,,,,0,29,28,28,2,3,8,16
Billy Cortes,,,,,,,0,27,28,2,3,9,16
Catherine Bartch,,,,,,,,0,27,1,2,10,16
Marnie Aument Loughrey,,,,,,,,,0,1,2,11,16
Meagan Ingerson,,,,,,,,,,0,10,12,16
Mona Getzes Cohen,,,,,,,,,,,0,13,16
Total,53,14,44,37,34,32,31,31,30,15,15,14,16
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,17
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Brendan F Boyle,Michele Lawrence,2,17
James Harrity,1,19,25,22,20,19,18,18,14,23,7,3,17
Mona Getzes Cohen,,1,13,12,9,8,17,9,4,15,14,4,17
Erica Vanstone,,,0,24,22,21,12,20,15,20,4,5,17
Richard Lombardo,,,,0,20,20,10,20,16,19,2,6,17
Billy Cortes,,,,,0,20,7,16,12,16,3,7,17
Catherine Bartch,,,,,,0,8,17,12,16,2,8,17
Meagan Ingerson,,,,,,,0,8,4,13,9,9,17
Marnie Aument Loughrey,,,,,,,,0,15,16,1,10,17
Frank T Brzozowski,,,,,,,,,0,11,1,11,17
Brendan F Boyle,,,,,,,,,,5,0,12,17
Michele Lawrence,,,,,,,,,,,2,13,17
Total,34,30,27,25,23,22,22,21,16,30,21,14,17
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1,18
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Catherine Bartch,Brendan F Boyle,Michele Lawrence,2,18
James Harrity,0,10,15,11,15,15,13,12,10,21,9,3,18
Mona Getzes Cohen,,1,4,10,4,2,2,0,1,8,11,4,18
Erica Vanstone,,,0,6,17,15,15,13,10,11,7,5,18
Meagan Ingerson,,,,1,4,3,2,1,2,6,11,6,18
Richard Lombardo,,,,,0,15,15,12,10,12,5,7,18
Billy Cortes,,,,,,0,13,13,11,11,3,8,18
Frank T Brzozowski,,,,,,,0,12,8,10,4,9,18
Marnie Aument Loughrey,,,,,,,,0,9,10,2,10,18
Catherine Bartch,,,,,,,,,0,8,1,11,18
Brendan F Boyle,,,,,,,,,,1,0,12,18
Michele Lawrence,,,,,,,,,,,1,13,18
