col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,All
,Meagan Ingerson,Erica Vanstone,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Joe Hohenstein,Dan Martino,Maggie Borski,Sean Kilkenny,All
Meagan Ingerson,1,262,199,252,191,174,169,148,129,132,128,69,28,All
Erica Vanstone,,1,236,229,246,230,227,207,183,158,97,69,28,All
James Harrity,,,1,182,176,195,157,186,152,145,81,47,29,All
Mona Getzes Cohen,,,,1,175,149,155,141,119,102,103,56,26,All
Catherine Bartch,,,,,0,161,204,161,155,127,68,53,22,All
Frank T Brzozowski,,,,,,0,158,180,150,124,71,39,28,All
Marnie Aument Loughrey,,,,,,,0,148,144,121,64,44,18,All
Richard Lombardo,,,,,,,,0,143,108,53,41,28,All
Billy Cortes,,,,,,,,,0,98,50,35,22,All
Joe Hohenstein,,,,,,,,,,46,0,0,0,All
Dan Martino,,,,,,,,,,,46,0,0,All
Maggie Borski,,,,,,,,,,,,21,0,All
Sean Kilkenny,,,,,,,,,,,,,20,All
Total,361,358,307,291,275,266,252,233,208,278,195,117,68,All
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,6
,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Marnie Aument Loughrey,James Harrity,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Joe Hohenstein,Dan Martino,Maggie Borski,Sean Kilkenny,6
Meagan Ingerson,0,41,42,35,34,31,27,25,23,17,17,17,6,6
Mona Getzes Cohen,,0,34,30,30,27,22,25,21,13,15,17,5,6
Erica Vanstone,,,0,32,31,29,24,21,18,15,12,16,5,6
Marnie Aument Loughrey,,,,0,23,26,16,15,17,12,12,10,5,6
James Harrity,,,,,0,20,26,22,19,9,8,13,8,6
Catherine Bartch,,,,,,0,10,18,14,12,6,11,6,6
Frank T Brzozowski,,,,,,,0,18,14,6,9,9,6,6
Richard Lombardo,,,,,,,,0,14,7,7,8,7,6
Billy Cortes,,,,,,,,,0,4,9,8,4,6
Joe Hohenstein,,,,,,,,,,5,0,0,0,6
Dan Martino,,,,,,,,,,,4,0,0,6
Maggie Borski,,,,,,,,,,,,2,0,6
Sean Kilkenny,,,,,,,,,,,,,1,6
Total,57,50,48,39,38,35,30,29,25,27,23,22,14,6
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,15
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Joe Hohenstein,Maggie Borski,Dan Martino,Sean Kilkenny,15
Meagan Ingerson,1,48,46,36,30,30,28,27,19,30,14,15,5,15
Erica Vanstone,,0,44,37,32,32,31,29,18,28,12,12,4,15
Mona Getzes Cohen,,,0,38,28,31,29,29,18,23,14,12,5,15
James Harrity,,,,0,28,30,23,21,16,24,7,12,4,15
Frank T Brzozowski,,,,,0,25,15,16,16,18,5,9,5,15
Richard Lombardo,,,,,,0,19,21,15,18,4,8,5,15
Catherine Bartch,,,,,,,0,24,12,16,8,6,3,15
Marnie Aument Loughrey,,,,,,,,0,12,17,7,4,4,15
Billy Cortes,,,,,,,,,0,10,4,3,5,15
Joe Hohenstein,,,,,,,,,,8,0,0,0,15
Maggie Borski,,,,,,,,,,,10,0,0,15
Dan Martino,,,,,,,,,,,,8,0,15
Sean Kilkenny,,,,,,,,,,,,,4,15
Total,65,56,54,47,37,35,33,32,22,47,30,24,11,15
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,16
,Erica Vanstone,James Harrity,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Joe Hohenstein,Dan Martino,Maggie Borski,Sean Kilkenny,16
Erica Vanstone,0,56,61,53,57,55,46,48,48,41,22,13,4,16
James Harrity,,0,43,40,38,45,36,40,35,38,16,10,3,16
Catherine Bartch,,,0,40,53,43,37,36,40,34,17,12,3,16
Meagan Ingerson,,,,0,35,33,51,23,25,29,25,8,1,16
Marnie Aument Loughrey,,,,,0,41,33,35,40,36,14,8,2,16
Frank T Brzozowski,,,,,,0,28,40,38,35,15,7,3,16
Mona Getzes Cohen,,,,,,,0,21,24,25,21,5,1,16
Richard Lombardo,,,,,,,,0,32,31,8,10,3,16
Billy Cortes,,,,,,,,,0,29,10,8,2,16
Joe Hohenstein,,,,,,,,,,11,0,0,0,16
Dan Martino,,,,,,,,,,,10,0,0,16
Maggie Borski,,,,,,,,,,,,4,0,16
Sean Kilkenny,,,,,,,,,,,,,2,16
Total,82,69,68,66,62,61,55,52,49,67,40,19,6,16
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,17
,Erica Vanstone,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,James Harrity,Mona Getzes Cohen,Richard Lombardo,Joe Hohenstein,Dan Martino,Maggie Borski,Sean Kilkenny,17
Erica Vanstone,0,44,39,42,38,35,30,32,32,27,12,12,6,17
Catherine Bartch,,0,35,40,30,33,26,26,26,23,11,11,3,17
Meagan Ingerson,,,0,32,25,24,19,34,21,17,15,12,4,17
Marnie Aument Loughrey,,,,0,30,29,24,25,26,20,12,10,3,17
Frank T Brzozowski,,,,,0,25,20,18,26,21,8,9,6,17
Billy Cortes,,,,,,0,24,19,27,17,8,10,4,17
James Harrity,,,,,,,1,15,23,17,8,9,3,17
Mona Getzes Cohen,,,,,,,,0,16,11,11,9,4,17
Richard Lombardo,,,,,,,,,0,12,7,10,4,17
Joe Hohenstein,,,,,,,,,,6,0,0,0,17
Dan Martino,,,,,,,,,,,7,0,0,17
Maggie Borski,,,,,,,,,,,,2,0,17
Sean Kilkenny,,,,,,,,,,,,,7,17
Total,57,48,48,45,44,39,38,35,33,39,25,20,15,17
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,18
,Meagan Ingerson,James Harrity,Erica Vanstone,Mona Getzes Cohen,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Joe Hohenstein,Dan Martino,Sean Kilkenny,Maggie Borski,18
Meagan Ingerson,0,39,40,40,29,29,27,21,17,22,21,8,7,18
James Harrity,,0,36,35,34,33,27,25,19,22,18,7,2,18
Erica Vanstone,,,0,35,32,31,30,25,23,18,18,6,5,18
Mona Getzes Cohen,,,,0,27,25,25,19,14,17,19,8,4,18
Frank T Brzozowski,,,,,0,31,23,20,18,15,14,5,3,18
Richard Lombardo,,,,,,0,24,21,16,17,10,6,3,18
Catherine Bartch,,,,,,,0,21,17,16,11,4,4,18
Billy Cortes,,,,,,,,0,13,14,10,4,1,18
Marnie Aument Loughrey,,,,,,,,,0,13,8,1,2,18
Joe Hohenstein,,,,,,,,,,10,0,0,0,18
Dan Martino,,,,,,,,,,,9,0,0,18
Sean Kilkenny,,,,,,,,,,,,1,0,18
Maggie Borski,,,,,,,,,,,,,0,18
Total,58,50,48,48,38,37,36,30,25,45,35,11,8,18
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In The General Assembly 177th District - Democrat,,,,19
,Erica Vanstone,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Joe Hohenstein,Dan Martino,Maggie Borski,Sean Kilkenny,19
Erica Vanstone,1,40,46,49,51,44,38,43,39,29,21,11,3,19
