col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,All
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Linwood Holland,0,17,15,9,6,14,7,6,3,All
Camille G Mccolgan,,0,16,9,6,8,9,8,4,All
Margaret L Recupido,,,0,8,4,9,6,9,5,All
Dan Tinney,,,,0,5,5,4,4,6,All
Joseph Giedemann,,,,,0,4,2,3,7,All
Scott R Wagner,,,,,,4,0,0,8,All
Paul Mango,,,,,,,5,0,9,All
Laura Ellsworth,,,,,,,,2,10,All
Total,27,25,24,13,9,24,17,14,11,All
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,1
,Laura Ellsworth,Paul Mango,Scott R Wagner,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,1
Laura Ellsworth,1,0,0,1,0,0,0,0,3,1
Paul Mango,,0,0,0,0,0,0,0,4,1
Scott R Wagner,,,0,0,0,0,0,0,5,1
Camille G Mccolgan,,,,0,0,0,0,0,6,1
Dan Tinney,,,,,0,0,0,0,7,1
Joseph Giedemann,,,,,,0,0,0,8,1
Linwood Holland,,,,,,,0,0,9,1
Margaret L Recupido,,,,,,,,0,10,1
Total,2,0,0,1,0,0,0,0,11,1
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,2
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Paul Mango,Laura Ellsworth,Scott R Wagner,2,2
Margaret L Recupido,0,2,1,1,1,3,1,0,3,2
Camille G Mccolgan,,0,1,1,1,1,1,0,4,2
Dan Tinney,,,0,0,1,1,0,0,5,2
Joseph Giedemann,,,,0,0,0,1,0,6,2
Linwood Holland,,,,,0,1,0,0,7,2
Paul Mango,,,,,,1,0,0,8,2
Laura Ellsworth,,,,,,,0,0,9,2
Scott R Wagner,,,,,,,,0,10,2
Total,4,2,1,1,1,4,1,0,11,2
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,3
,Scott R Wagner,Laura Ellsworth,Paul Mango,Margaret L Recupido,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,3
Scott R Wagner,0,0,0,2,1,0,0,0,3,3
Laura Ellsworth,,1,0,0,0,0,0,0,4,3
Paul Mango,,,0,0,0,0,0,0,5,3
Margaret L Recupido,,,,0,0,0,0,0,6,3
Linwood Holland,,,,,0,0,0,0,7,3
Camille G Mccolgan,,,,,,0,0,0,8,3
