To Remove,Governor - Democrat,To Remove 2,United States Senator - Democrat,To Remove 3,division
,Governor - Democrat,,United States Senator - Democrat,,All
,Tom Wolf,Write In,Bob Casey Jr,Write In,All
Bob Casey Jr,737,0,65,0,All
Write In,0,0,,0,All
Tom Wolf,58,,,0,All
Write In,,,,1,All
Total,797,1,803,1,All
,Governor - Democrat,,United States Senator - Democrat,0,1
,Tom Wolf,Write In,Bob Casey Jr,0,1
Tom Wolf,5,0,26,0,1
Write In,,1,0,0,1
Bob Casey Jr,,,1,0,1
Total,32,1,28,0,1
,Governor - Democrat,,United States Senator - Democrat,0,2
,Tom Wolf,Write In,Bob Casey Jr,0,2
Tom Wolf,4,0,34,0,2
Write In,,1,0,0,2
Bob Casey Jr,,,3,0,2
Total,39,1,38,0,2
,Governor - Democrat,,United States Senator - Democrat,0,3
,Tom Wolf,Write In,Bob Casey Jr,0,3
Tom Wolf,5,0,26,0,3
Write In,,1,0,0,3
Bob Casey Jr,,,2,0,3
Total,32,1,29,0,3
,Governor - Democrat,,United States Senator - Democrat,,4
,Tom Wolf,Write In,Bob Casey Jr,Write In,4
Tom Wolf,6,0,29,0,4
Write In,,1,0,0,4
Bob Casey Jr,,,2,0,4
Write In,,,,0,4
Total,37,1,32,1,4
,Governor - Democrat,,United States Senator - Democrat,0,5
,Tom Wolf,Write In,Bob Casey Jr,0,5
Bob Casey Jr,30,0,3,0,5
Tom Wolf,3,0,,0,5
Write In,,1,,0,5
Total,34,1,34,0,5
,Governor - Democrat,,United States Senator - Democrat,0,6
,Tom Wolf,Write In,Bob Casey Jr,0,6
Tom Wolf,3,0,33,0,6
Write In,,1,0,0,6
Bob Casey Jr,,,2,0,6
Total,37,1,36,0,6
,Governor - Democrat,,United States Senator - Democrat,0,7
,Tom Wolf,Write In,Bob Casey Jr,0,7
Bob Casey Jr,13,0,7,0,7
Tom Wolf,1,0,,0,7
Write In,,1,,0,7
Total,15,1,21,0,7
,Governor - Democrat,,United States Senator - Democrat,0,8
,Tom Wolf,Write In,Bob Casey Jr,0,8
Bob Casey Jr,19,0,4,0,8
Tom Wolf,2,0,,0,8
Write In,,1,,0,8
Total,22,1,24,0,8
,Governor - Democrat,,United States Senator - Democrat,0,9
,Tom Wolf,Write In,Bob Casey Jr,0,9
Bob Casey Jr,23,0,4,0,9
Tom Wolf,3,0,,0,9
Write In,,1,,0,9
Total,27,1,28,0,9
,Governor - Democrat,,United States Senator - Democrat,0,10
,Tom Wolf,Write In,Bob Casey Jr,0,10
Bob Casey Jr,24,0,4,0,10
Tom Wolf,4,0,,0,10
Write In,,1,,0,10
Total,29,1,29,0,10
,Governor - Democrat,,United States Senator - Democrat,0,11
,Tom Wolf,Write In,Bob Casey Jr,0,11
Bob Casey Jr,21,0,4,0,11
Tom Wolf,2,0,,0,11
Write In,,1,,0,11
Total,24,1,26,0,11
,Governor - Democrat,,United States Senator - Democrat,0,12
,Tom Wolf,Write In,Bob Casey Jr,0,12
Bob Casey Jr,29,0,3,0,12
Tom Wolf,3,0,,0,12
Write In,,1,,0,12
Total,33,1,33,0,12
,Governor - Democrat,,United States Senator - Democrat,0,13
,Tom Wolf,Write In,Bob Casey Jr,0,13
Tom Wolf,4,0,24,0,13
Write In,,1,0,0,13
Bob Casey Jr,,,2,0,13
Total,29,1,27,0,13
,Governor - Democrat,,United States Senator - Democrat,0,14
,Tom Wolf,Write In,Bob Casey Jr,0,14
Tom Wolf,4,0,38,0,14
Write In,,1,0,0,14
Bob Casey Jr,,,3,0,14
Total,43,1,42,0,14
,Governor - Democrat,,United States Senator - Democrat,0,15
,Tom Wolf,Write In,Bob Casey Jr,0,15
Bob Casey Jr,37,0,3,0,15
Tom Wolf,2,0,,0,15
Write In,,1,,0,15
Total,40,1,41,0,15
,Governor - Democrat,,United States Senator - Democrat,0,16
,Tom Wolf,Write In,Bob Casey Jr,0,16
Bob Casey Jr,18,0,3,0,16
Tom Wolf,1,0,,0,16
Write In,,1,,0,16
Total,20,1,22,0,16
,Governor - Democrat,,United States Senator - Democrat,0,17
,Tom Wolf,Write In,Bob Casey Jr,0,17
Tom Wolf,4,0,42,0,17
Write In,,1,0,0,17
Bob Casey Jr,,,2,0,17
Total,47,1,45,0,17
,Governor - Democrat,,United States Senator - Democrat,0,18
,Tom Wolf,Write In,Bob Casey Jr,0,18
Bob Casey Jr,23,0,8,0,18
Tom Wolf,1,0,,0,18
Write In,,1,,0,18
Total,25,1,32,0,18
,Governor - Democrat,,United States Senator - Democrat,0,19
,Tom Wolf,Write In,Bob Casey Jr,0,19
Bob Casey Jr,16,0,4,0,19
Tom Wolf,3,0,,0,19
Write In,,1,,0,19
Total,20,1,21,0,19
,Governor - Democrat,,United States Senator - Democrat,0,20
,Tom Wolf,Write In,Bob Casey Jr,0,20
Tom Wolf,3,0,24,0,20
Write In,,1,0,0,20
Bob Casey Jr,,,1,0,20
Total,28,1,26,0,20
,Governor - Democrat,,United States Senator - Democrat,0,21
,Tom Wolf,Write In,Bob Casey Jr,0,21
Bob Casey Jr,37,0,5,0,21
Tom Wolf,3,0,,0,21
Write In,,1,,0,21
Total,41,1,43,0,21
,Governor - Democrat,,United States Senator - Democrat,0,22
,Tom Wolf,Write In,Bob Casey Jr,0,22
Bob Casey Jr,24,0,6,0,22
Tom Wolf,3,0,,0,22
Write In,,1,,0,22
Total,28,1,31,0,22
,Governor - Democrat,,United States Senator - Democrat,0,23
,Tom Wolf,Write In,Bob Casey Jr,0,23
Tom Wolf,3,0,27,0,23
Write In,,1,0,0,23
Bob Casey Jr,,,2,0,23
Total,31,1,30,0,23
,Governor - Democrat,,United States Senator - Democrat,0,24
,Tom Wolf,Write In,Bob Casey Jr,0,24
Bob Casey Jr,33,0,3,0,24
Tom Wolf,1,0,,0,24
Write In,,1,,0,24
Total,35,1,37,0,24
,Governor - Democrat,,United States Senator - Democrat,0,25
,Tom Wolf,Write In,Bob Casey Jr,0,25
Bob Casey Jr,43,0,5,0,25
Tom Wolf,4,0,,0,25
Write In,,1,,0,25
Total,48,1,49,0,25
,Governor - Democrat,,United States Senator - Democrat,0,26
,Tom Wolf,Write In,Bob Casey Jr,0,26
Tom Wolf,6,0,19,0,26
Write In,,1,0,0,26
Bob Casey Jr,,,4,0,26
Total,26,1,24,0,26
