col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,,All
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,James R Roebuck,Diane Settles,Jeff Curry,All
Kathryn S Huggins,0,186,164,170,159,153,147,132,116,76,68,55,45,156,124,43,All
Dewayne Drummond,,0,140,109,112,96,93,109,99,53,50,36,31,111,74,32,All
Ken Washington,,,0,98,98,84,77,113,91,45,46,30,28,113,70,22,All
Monica Maria Djerassi,,,,0,143,133,126,81,56,70,43,56,33,99,72,33,All
Lisa Rhodes,,,,,0,144,105,70,54,60,44,55,36,100,64,29,All
Linda Norris,,,,,,0,96,66,45,56,38,50,29,87,57,34,All
Rebecca Poyourow,,,,,,,1,52,53,55,42,50,30,76,66,29,All
Liam G Boyle,,,,,,,,0,71,32,25,18,23,85,48,23,All
Kevin Bundy,,,,,,,,,0,45,40,16,30,69,52,20,All
Joe Khan,,,,,,,,,,0,31,28,26,54,33,21,All
Nat Lownes,,,,,,,,,,,0,22,15,40,31,9,All
Jacque Whaumbush,,,,,,,,,,,,1,14,32,29,14,All
John Brady,,,,,,,,,,,,,0,33,20,13,All
James R Roebuck,,,,,,,,,,,,,,73,0,0,All
Diane Settles,,,,,,,,,,,,,,,17,0,All
Jeff Curry,,,,,,,,,,,,,,,,19,All
Total,324,217,206,204,194,179,172,156,141,109,81,76,67,282,171,85,All
