col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Joe Khan,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Ken Washington,Dewayne Drummond,John Brady,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,All
Bob Casey Jr,"2,091","1,343","1,323","1,053",872,857,847,818,677,643,608,561,464,269,3,All
Kathryn S Huggins,,19,928,719,499,710,715,673,571,564,348,382,372,206,4,All
Rebecca Poyourow,,,7,724,677,683,704,659,428,410,441,474,255,182,5,All
Liam G Boyle,,,,15,479,407,402,406,458,397,421,311,327,134,6,All
Joe Khan,,,,,6,356,386,322,225,222,392,321,181,114,7,All
Lisa Rhodes,,,,,,0,553,650,291,324,233,348,168,136,8,All
Monica Maria Djerassi,,,,,,,0,518,273,281,234,334,191,143,9,All
Linda Norris,,,,,,,,1,295,290,217,308,146,124,10,All
Ken Washington,,,,,,,,,2,436,182,146,254,122,11,All
Dewayne Drummond,,,,,,,,,,3,159,144,257,130,12,All
John Brady,,,,,,,,,,,3,256,180,93,13,All
Jacque Whaumbush,,,,,,,,,,,,2,101,85,14,All
Kevin Bundy,,,,,,,,,,,,,3,101,15,All
Nat Lownes,,,,,,,,,,,,,,1,16,All
Total,"4,173","1,408","1,382","1,125",926,892,877,845,709,671,650,603,487,280,17,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Bob Casey Jr,Kathryn S Huggins,Rebecca Poyourow,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Liam G Boyle,Joe Khan,Jacque Whaumbush,Ken Washington,Dewayne Drummond,John Brady,Kevin Bundy,Nat Lownes,2,1
Bob Casey Jr,12,51,48,44,38,36,30,30,23,20,14,11,9,7,3,1
Kathryn S Huggins,,1,41,41,36,32,24,23,19,19,12,8,9,7,4,1
Rebecca Poyourow,,,0,37,33,31,20,19,20,15,11,7,6,5,5,1
Monica Maria Djerassi,,,,0,34,31,18,18,19,17,12,7,9,7,6,1
Lisa Rhodes,,,,,0,33,15,16,17,11,8,9,7,8,7,1
Linda Norris,,,,,,0,17,13,13,11,6,6,4,7,8,1
Liam G Boyle,,,,,,,0,15,9,9,6,8,7,2,9,1
Joe Khan,,,,,,,,0,13,5,6,8,6,2,10,1
Jacque Whaumbush,,,,,,,,,0,10,7,6,2,3,11,1
Ken Washington,,,,,,,,,,0,7,5,3,1,12,1
Dewayne Drummond,,,,,,,,,,,0,2,4,3,13,1
John Brady,,,,,,,,,,,,0,5,0,14,1
Kevin Bundy,,,,,,,,,,,,,0,0,15,1
Nat Lownes,,,,,,,,,,,,,,0,16,1
Total,79,55,50,46,42,37,31,30,25,20,15,13,11,8,17,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Bob Casey Jr,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Dewayne Drummond,Linda Norris,Lisa Rhodes,Ken Washington,Joe Khan,Jacque Whaumbush,Kevin Bundy,John Brady,Nat Lownes,2,2
Bob Casey Jr,10,64,55,47,43,37,38,32,29,25,20,20,17,14,3,2
Kathryn S Huggins,,0,45,37,40,34,35,28,25,20,16,16,10,13,4,2
Rebecca Poyourow,,,0,33,38,27,30,26,21,20,19,12,11,13,5,2
Liam G Boyle,,,,0,27,26,21,17,20,14,10,16,10,6,6,2
Monica Maria Djerassi,,,,,0,23,28,23,15,14,13,9,6,9,7,2
Dewayne Drummond,,,,,,0,19,16,25,13,4,14,5,9,8,2
Linda Norris,,,,,,,0,27,14,9,15,6,6,7,9,2
Lisa Rhodes,,,,,,,,0,14,6,11,7,4,3,10,2
Ken Washington,,,,,,,,,0,7,4,10,2,8,11,2
Joe Khan,,,,,,,,,,0,7,9,9,3,12,2
Jacque Whaumbush,,,,,,,,,,,0,2,4,6,13,2
Kevin Bundy,,,,,,,,,,,,0,7,2,14,2
John Brady,,,,,,,,,,,,,0,3,15,2
Nat Lownes,,,,,,,,,,,,,,0,16,2
Total,91,64,55,47,43,38,38,32,30,26,20,20,17,15,17,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Bob Casey Jr,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,3
Bob Casey Jr,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Dewayne Drummond,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Jacque Whaumbush,,,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Joe Khan,,,,0,0,0,0,0,0,0,0,0,0,0,6,3
John Brady,,,,,0,0,0,0,0,0,0,0,0,0,7,3
Kathryn S Huggins,,,,,,0,0,0,0,0,0,0,0,0,8,3
Ken Washington,,,,,,,0,0,0,0,0,0,0,0,9,3
Kevin Bundy,,,,,,,,0,0,0,0,0,0,0,10,3
Liam G Boyle,,,,,,,,,0,0,0,0,0,0,11,3
Linda Norris,,,,,,,,,,0,0,0,0,0,12,3
Lisa Rhodes,,,,,,,,,,,0,0,0,0,13,3
Monica Maria Djerassi,,,,,,,,,,,,0,0,0,14,3
Nat Lownes,,,,,,,,,,,,,0,0,15,3
Rebecca Poyourow,,,,,,,,,,,,,,0,16,3
Total,85,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Bob Casey Jr,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Ken Washington,Lisa Rhodes,Dewayne Drummond,Monica Maria Djerassi,Joe Khan,Kevin Bundy,Linda Norris,Jacque Whaumbush,John Brady,Nat Lownes,2,4
Bob Casey Jr,3,30,25,18,16,15,15,15,13,13,13,10,7,7,3,4
Kathryn S Huggins,,0,18,13,12,13,13,13,7,12,10,6,4,6,4,4
Rebecca Poyourow,,,0,13,11,13,12,14,10,11,11,10,8,6,5,4
Liam G Boyle,,,,0,9,6,8,5,8,9,7,5,7,4,6,4
Ken Washington,,,,,0,4,7,5,7,8,6,3,3,4,7,4
Lisa Rhodes,,,,,,0,9,10,3,4,9,7,5,1,8,4
Dewayne Drummond,,,,,,,0,9,1,7,6,6,3,3,9,4
Monica Maria Djerassi,,,,,,,,0,4,6,8,5,3,3,10,4
Joe Khan,,,,,,,,,0,5,4,3,3,2,11,4
Kevin Bundy,,,,,,,,,,0,1,5,5,4,12,4
Linda Norris,,,,,,,,,,,0,4,3,1,13,4
Jacque Whaumbush,,,,,,,,,,,,0,5,1,14,4
John Brady,,,,,,,,,,,,,0,1,15,4
Nat Lownes,,,,,,,,,,,,,,0,16,4
Total,45,31,27,20,16,16,15,15,14,14,13,11,9,7,17,4
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Bob Casey Jr,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Jacque Whaumbush,Dewayne Drummond,Joe Khan,John Brady,Ken Washington,Kevin Bundy,Nat Lownes,2,5
Bob Casey Jr,18,59,49,44,40,36,34,32,28,30,33,27,20,12,3,5
Kathryn S Huggins,,2,39,31,31,28,25,21,23,18,17,20,17,9,4,5
Rebecca Poyourow,,,0,31,31,29,25,26,14,20,19,15,10,10,5,5
Liam G Boyle,,,,0,19,20,20,19,17,18,22,18,14,5,6,5
Monica Maria Djerassi,,,,,0,24,25,18,13,15,13,12,10,5,7,5
Lisa Rhodes,,,,,,0,29,26,13,9,12,11,6,6,8,5
Linda Norris,,,,,,,0,21,11,14,12,9,5,6,9,5
Jacque Whaumbush,,,,,,,,0,9,13,13,8,6,6,10,5
