col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
Linwood Holland,,,,,,0,8,8
Total,12,8,7,6,5,4,9,8
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,9
,David Torres,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,9
David Torres,1,24,14,19,14,11,3,9
Camille G Mccolgan,,0,13,18,10,9,4,9
Joseph Giedemann,,,4,11,12,5,5,9
Margaret L Recupido,,,,0,9,8,6,9
Dan Tinney,,,,,0,2,7,9
Linwood Holland,,,,,,0,8,9
Total,33,25,23,20,18,12,9,9
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,10
,David Torres,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,10
David Torres,0,13,13,13,8,5,3,10
Camille G Mccolgan,,0,8,11,6,2,4,10
Linwood Holland,,,0,9,4,1,5,10
Margaret L Recupido,,,,0,6,3,6,10
Joseph Giedemann,,,,,0,4,7,10
Dan Tinney,,,,,,0,8,10
Total,22,14,13,13,10,6,9,10
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,11
,David Torres,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,2,11
David Torres,2,11,10,8,7,8,3,11
Camille G Mccolgan,,1,9,6,6,3,4,11
Margaret L Recupido,,,0,6,6,3,5,11
Joseph Giedemann,,,,0,7,0,6,11
Dan Tinney,,,,,0,1,7,11
Linwood Holland,,,,,,0,8,11
Total,21,12,10,9,8,8,9,11
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,12
,David Torres,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,Margaret L Recupido,2,12
David Torres,2,19,16,15,9,14,3,12
Camille G Mccolgan,,2,14,14,9,14,4,12
Joseph Giedemann,,,0,9,13,8,5,12
Linwood Holland,,,,1,6,10,6,12
Dan Tinney,,,,,0,5,7,12
Margaret L Recupido,,,,,,0,8,12
Total,26,23,21,18,15,15,9,12
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,13
,David Torres,Joseph Giedemann,Linwood Holland,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,2,13
David Torres,4,13,15,11,10,12,3,13
Joseph Giedemann,,0,8,6,10,6,4,13
Linwood Holland,,,0,8,6,8,5,13
Camille G Mccolgan,,,,1,5,10,6,13
Dan Tinney,,,,,0,6,7,13
Margaret L Recupido,,,,,,0,8,13
Total,29,17,15,14,14,14,9,13
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,David Torres,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,14
David Torres,3,13,12,13,12,9,3,14
Camille G Mccolgan,,0,9,11,11,6,4,14
Joseph Giedemann,,,0,8,9,8,5,14
Linwood Holland,,,,0,10,5,6,14
Margaret L Recupido,,,,,0,5,7,14
Dan Tinney,,,,,,0,8,14
Total,22,14,14,14,13,10,9,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,Representative In Congress 2nd District - Republican,1,15
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,David Torres,2,15
Camille G Mccolgan,0,1,1,1,0,1,3,15
Dan Tinney,,0,1,1,0,1,4,15
Joseph Giedemann,,,0,1,0,1,5,15
Margaret L Recupido,,,,0,0,1,6,15
Linwood Holland,,,,,0,0,7,15
David Torres,,,,,,0,8,15
Total,1,1,1,1,0,1,9,15
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,16
,David Torres,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,2,16
David Torres,4,16,16,19,17,11,3,16
Dan Tinney,,3,19,8,9,2,4,16
Joseph Giedemann,,,0,10,11,4,5,16
Margaret L Recupido,,,,0,14,9,6,16
Camille G Mccolgan,,,,,1,8,7,16
Linwood Holland,,,,,,0,8,16
Total,36,24,22,20,19,12,9,16
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,17
,David Torres,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,2,17
David Torres,0,12,10,7,7,4,3,17
Margaret L Recupido,,1,7,3,6,1,4,17
Camille G Mccolgan,,,1,3,5,2,5,17
Joseph Giedemann,,,,3,2,3,6,17
Linwood Holland,,,,,0,1,7,17
Dan Tinney,,,,,,1,8,17
Total,21,13,12,11,7,6,9,17
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,18
,David Torres,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,18
David Torres,0,5,4,4,4,4,3,18
Linwood Holland,,0,3,2,2,2,4,18
Camille G Mccolgan,,,0,3,2,3,5,18
Dan Tinney,,,,0,3,2,6,18
Joseph Giedemann,,,,,0,1,7,18
Margaret L Recupido,,,,,,0,8,18
Total,8,5,4,4,4,4,9,18
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,19
,David Torres,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,2,19
David Torres,1,15,15,11,12,11,3,19
Dan Tinney,,2,13,1,4,4,4,19
Joseph Giedemann,,,0,2,5,5,5,19
Linwood Holland,,,,1,6,6,6,19
Margaret L Recupido,,,,,0,10,7,19
Camille G Mccolgan,,,,,,0,8,19
Total,33,20,18,12,12,11,9,19
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,20
,David Torres,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Linwood Holland,Dan Tinney,2,20
David Torres,1,12,13,10,9,6,3,20
Camille G Mccolgan,,1,11,10,8,6,4,20
Margaret L Recupido,,,0,10,8,6,5,20
Joseph Giedemann,,,,0,8,6,6,20
Linwood Holland,,,,,0,3,7,20
Dan Tinney,,,,,,0,8,20
Total,16,14,13,12,11,7,9,20
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,21
,David Torres,Linwood Holland,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,2,21
David Torres,7,25,23,22,19,20,3,21
Linwood Holland,,0,12,14,12,9,4,21
Joseph Giedemann,,,0,13,16,9,5,21
Camille G Mccolgan,,,,1,14,12,6,21
Dan Tinney,,,,,0,9,7,21
Margaret L Recupido,,,,,,0,8,21
Total,53,25,24,23,20,20,9,21
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,22
,David Torres,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,22
David Torres,1,18,16,13,13,12,3,22
Linwood Holland,,0,11,7,7,9,4,22
Camille G Mccolgan,,,1,7,8,9,5,22
Dan Tinney,,,,0,12,6,6,22
Joseph Giedemann,,,,,0,6,7,22
Margaret L Recupido,,,,,,0,8,22
Total,31,18,17,17,17,12,9,22
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,23
,David Torres,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Margaret L Recupido,Linwood Holland,2,23
David Torres,5,19,16,15,16,12,3,23
Camille G Mccolgan,,0,9,9,15,7,4,23
Joseph Giedemann,,,1,14,9,5,5,23
Dan Tinney,,,,0,9,3,6,23
Margaret L Recupido,,,,,1,8,7,23
Linwood Holland,,,,,,0,8,23
Total,36,20,20,18,18,12,9,23
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,24
,David Torres,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,2,24
David Torres,2,29,29,20,27,19,3,24
Camille G Mccolgan,,1,27,12,20,11,4,24
Margaret L Recupido,,,1,11,19,10,5,24
Dan Tinney,,,,1,9,23,6,24
Linwood Holland,,,,,0,6,7,24
Joseph Giedemann,,,,,,0,8,24
Total,48,32,32,29,28,27,9,24
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,25
,David Torres,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,25
David Torres,2,15,13,12,12,12,3,25
Margaret L Recupido,,0,11,9,8,6,4,25
Camille G Mccolgan,,,0,7,5,6,5,25
Dan Tinney,,,,0,10,5,6,25
Joseph Giedemann,,,,,0,4,7,25
Linwood Holland,,,,,,0,8,25
Total,25,15,13,12,12,12,9,25
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,26
,David Torres,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,26
David Torres,4,14,12,13,12,12,3,26
Dan Tinney,,0,8,13,8,5,4,26
Camille G Mccolgan,,,1,10,10,7,5,26
Joseph Giedemann,,,,0,9,7,6,26
Margaret L Recupido,,,,,0,6,7,26
Linwood Holland,,,,,,0,8,26
Total,25,16,15,15,13,12,9,26
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,27
,David Torres,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,2,27
David Torres,0,15,13,7,6,10,3,27
Margaret L Recupido,,1,12,6,5,9,4,27
Camille G Mccolgan,,,0,7,6,10,5,27
Joseph Giedemann,,,,0,8,4,6,27
Dan Tinney,,,,,0,3,7,27
Linwood Holland,,,,,,0,8,27
Total,16,16,13,11,10,10,9,27
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,28
,David Torres,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,28
