col_1,col_2,col_3,col_4,division
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,All
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,All
Bob Casey Jr,153,"1,819",357,All
Brendan F Boyle,,284,0,All
Michele Lawrence,,,112,All
Total,"2,329","2,103",469,All
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,1
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,1
Bob Casey Jr,1,35,6,1
Brendan F Boyle,,4,0,1
Michele Lawrence,,,0,1
Total,42,39,6,1
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,2
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,2
Bob Casey Jr,0,16,5,2
Brendan F Boyle,,2,0,2
Michele Lawrence,,,0,2
Total,21,18,5,2
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,3
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,3
Bob Casey Jr,2,49,8,3
Brendan F Boyle,,4,0,3
Michele Lawrence,,,1,3
Total,59,53,9,3
,Representative In Congress 2nd District - Democrat,,United States Senator - Democrat,4
,Brendan F Boyle,Michele Lawrence,Bob Casey Jr,4
Brendan F Boyle,14,0,56,4
Michele Lawrence,,8,8,4
Bob Casey Jr,,,3,4
Total,70,16,67,4
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,5
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,5
Bob Casey Jr,1,48,20,5
Brendan F Boyle,,5,0,5
Michele Lawrence,,,3,5
Total,69,53,23,5
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,6
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,6
Bob Casey Jr,2,36,8,6
Brendan F Boyle,,7,0,6
Michele Lawrence,,,5,6
Total,46,43,13,6
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,7
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,7
Bob Casey Jr,8,33,13,7
Brendan F Boyle,,6,0,7
Michele Lawrence,,,2,7
Total,54,39,15,7
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,8
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,8
Bob Casey Jr,2,35,13,8
Brendan F Boyle,,6,0,8
Michele Lawrence,,,0,8
Total,50,41,13,8
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,9
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,9
Bob Casey Jr,3,41,6,9
Brendan F Boyle,,9,0,9
Michele Lawrence,,,4,9
Total,50,50,10,9
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,10
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,10
Bob Casey Jr,5,39,10,10
Brendan F Boyle,,8,0,10
Michele Lawrence,,,1,10
Total,54,47,11,10
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,11
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,11
Bob Casey Jr,3,28,7,11
Brendan F Boyle,,3,0,11
Michele Lawrence,,,0,11
Total,38,31,7,11
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,12
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,12
Bob Casey Jr,1,37,8,12
Brendan F Boyle,,7,0,12
Michele Lawrence,,,2,12
Total,46,44,10,12
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,13
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,13
Bob Casey Jr,4,41,4,13
Brendan F Boyle,,6,0,13
Michele Lawrence,,,0,13
Total,49,47,4,13
,United States Senator - Democrat,Representative In Congress 2nd District - Democrat,,14
,Bob Casey Jr,Brendan F Boyle,Michele Lawrence,14
Bob Casey Jr,3,22,8,14
Brendan F Boyle,,2,0,14
