col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,All
Meagan Ingerson,54,228,232,200,226,202,188,161,125,All
James Harrity,,59,194,230,205,185,214,156,145,All
Mona Getzes Cohen,,,36,170,195,162,153,124,109,All
Richard Lombardo,,,,13,217,191,210,156,158,All
Erica Vanstone,,,,,7,211,197,174,146,All
Catherine Bartch,,,,,,3,173,169,139,All
Frank T Brzozowski,,,,,,,11,144,141,All
Marnie Aument Loughrey,,,,,,,,4,115,All
Billy Cortes,,,,,,,,,1,All
Total,381,375,311,308,305,283,281,232,198,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1
,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,1
Meagan Ingerson,6,21,17,21,15,20,21,17,9,1
James Harrity,,2,22,22,20,21,19,19,16,1
Frank T Brzozowski,,,2,22,23,23,16,18,17,1
Catherine Bartch,,,,0,21,24,17,20,15,1
Richard Lombardo,,,,,2,21,13,18,16,1
Erica Vanstone,,,,,,0,15,21,15,1
Mona Getzes Cohen,,,,,,,3,15,10,1
Marnie Aument Loughrey,,,,,,,,0,15,1
Billy Cortes,,,,,,,,,0,1
Total,35,33,31,30,29,28,28,26,21,1
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,2
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2
James Harrity,9,24,21,29,23,22,26,22,19,2
Mona Getzes Cohen,,6,27,20,20,23,18,17,13,2
Meagan Ingerson,,,4,18,20,19,16,13,14,2
Richard Lombardo,,,,2,22,22,25,24,15,2
Catherine Bartch,,,,,0,24,20,18,20,2
Erica Vanstone,,,,,,1,20,18,18,2
Frank T Brzozowski,,,,,,,1,20,14,2
Billy Cortes,,,,,,,,0,13,2
Marnie Aument Loughrey,,,,,,,,,1,2
Total,49,40,38,37,34,32,31,27,27,2
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,3
,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,3
Meagan Ingerson,6,13,10,9,7,8,6,6,5,3
Mona Getzes Cohen,,4,8,9,6,7,5,4,4,3
James Harrity,,,4,3,3,5,3,2,4,3
