col_1,col_2,col_3,col_4,col_5,col_6,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,All
,Bob Casey Jr,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,2,All
Bob Casey Jr,700,544,488,440,428,3,All
Torri Douglas,,13,408,381,387,4,All
Marisa Piccarreto,,,16,390,383,5,All
Kyle Shenandoah,,,,4,379,6,All
Kyle J Sampson,,,,,5,7,All
Total,"1,420",569,518,457,444,8,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,1
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,1
Bob Casey Jr,58,0,0,0,0,3,1
Kyle J Sampson,,0,0,0,0,4,1
Kyle Shenandoah,,,0,0,0,5,1
Marisa Piccarreto,,,,0,0,6,1
Torri Douglas,,,,,0,7,1
Total,58,0,0,0,0,8,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,2
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,2
Bob Casey Jr,83,0,0,0,0,3,2
Kyle J Sampson,,0,0,0,0,4,2
Kyle Shenandoah,,,0,0,0,5,2
Marisa Piccarreto,,,,0,0,6,2
Torri Douglas,,,,,0,7,2
Total,83,0,0,0,0,8,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,3
,Bob Casey Jr,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,3
Bob Casey Jr,27,36,30,28,27,3,3
Torri Douglas,,2,24,24,23,4,3
Kyle J Sampson,,,2,23,23,5,3
Marisa Piccarreto,,,,3,21,6,3
Kyle Shenandoah,,,,,0,7,3
Total,78,39,33,32,28,8,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,4
,Bob Casey Jr,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,2,4
Bob Casey Jr,11,38,34,33,31,3,4
Torri Douglas,,2,28,28,28,4,4
Kyle Shenandoah,,,0,29,28,5,4
Marisa Piccarreto,,,,0,26,6,4
Kyle J Sampson,,,,,0,7,4
Total,65,42,38,36,33,8,4
,United States Senator - Democrat,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,5
,Bob Casey Jr,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,5
Bob Casey Jr,54,0,0,0,0,3,5
Kyle J Sampson,,0,0,0,0,4,5
Kyle Shenandoah,,,0,0,0,5,5
