col_1,col_2,col_3,col_4,col_5,order,division
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,David Torres,Walt Vogler,Calvin R Tucker,Denise Furey,2,All
David Torres,2,12,10,10,3,All
Walt Vogler,,0,6,6,4,All
Calvin R Tucker,,,0,6,5,All
Denise Furey,,,,0,6,All
Total,21,12,10,10,7,All
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,David Torres,Denise Furey,Calvin R Tucker,Walt Vogler,2,1
David Torres,0,3,2,1,3,1
Denise Furey,,0,2,1,4,1
Calvin R Tucker,,,0,1,5,1
Walt Vogler,,,,0,6,1
Total,3,3,2,1,7,1
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,2
,David Torres,Walt Vogler,Calvin R Tucker,Denise Furey,2,2
David Torres,0,3,1,1,3,2
Walt Vogler,,0,1,1,4,2
Calvin R Tucker,,,0,1,5,2
Denise Furey,,,,0,6,2
Total,3,3,1,1,7,2
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,David Torres,Calvin R Tucker,Walt Vogler,Denise Furey,2,3
David Torres,0,2,1,0,3,3
Calvin R Tucker,,0,0,0,4,3
Walt Vogler,,,0,0,5,3
Denise Furey,,,,0,6,3
Total,3,2,1,0,7,3
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 2nd District - Republican,1,5
,Calvin R Tucker,Walt Vogler,Denise Furey,David Torres,2,5
Calvin R Tucker,0,1,0,1,3,5
Walt Vogler,,0,0,1,4,5
Denise Furey,,,0,0,5,5
David Torres,,,,0,6,5
Total,1,1,0,1,7,5
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 2nd District - Republican,1,8
,Calvin R Tucker,Denise Furey,Walt Vogler,David Torres,2,8
Calvin R Tucker,0,1,1,1,3,8
Denise Furey,,0,1,1,4,8
Walt Vogler,,,0,1,5,8
David Torres,,,,0,6,8
Total,1,1,1,1,7,8
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,9
,David Torres,Calvin R Tucker,Denise Furey,Walt Vogler,2,9
David Torres,1,0,0,0,3,9
Calvin R Tucker,,0,0,0,4,9
Denise Furey,,,0,0,5,9
Walt Vogler,,,,0,6,9
Total,1,0,0,0,7,9
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,11
,David Torres,Denise Furey,Calvin R Tucker,Walt Vogler,2,11
David Torres,0,1,0,0,3,11
Denise Furey,,0,0,0,4,11
Calvin R Tucker,,,0,0,5,11
Walt Vogler,,,,0,6,11
Total,1,1,0,0,7,11
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 2nd District - Republican,1,12
,Calvin R Tucker,Denise Furey,Walt Vogler,David Torres,2,12
Calvin R Tucker,0,0,0,1,3,12
Denise Furey,,0,0,0,4,12
Walt Vogler,,,0,0,5,12
David Torres,,,,0,6,12
Total,1,0,0,1,7,12
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,13
,David Torres,Denise Furey,Calvin R Tucker,Walt Vogler,2,13
David Torres,0,1,0,0,3,13
Denise Furey,,0,0,0,4,13
Calvin R Tucker,,,0,0,5,13
Walt Vogler,,,,0,6,13
Total,1,1,0,0,7,13
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,17
,David Torres,Calvin R Tucker,Denise Furey,Walt Vogler,2,17
David Torres,1,0,0,0,3,17
Calvin R Tucker,,0,0,0,4,17
Denise Furey,,,0,0,5,17
Walt Vogler,,,,0,6,17
Total,1,0,0,0,7,17
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,19
,David Torres,Walt Vogler,Calvin R Tucker,Denise Furey,2,19
David Torres,0,1,0,0,3,19
Walt Vogler,,0,0,0,4,19
Calvin R Tucker,,,0,0,5,19
Denise Furey,,,,0,6,19
Total,1,1,0,0,7,19
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 2nd District - Republican,1,20
,Calvin R Tucker,Denise Furey,Walt Vogler,David Torres,2,20
Calvin R Tucker,0,1,1,1,3,20
Denise Furey,,0,1,1,4,20
Walt Vogler,,,0,1,5,20
David Torres,,,,0,6,20
Total,1,1,1,1,7,20
,Member Of The - Republican State Committee 2nd Congressional District,,,Representative In Congress 2nd District - Republican,1,22
,Calvin R Tucker,Denise Furey,Walt Vogler,David Torres,2,22
Calvin R Tucker,0,1,1,1,3,22
Denise Furey,,0,1,1,4,22
Walt Vogler,,,0,1,5,22
David Torres,,,,0,6,22
Total,1,1,1,1,7,22
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 2nd Congressional District,,,1,24
,David Torres,Walt Vogler,Denise Furey,Calvin R Tucker,2,24
David Torres,0,2,1,0,3,24
Walt Vogler,,0,1,0,4,24
Denise Furey,,,0,0,5,24
Calvin R Tucker,,,,0,6,24
Total,2,2,1,0,7,24
