col_1,col_2,col_3,order,division
,Representative In Congress 5th District - Republican,,1,All
,Pearl Kim,Paul D Addis,2,All
Pearl Kim,398,0,3,All
Paul D Addis,,1,4,All
Total,398,1,5,All
,Representative In Congress 5th District - Republican,,1,1
,Pearl Kim,Paul D Addis,2,1
Pearl Kim,8,0,3,1
Paul D Addis,,0,4,1
Total,8,0,5,1
,Representative In Congress 5th District - Republican,,1,2
,Pearl Kim,Paul D Addis,2,2
Pearl Kim,5,0,3,2
Paul D Addis,,0,4,2
Total,5,0,5,2
,Representative In Congress 5th District - Republican,,1,3
,Pearl Kim,Paul D Addis,2,3
Pearl Kim,11,0,3,3
Paul D Addis,,0,4,3
Total,11,0,5,3
,Representative In Congress 5th District - Republican,,1,4
,Pearl Kim,Paul D Addis,2,4
Pearl Kim,8,0,3,4
Paul D Addis,,0,4,4
Total,8,0,5,4
,Representative In Congress 5th District - Republican,,1,5
,Pearl Kim,Paul D Addis,2,5
Pearl Kim,2,0,3,5
Paul D Addis,,0,4,5
Total,2,0,5,5
,Representative In Congress 5th District - Republican,,1,6
,Pearl Kim,Paul D Addis,2,6
Pearl Kim,5,0,3,6
Paul D Addis,,0,4,6
Total,5,0,5,6
,Representative In Congress 5th District - Republican,,1,7
,Pearl Kim,Paul D Addis,2,7
Pearl Kim,13,0,3,7
Paul D Addis,,0,4,7
Total,13,0,5,7
,Representative In Congress 5th District - Republican,,1,8
,Pearl Kim,Paul D Addis,2,8
Pearl Kim,9,0,3,8
Paul D Addis,,0,4,8
Total,9,0,5,8
,Representative In Congress 5th District - Republican,,1,9
,Pearl Kim,Paul D Addis,2,9
Pearl Kim,3,0,3,9
Paul D Addis,,0,4,9
Total,3,0,5,9
,Representative In Congress 5th District - Republican,,1,10
,Pearl Kim,Paul D Addis,2,10
Pearl Kim,5,0,3,10
Paul D Addis,,0,4,10
Total,5,0,5,10
,Representative In Congress 5th District - Republican,,1,11
,Pearl Kim,Paul D Addis,2,11
Pearl Kim,2,0,3,11
Paul D Addis,,0,4,11
Total,2,0,5,11
,Representative In Congress 5th District - Republican,,1,12
,Pearl Kim,Paul D Addis,2,12
Pearl Kim,13,0,3,12
Paul D Addis,,0,4,12
Total,13,0,5,12
,Representative In Congress 5th District - Republican,,1,13
,Pearl Kim,Paul D Addis,2,13
Pearl Kim,5,0,3,13
Paul D Addis,,0,4,13
Total,5,0,5,13
,Representative In Congress 5th District - Republican,,1,14
,Pearl Kim,Paul D Addis,2,14
Pearl Kim,18,0,3,14
Paul D Addis,,0,4,14
Total,18,0,5,14
,Representative In Congress 5th District - Republican,,1,15
,Pearl Kim,Paul D Addis,2,15
Pearl Kim,6,0,3,15
Paul D Addis,,0,4,15
Total,6,0,5,15
,Representative In Congress 5th District - Republican,,1,16
,Pearl Kim,Paul D Addis,2,16
Pearl Kim,5,0,3,16
Paul D Addis,,0,4,16
Total,5,0,5,16
,Representative In Congress 5th District - Republican,,1,17
,Pearl Kim,Paul D Addis,2,17
Pearl Kim,9,0,3,17
Paul D Addis,,0,4,17
Total,9,0,5,17
,Representative In Congress 5th District - Republican,,1,18
,Pearl Kim,Paul D Addis,2,18
Pearl Kim,1,0,3,18
Paul D Addis,,0,4,18
Total,1,0,5,18
,Representative In Congress 5th District - Republican,,1,19
,Pearl Kim,Paul D Addis,2,19
Pearl Kim,3,0,3,19
Paul D Addis,,0,4,19
Total,3,0,5,19
,Representative In Congress 5th District - Republican,,1,20
,Pearl Kim,Paul D Addis,2,20
Pearl Kim,3,0,3,20
Paul D Addis,,0,4,20
Total,3,0,5,20
,Representative In Congress 5th District - Republican,,1,21
,Pearl Kim,Paul D Addis,2,21
Pearl Kim,2,0,3,21
Paul D Addis,,0,4,21
Total,2,0,5,21
,Representative In Congress 5th District - Republican,,1,22
,Pearl Kim,Paul D Addis,2,22
Pearl Kim,6,0,3,22
Paul D Addis,,0,4,22
Total,6,0,5,22
,Representative In Congress 5th District - Republican,,1,23
,Pearl Kim,Paul D Addis,2,23
Pearl Kim,7,0,3,23
Paul D Addis,,0,4,23
Total,7,0,5,23
,Representative In Congress 5th District - Republican,,1,24
,Pearl Kim,Paul D Addis,2,24
Pearl Kim,8,0,3,24
Paul D Addis,,0,4,24
Total,8,0,5,24
,Representative In Congress 5th District - Republican,,1,25
,Pearl Kim,Paul D Addis,2,25
Pearl Kim,20,0,3,25
Paul D Addis,,0,4,25
Total,20,0,5,25
,Representative In Congress 5th District - Republican,,1,26
,Pearl Kim,Paul D Addis,2,26
Pearl Kim,12,0,3,26
Paul D Addis,,0,4,26
Total,12,0,5,26
,Representative In Congress 5th District - Republican,,1,27
,Pearl Kim,Paul D Addis,2,27
Pearl Kim,7,0,3,27
Paul D Addis,,0,4,27
Total,7,0,5,27
,Representative In Congress 5th District - Republican,,1,28
,Pearl Kim,Paul D Addis,2,28
Pearl Kim,2,0,3,28
Paul D Addis,,0,4,28
Total,2,0,5,28
,Representative In Congress 5th District - Republican,,1,29
,Pearl Kim,Paul D Addis,2,29
Pearl Kim,9,0,3,29
Paul D Addis,,0,4,29
Total,9,0,5,29
,Representative In Congress 5th District - Republican,,1,30
,Pearl Kim,Paul D Addis,2,30
Pearl Kim,8,0,3,30
Paul D Addis,,0,4,30
Total,8,0,5,30
,Representative In Congress 5th District - Republican,,1,31
,Pearl Kim,Paul D Addis,2,31
Pearl Kim,17,0,3,31
Paul D Addis,,0,4,31
Total,17,0,5,31
,Representative In Congress 5th District - Republican,,1,32
,Pearl Kim,Paul D Addis,2,32
Pearl Kim,8,0,3,32
Paul D Addis,,0,4,32
Total,8,0,5,32
,Representative In Congress 5th District - Republican,,1,33
,Pearl Kim,Paul D Addis,2,33
Pearl Kim,10,0,3,33
Paul D Addis,,0,4,33
Total,10,0,5,33
,Representative In Congress 5th District - Republican,,1,34
,Pearl Kim,Paul D Addis,2,34
Pearl Kim,3,0,3,34
Paul D Addis,,0,4,34
Total,3,0,5,34
,Representative In Congress 5th District - Republican,,1,35
,Pearl Kim,Paul D Addis,2,35
Pearl Kim,11,0,3,35
Paul D Addis,,0,4,35
Total,11,0,5,35
,Representative In Congress 5th District - Republican,,1,36
,Pearl Kim,Paul D Addis,2,36
Pearl Kim,18,0,3,36
Paul D Addis,,0,4,36
Total,18,0,5,36
,Representative In Congress 5th District - Republican,,1,37
,Pearl Kim,Paul D Addis,2,37
Pearl Kim,9,0,3,37
Paul D Addis,,0,4,37
Total,9,0,5,37
,Representative In Congress 5th District - Republican,,1,38
,Pearl Kim,Paul D Addis,2,38
Pearl Kim,13,0,3,38
Paul D Addis,,0,4,38
Total,13,0,5,38
,Representative In Congress 5th District - Republican,,1,39
,Pearl Kim,Paul D Addis,2,39
Pearl Kim,13,0,3,39
Paul D Addis,,0,4,39
Total,13,0,5,39
