col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,2,All
Dwight Evans,215,0,495,376,336,268,267,247,224,217,212,3,All
Kevin Johnson,,112,102,92,86,72,66,67,52,56,55,4,All
Jaime Bouldin,,,15,355,338,279,279,260,255,238,250,5,All
David Rodriguez,,,,8,345,274,272,263,246,239,245,6,All
Humberto Perez,,,,,7,257,259,246,246,230,241,7,All
Barbara Carroll,,,,,,0,291,275,258,250,255,8,All
Sharon Vaughn,,,,,,,2,277,262,249,252,9,All
Latrice Y Bryant,,,,,,,,1,251,245,253,10,All
Dustin Morris,,,,,,,,,0,232,242,11,All
Robert Taylor,,,,,,,,,,0,235,12,All
Jonathan M Gary,,,,,,,,,,,0,13,All
Total,932,271,626,492,442,352,343,325,284,279,275,14,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Dwight Evans,Kevin Johnson,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,1
Dwight Evans,4,0,10,10,9,6,6,5,5,5,5,3,1
Kevin Johnson,,3,4,3,4,4,3,3,3,2,1,4,1
David Rodriguez,,,0,4,9,8,7,6,6,6,5,5,1
Jaime Bouldin,,,,1,5,5,5,4,5,5,5,6,1
Humberto Perez,,,,,0,9,9,7,8,7,5,7,1
Barbara Carroll,,,,,,0,8,6,8,6,5,8,1
Sharon Vaughn,,,,,,,0,7,8,7,5,9,1
Latrice Y Bryant,,,,,,,,0,6,6,4,10,1
Robert Taylor,,,,,,,,,0,6,5,11,1
Jonathan M Gary,,,,,,,,,,0,5,12,1
Dustin Morris,,,,,,,,,,,0,13,1
Total,25,9,14,14,13,10,9,8,8,7,6,14,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Robert Taylor,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,2,2
Dwight Evans,13,0,27,26,22,13,12,13,11,11,10,3,2
Kevin Johnson,,2,2,4,2,2,3,2,2,2,1,4,2
David Rodriguez,,,0,18,16,14,13,11,12,13,10,5,2
