col_1,col_2,col_3,col_4,col_5,order,division
Laura Ellsworth,,,1,0,5,10
Paul Mango,,,,1,6,10
Total,7,5,3,2,7,10
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,11
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,11
David Torres,0,3,1,0,3,11
Paul Mango,,1,0,0,4,11
Scott R Wagner,,,2,0,5,11
Laura Ellsworth,,,,0,6,11
Total,4,4,3,0,7,11
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,12
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,12
David Torres,1,2,1,1,3,12
Paul Mango,,0,0,0,4,12
Laura Ellsworth,,,0,0,5,12
Scott R Wagner,,,,0,6,12
Total,5,2,1,1,7,12
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,13
,David Torres,Laura Ellsworth,Paul Mango,Scott R Wagner,2,13
David Torres,0,2,0,0,3,13
Laura Ellsworth,,0,0,0,4,13
Paul Mango,,,0,0,5,13
Scott R Wagner,,,,0,6,13
Total,2,2,0,0,7,13
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,14
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,14
David Torres,0,1,0,0,3,14
Paul Mango,,0,0,0,4,14
Scott R Wagner,,,1,0,5,14
Laura Ellsworth,,,,0,6,14
Total,1,1,1,0,7,14
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,15
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,15
David Torres,0,1,0,0,3,15
Scott R Wagner,,0,0,0,4,15
Laura Ellsworth,,,0,0,5,15
Paul Mango,,,,0,6,15
Total,1,1,0,0,7,15
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,16
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,16
David Torres,0,2,1,1,3,16
Scott R Wagner,,0,0,0,4,16
Laura Ellsworth,,,0,0,5,16
Paul Mango,,,,0,6,16
Total,4,2,1,1,7,16
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,17
,Laura Ellsworth,Paul Mango,Scott R Wagner,David Torres,2,17
Laura Ellsworth,1,0,0,2,3,17
Paul Mango,,1,0,0,4,17
Scott R Wagner,,,0,0,5,17
David Torres,,,,0,6,17
Total,3,1,0,2,7,17
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,18
,David Torres,Laura Ellsworth,Paul Mango,Scott R Wagner,2,18
David Torres,0,1,1,0,3,18
Laura Ellsworth,,1,0,0,4,18
Paul Mango,,,0,0,5,18
Scott R Wagner,,,,1,6,18
Total,2,2,1,1,7,18
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,20
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,20
David Torres,0,2,2,3,3,20
Paul Mango,,2,0,0,4,20
Laura Ellsworth,,,1,0,5,20
Scott R Wagner,,,,0,6,20
Total,7,4,3,3,7,20
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,21
,Scott R Wagner,Laura Ellsworth,Paul Mango,David Torres,2,21
Scott R Wagner,1,0,0,1,3,21
Laura Ellsworth,,0,0,0,4,21
Paul Mango,,,0,0,5,21
David Torres,,,,0,6,21
Total,2,0,0,1,7,21
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,22
,Scott R Wagner,Laura Ellsworth,Paul Mango,David Torres,2,22
Scott R Wagner,1,0,0,0,3,22
Laura Ellsworth,,0,0,0,4,22
Paul Mango,,,0,0,5,22
David Torres,,,,0,6,22
Total,1,0,0,0,7,22
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,24
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,24
David Torres,0,1,2,1,3,24
Paul Mango,,1,0,0,4,24
Scott R Wagner,,,0,0,5,24
Laura Ellsworth,,,,0,6,24
Total,4,2,2,1,7,24
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,25
,David Torres,Paul Mango,Laura Ellsworth,Scott R Wagner,2,25
David Torres,0,4,2,0,3,25
Paul Mango,,2,0,0,4,25
Laura Ellsworth,,,1,0,5,25
Scott R Wagner,,,,1,6,25
Total,6,6,3,1,7,25
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,26
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,26
David Torres,1,0,0,0,3,26
Scott R Wagner,,1,0,0,4,26
Laura Ellsworth,,,0,0,5,26
Paul Mango,,,,0,6,26
Total,1,1,0,0,7,26
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,29
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,29
David Torres,0,1,1,0,3,29
Paul Mango,,0,0,0,4,29
Scott R Wagner,,,0,0,5,29
Laura Ellsworth,,,,0,6,29
Total,2,1,1,0,7,29
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,30
,Paul Mango,Laura Ellsworth,Scott R Wagner,David Torres,2,30
Paul Mango,1,0,0,2,3,30
Laura Ellsworth,,1,0,0,4,30
Scott R Wagner,,,0,0,5,30
David Torres,,,,0,6,30
Total,3,1,0,2,7,30
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,31
,Paul Mango,Laura Ellsworth,Scott R Wagner,David Torres,2,31
Paul Mango,1,0,0,3,3,31
Laura Ellsworth,,0,0,0,4,31
Scott R Wagner,,,0,0,5,31
David Torres,,,,0,6,31
Total,4,0,0,3,7,31
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,32
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,32
David Torres,0,4,4,3,3,32
Scott R Wagner,,2,0,0,4,32
Paul Mango,,,1,0,5,32
Laura Ellsworth,,,,0,6,32
Total,11,6,5,3,7,32
