col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Tom Young,Andi Perez,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,2,All
Micah Mahjoubian,1,65,63,66,62,55,54,25,18,13,10,11,14,3,All
Marylouise Isaacson,,0,68,60,66,57,52,29,22,16,13,12,13,4,All
Mariel J K Martin,,,0,62,63,58,56,23,20,13,11,8,8,5,All
Tom Young,,,,1,58,51,52,22,13,17,6,12,10,6,All
Andi Perez,,,,,0,55,52,26,20,15,12,14,16,7,All
Darrell L Clarke,,,,,,2,57,18,11,7,9,8,5,8,All
Matthew D Myers,,,,,,,0,13,9,6,6,7,4,9,All
Rhea Powell,,,,,,,,2,23,19,15,15,16,10,All
Amanda Mcillmurray,,,,,,,,,1,14,17,10,14,11,All
Joe Celentano,,,,,,,,,,2,10,11,13,12,All
Judi Golding Baker,,,,,,,,,,,0,7,9,13,All
Jon Geeting,,,,,,,,,,,,1,9,14,All
Noam Kugelmass,,,,,,,,,,,,,0,15,All
Total,84,81,79,79,74,71,65,41,34,27,21,20,20,16,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Tom Young,Andi Perez,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,2,7
Micah Mahjoubian,1,65,63,66,62,55,54,25,18,13,10,11,14,3,7
Marylouise Isaacson,,0,68,60,66,57,52,29,22,16,13,12,13,4,7
Mariel J K Martin,,,0,62,63,58,56,23,20,13,11,8,8,5,7
Tom Young,,,,1,58,51,52,22,13,17,6,12,10,6,7
Andi Perez,,,,,0,55,52,26,20,15,12,14,16,7,7
Darrell L Clarke,,,,,,2,57,18,11,7,9,8,5,8,7
Matthew D Myers,,,,,,,0,13,9,6,6,7,4,9,7
Rhea Powell,,,,,,,,2,23,19,15,15,16,10,7
Amanda Mcillmurray,,,,,,,,,1,14,17,10,14,11,7
Joe Celentano,,,,,,,,,,2,10,11,13,12,7
Judi Golding Baker,,,,,,,,,,,0,7,9,13,7
Jon Geeting,,,,,,,,,,,,1,9,14,7
Noam Kugelmass,,,,,,,,,,,,,0,15,7
Total,84,81,79,79,74,71,65,41,34,27,21,20,20,16,7
