col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,All
Dwight Evans,409,0,"1,703","1,047",587,451,28,3,All
Kevin Johnson,,72,407,210,246,85,9,4,All
Nina Ahmad,,,72,0,0,0,0,5,All
Mike Stack,,,,38,0,0,0,6,All
John Fetterman,,,,,40,0,0,7,All
Kathi Cozzone,,,,,,22,0,8,All
Ray Sosa,,,,,,,5,9,All
Total,"4,225","1,029","2,182","1,295",873,558,42,10,All
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Dwight Evans,Kevin Johnson,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,1
Dwight Evans,8,0,71,108,23,20,1,3,1
Kevin Johnson,,1,81,28,4,3,2,4,1
John Fetterman,,,6,0,0,0,0,5,1
Nina Ahmad,,,,10,0,0,0,6,1
Mike Stack,,,,,3,0,0,7,1
Kathi Cozzone,,,,,,1,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,231,119,158,146,30,24,3,10,1
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,2
Dwight Evans,10,0,149,62,42,17,1,3,2
Kevin Johnson,,2,16,17,10,3,0,4,2
Nina Ahmad,,,5,0,0,0,0,5,2
John Fetterman,,,,6,0,0,0,6,2
Mike Stack,,,,,1,0,0,7,2
Kathi Cozzone,,,,,,0,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,281,48,170,85,53,20,1,10,2
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,3
Dwight Evans,10,0,48,41,29,15,0,3,3
Kevin Johnson,,0,8,8,9,3,0,4,3
Mike Stack,,,1,0,0,0,0,5,3
Nina Ahmad,,,,7,0,0,0,6,3
John Fetterman,,,,,1,0,0,7,3
Kathi Cozzone,,,,,,1,0,8,3
Ray Sosa,,,,,,,0,9,3
Total,143,28,57,56,39,19,0,10,3
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,4
Dwight Evans,9,0,71,32,22,22,0,3,4
Kevin Johnson,,1,7,2,5,2,0,4,4
Nina Ahmad,,,5,0,0,0,0,5,4
John Fetterman,,,,2,0,0,0,6,4
Mike Stack,,,,,0,0,0,7,4
Kathi Cozzone,,,,,,0,0,8,4
Ray Sosa,,,,,,,0,9,4
Total,156,17,83,36,27,24,0,10,4
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,5
Dwight Evans,6,0,91,35,33,20,0,3,5
Kevin Johnson,,1,26,13,11,1,0,4,5
Nina Ahmad,,,0,0,0,0,0,5,5
John Fetterman,,,,2,0,0,0,6,5
Mike Stack,,,,,0,0,0,7,5
Kathi Cozzone,,,,,,0,0,8,5
Ray Sosa,,,,,,,0,9,5
Total,185,52,117,50,44,21,0,10,5
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,6
Dwight Evans,16,0,99,37,24,19,2,3,6
Kevin Johnson,,1,46,19,5,2,0,4,6
Nina Ahmad,,,6,0,0,0,0,5,6
John Fetterman,,,,1,0,0,0,6,6
Mike Stack,,,,,0,0,0,7,6
Kathi Cozzone,,,,,,1,0,8,6
Ray Sosa,,,,,,,2,9,6
Total,197,73,151,57,29,22,4,10,6
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,7
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,7
Dwight Evans,23,0,74,44,31,18,0,3,7
Kevin Johnson,,1,32,5,14,1,1,4,7
Nina Ahmad,,,2,0,0,0,0,5,7
Mike Stack,,,,3,0,0,0,6,7
John Fetterman,,,,,4,0,0,7,7
Kathi Cozzone,,,,,,0,0,8,7
Ray Sosa,,,,,,,1,9,7
Total,190,54,108,52,49,19,2,10,7
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,8
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Dwight Evans,10,0,51,34,20,16,0,3,8
Kevin Johnson,,5,21,8,2,5,1,4,8
Nina Ahmad,,,2,0,0,0,0,5,8
Mike Stack,,,,1,0,0,0,6,8
Kathi Cozzone,,,,,0,0,0,7,8
John Fetterman,,,,,,0,0,8,8
Ray Sosa,,,,,,,0,9,8
Total,131,42,74,43,22,21,1,10,8
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,9
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,9
Dwight Evans,11,0,33,35,14,8,0,3,9
Kevin Johnson,,0,18,10,0,4,1,4,9
Nina Ahmad,,,1,0,0,0,0,5,9
Mike Stack,,,,3,0,0,0,6,9
Kathi Cozzone,,,,,1,0,0,7,9
John Fetterman,,,,,,0,0,8,9
Ray Sosa,,,,,,,0,9,9
Total,101,33,52,48,15,12,1,10,9
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,10
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,10
Dwight Evans,12,0,63,31,21,23,0,3,10
Kevin Johnson,,4,9,3,6,3,0,4,10
Nina Ahmad,,,3,0,0,0,0,5,10
Mike Stack,,,,1,0,0,0,6,10
John Fetterman,,,,,1,0,0,7,10
Kathi Cozzone,,,,,,1,0,8,10
Ray Sosa,,,,,,,0,9,10
Total,150,25,75,35,28,27,0,10,10
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,11
,Dwight Evans,Kevin Johnson,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Dwight Evans,14,0,44,15,16,9,2,3,11
Kevin Johnson,,1,11,5,3,3,0,4,11
Nina Ahmad,,,0,0,0,0,0,5,11
John Fetterman,,,,0,0,0,0,6,11
Mike Stack,,,,,0,0,0,7,11
Kathi Cozzone,,,,,,1,0,8,11
Ray Sosa,,,,,,,0,9,11
Total,100,23,55,20,19,13,2,10,11
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,12
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,12
Dwight Evans,19,0,39,35,16,10,1,3,12
Kevin Johnson,,0,2,6,2,2,0,4,12
Nina Ahmad,,,1,0,0,0,0,5,12
Mike Stack,,,,0,0,0,0,6,12
Kathi Cozzone,,,,,1,0,0,7,12
John Fetterman,,,,,,1,0,8,12
Ray Sosa,,,,,,,0,9,12
Total,120,12,42,41,19,13,1,10,12
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,13
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,13
Dwight Evans,15,0,48,31,13,6,2,3,13
Kevin Johnson,,2,2,7,1,3,0,4,13
Mike Stack,,,1,0,0,0,0,5,13
Nina Ahmad,,,,3,0,0,0,6,13
Kathi Cozzone,,,,,0,0,0,7,13
John Fetterman,,,,,,1,0,8,13
Ray Sosa,,,,,,,0,9,13
Total,115,15,51,41,14,10,2,10,13
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,14
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,14
Dwight Evans,13,0,45,26,19,13,0,3,14
Kevin Johnson,,2,11,6,2,5,0,4,14
Nina Ahmad,,,0,0,0,0,0,5,14
Mike Stack,,,,1,0,0,0,6,14
Kathi Cozzone,,,,,1,0,0,7,14
John Fetterman,,,,,,1,0,8,14
Ray Sosa,,,,,,,0,9,14
Total,116,26,56,33,22,19,0,10,14
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,15
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,15
Dwight Evans,17,0,42,37,22,7,1,3,15
Kevin Johnson,,3,13,11,5,2,1,4,15
Mike Stack,,,4,0,0,0,0,5,15
Nina Ahmad,,,,1,0,0,0,6,15
Kathi Cozzone,,,,,2,0,0,7,15
John Fetterman,,,,,,0,0,8,15
Ray Sosa,,,,,,,0,9,15
Total,126,35,59,49,29,9,2,10,15
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,16
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,16
Dwight Evans,10,0,66,15,16,10,1,3,16
Kevin Johnson,,1,14,6,4,0,0,4,16
Nina Ahmad,,,3,0,0,0,0,5,16
Mike Stack,,,,1,0,0,0,6,16
John Fetterman,,,,,1,0,0,7,16
Kathi Cozzone,,,,,,1,0,8,16
Ray Sosa,,,,,,,0,9,16
Total,118,25,83,22,21,11,1,10,16
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,17
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,17
Dwight Evans,11,0,86,43,25,11,1,3,17
Kevin Johnson,,1,20,7,8,1,1,4,17
Nina Ahmad,,,3,0,0,0,0,5,17
Mike Stack,,,,1,0,0,0,6,17
John Fetterman,,,,,1,0,0,7,17
Kathi Cozzone,,,,,,1,0,8,17
Ray Sosa,,,,,,,0,9,17
Total,177,38,109,51,34,13,2,10,17
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,18
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,18
Dwight Evans,15,0,45,47,12,14,2,3,18
Kevin Johnson,,1,12,8,8,0,0,4,18
Nina Ahmad,,,2,0,0,0,0,5,18
Mike Stack,,,,0,0,0,0,6,18
John Fetterman,,,,,2,0,0,7,18
Kathi Cozzone,,,,,,0,0,8,18
Ray Sosa,,,,,,,0,9,18
Total,135,29,59,55,22,14,2,10,18
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,19
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,19
Dwight Evans,15,0,45,42,10,11,0,3,19
Kevin Johnson,,3,12,10,4,2,1,4,19
Nina Ahmad,,,2,0,0,0,0,5,19
Mike Stack,,,,1,0,0,0,6,19
John Fetterman,,,,,1,0,0,7,19
Kathi Cozzone,,,,,,2,0,8,19
Ray Sosa,,,,,,,0,9,19
Total,123,32,59,53,15,15,1,10,19
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,20
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,20
Dwight Evans,15,0,31,26,12,15,0,3,20
Kevin Johnson,,1,6,9,5,0,0,4,20
Mike Stack,,,4,0,0,0,0,5,20
Nina Ahmad,,,,1,0,0,0,6,20
Kathi Cozzone,,,,,1,0,0,7,20
John Fetterman,,,,,,0,0,8,20
Ray Sosa,,,,,,,1,9,20
Total,99,21,41,36,18,15,1,10,20
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,21
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,21
Dwight Evans,19,0,32,25,11,7,2,3,21
Kevin Johnson,,4,12,9,1,3,0,4,21
Nina Ahmad,,,1,0,0,0,0,5,21
Mike Stack,,,,2,0,0,0,6,21
Kathi Cozzone,,,,,1,0,0,7,21
John Fetterman,,,,,,0,0,8,21
Ray Sosa,,,,,,,0,9,21
Total,96,29,45,36,13,10,2,10,21
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,22
,Dwight Evans,Kevin Johnson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,22
Dwight Evans,8,0,39,33,11,9,3,3,22
Kevin Johnson,,4,6,4,3,1,0,4,22
Mike Stack,,,2,0,0,0,0,5,22
Nina Ahmad,,,,0,0,0,0,6,22
Kathi Cozzone,,,,,2,0,0,7,22
