col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Representative In Congress 5th District - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,All
,Pearl Kim,Paul D Addis,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,Christopher M Vogler,2,All
Pearl Kim,10,0,57,52,49,50,3,All
Paul D Addis,,0,0,0,0,0,4,All
Maria Digiorgio Mccolgan,,,2,40,37,39,5,All
Theresa A Dintino,,,,4,39,37,6,All
Michael A Cibik,,,,,2,40,7,All
Christopher M Vogler,,,,,,0,8,All
Total,94,0,59,56,51,50,9,All
,Representative In Congress 5th District - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,1
,Pearl Kim,Paul D Addis,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,1
Pearl Kim,2,0,4,4,3,3,3,1
Paul D Addis,,0,0,0,0,0,4,1
Christopher M Vogler,,,0,4,3,3,5,1
Michael A Cibik,,,,0,3,3,6,1
Maria Digiorgio Mccolgan,,,,,0,3,7,1
Theresa A Dintino,,,,,,0,8,1
Total,6,0,4,4,3,3,9,1
,Representative In Congress 5th District - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,3
,Pearl Kim,Paul D Addis,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,2,3
Pearl Kim,1,0,0,0,0,0,3,3
Paul D Addis,,0,0,0,0,0,4,3
Theresa A Dintino,,,1,0,0,0,5,3
Christopher M Vogler,,,,0,0,0,6,3
Maria Digiorgio Mccolgan,,,,,0,0,7,3
Michael A Cibik,,,,,,0,8,3
Total,1,0,1,0,0,0,9,3
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 5th District - Republican,,1,4
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Pearl Kim,Paul D Addis,2,4
Christopher M Vogler,0,1,1,1,1,0,3,4
Maria Digiorgio Mccolgan,,0,1,1,1,0,4,4
Michael A Cibik,,,0,1,1,0,5,4
Theresa A Dintino,,,,0,1,0,6,4
Pearl Kim,,,,,0,0,7,4
Paul D Addis,,,,,,0,8,4
Total,1,1,1,1,1,0,9,4
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 5th District - Republican,,1,7
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Pearl Kim,Paul D Addis,2,7
Christopher M Vogler,0,2,2,2,2,0,3,7
Maria Digiorgio Mccolgan,,0,2,2,2,0,4,7
Michael A Cibik,,,0,2,2,0,5,7
Theresa A Dintino,,,,0,2,0,6,7
Pearl Kim,,,,,0,0,7,7
Paul D Addis,,,,,,0,8,7
Total,2,2,2,2,2,0,9,7
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 5th District - Republican,,1,9
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Pearl Kim,Paul D Addis,2,9
Christopher M Vogler,0,1,1,1,2,0,3,9
Maria Digiorgio Mccolgan,,0,1,1,1,0,4,9
Michael A Cibik,,,0,1,1,0,5,9
Theresa A Dintino,,,,0,1,0,6,9
Pearl Kim,,,,,0,0,7,9
Paul D Addis,,,,,,0,8,9
Total,2,1,1,1,2,0,9,9
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 5th District - Republican,,1,10
,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Paul D Addis,Pearl Kim,2,10
Michael A Cibik,1,0,0,0,0,0,3,10
Christopher M Vogler,,0,0,0,0,0,4,10
Maria Digiorgio Mccolgan,,,0,0,0,0,5,10
Theresa A Dintino,,,,0,0,0,6,10
Paul D Addis,,,,,0,0,7,10
Pearl Kim,,,,,,0,8,10
Total,1,0,0,0,0,0,9,10
,Representative In Congress 5th District - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,11
,Pearl Kim,Paul D Addis,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,2,11
Pearl Kim,0,0,3,3,1,1,3,11
Paul D Addis,,0,0,0,0,0,4,11
Maria Digiorgio Mccolgan,,,0,3,0,1,5,11
Theresa A Dintino,,,,0,0,1,6,11
Christopher M Vogler,,,,,0,0,7,11
Michael A Cibik,,,,,,0,8,11
Total,4,0,3,3,1,1,9,11
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 5th District - Republican,,1,12
,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Paul D Addis,Pearl Kim,2,12
Theresa A Dintino,1,0,0,0,0,0,3,12
Christopher M Vogler,,0,0,0,0,0,4,12
Maria Digiorgio Mccolgan,,,0,0,0,0,5,12
Michael A Cibik,,,,0,0,0,6,12
Paul D Addis,,,,,0,0,7,12
Pearl Kim,,,,,,0,8,12
