col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In The General Assembly 197th District - Democrat,,,All
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,Frederick Ramirez,Danilo Burgos,Emilio Vazquez,All
Jaime Bouldin,11,174,166,141,138,135,134,132,122,158,76,73,All
David Rodriguez,,4,169,145,136,140,133,129,124,96,71,67,All
Humberto Perez,,,3,134,132,131,130,127,120,93,64,59,All
Barbara Carroll,,,,3,147,143,137,138,127,68,46,54,All
Sharon Vaughn,,,,,5,143,134,140,127,60,46,53,All
Latrice Y Bryant,,,,,,3,138,133,128,65,46,48,All
Jonathan M Gary,,,,,,,0,130,126,59,41,45,All
Dustin Morris,,,,,,,,0,125,57,42,43,All
Robert Taylor,,,,,,,,,0,55,41,42,All
Frederick Ramirez,,,,,,,,,,47,0,0,All
Danilo Burgos,,,,,,,,,,,70,0,All
Emilio Vazquez,,,,,,,,,,,,29,All
Total,321,246,223,182,172,166,150,149,142,251,186,140,All
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In The General Assembly 197th District - Democrat,,,1
,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,Frederick Ramirez,Emilio Vazquez,Danilo Burgos,1
David Rodriguez,0,4,9,8,7,6,6,6,5,4,4,5,1
Jaime Bouldin,,1,5,5,5,4,5,5,5,4,7,2,1
Humberto Perez,,,0,9,9,7,8,7,5,3,6,4,1
Barbara Carroll,,,,0,8,6,8,6,5,2,5,2,1
Sharon Vaughn,,,,,0,7,8,7,5,1,6,2,1
Latrice Y Bryant,,,,,,1,6,6,4,1,4,2,1
Robert Taylor,,,,,,,0,6,5,1,5,2,1
Jonathan M Gary,,,,,,,,0,5,0,5,2,1
Dustin Morris,,,,,,,,,0,0,4,2,1
