col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"1,344",3,All
Total,"1,344",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,46,3,1
Total,46,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,47,3,2
Total,47,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,44,3,3
Total,44,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,52,3,4
Total,52,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,39,3,5
Total,39,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,82,3,6
Total,82,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,47,3,7
Total,47,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,48,3,8
Total,48,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,31,3,9
Total,31,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,51,3,10
Total,51,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,49,3,11
Total,49,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,53,3,12
Total,53,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,44,3,13
Total,44,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,51,3,14
Total,51,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,45,3,15
Total,45,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,35,3,16
Total,35,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,67,3,17
Total,67,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,59,3,18
Total,59,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,37,3,19
Total,37,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,33,3,20
Total,33,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,66,3,21
Total,66,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,55,3,22
Total,55,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,50,3,23
Total,50,4,23
,Governor - Democrat,1,24
,Tom Wolf,2,24
Tom Wolf,28,3,24
Total,28,4,24
,Governor - Democrat,1,25
,Tom Wolf,2,25
Tom Wolf,34,3,25
Total,34,4,25
,Governor - Democrat,1,26
,Tom Wolf,2,26
Tom Wolf,46,3,26
Total,46,4,26
,Governor - Democrat,1,27
,Tom Wolf,2,27
Tom Wolf,53,3,27
Total,53,4,27
,Governor - Democrat,1,28
,Tom Wolf,2,28
Tom Wolf,52,3,28
Total,52,4,28
