col_1,col_2,order,division
,United States Senator - Democrat,1,All
,Bob Casey Jr,2,All
Bob Casey Jr,"5,047",3,All
Total,"5,047",4,All
,United States Senator - Democrat,1,1
,Bob Casey Jr,2,1
Bob Casey Jr,357,3,1
Total,357,4,1
,United States Senator - Democrat,1,2
,Bob Casey Jr,2,2
Bob Casey Jr,323,3,2
Total,323,4,2
,United States Senator - Democrat,1,3
,Bob Casey Jr,2,3
Bob Casey Jr,176,3,3
Total,176,4,3
,United States Senator - Democrat,1,4
,Bob Casey Jr,2,4
Bob Casey Jr,168,3,4
Total,168,4,4
,United States Senator - Democrat,1,5
,Bob Casey Jr,2,5
Bob Casey Jr,232,3,5
Total,232,4,5
,United States Senator - Democrat,1,6
,Bob Casey Jr,2,6
Bob Casey Jr,263,3,6
Total,263,4,6
,United States Senator - Democrat,1,7
,Bob Casey Jr,2,7
Bob Casey Jr,239,3,7
Total,239,4,7
,United States Senator - Democrat,1,8
,Bob Casey Jr,2,8
Bob Casey Jr,170,3,8
Total,170,4,8
,United States Senator - Democrat,1,9
,Bob Casey Jr,2,9
Bob Casey Jr,130,3,9
Total,130,4,9
,United States Senator - Democrat,1,10
,Bob Casey Jr,2,10
Bob Casey Jr,168,3,10
Total,168,4,10
,United States Senator - Democrat,1,11
,Bob Casey Jr,2,11
Bob Casey Jr,104,3,11
Total,104,4,11
,United States Senator - Democrat,1,12
,Bob Casey Jr,2,12
Bob Casey Jr,119,3,12
Total,119,4,12
,United States Senator - Democrat,1,13
,Bob Casey Jr,2,13
Bob Casey Jr,120,3,13
Total,120,4,13
,United States Senator - Democrat,1,14
,Bob Casey Jr,2,14
Bob Casey Jr,136,3,14
Total,136,4,14
,United States Senator - Democrat,1,15
,Bob Casey Jr,2,15
Bob Casey Jr,156,3,15
Total,156,4,15
,United States Senator - Democrat,1,16
,Bob Casey Jr,2,16
Bob Casey Jr,142,3,16
Total,142,4,16
,United States Senator - Democrat,1,17
,Bob Casey Jr,2,17
Bob Casey Jr,209,3,17
Total,209,4,17
,United States Senator - Democrat,1,18
,Bob Casey Jr,2,18
Bob Casey Jr,154,3,18
Total,154,4,18
,United States Senator - Democrat,1,19
,Bob Casey Jr,2,19
Bob Casey Jr,147,3,19
Total,147,4,19
,United States Senator - Democrat,1,20
,Bob Casey Jr,2,20
Bob Casey Jr,114,3,20
Total,114,4,20
,United States Senator - Democrat,1,21
,Bob Casey Jr,2,21
Bob Casey Jr,109,3,21
Total,109,4,21
,United States Senator - Democrat,1,22
,Bob Casey Jr,2,22
Bob Casey Jr,114,3,22
Total,114,4,22
,United States Senator - Democrat,1,23
,Bob Casey Jr,2,23
Bob Casey Jr,205,3,23
Total,205,4,23
,United States Senator - Democrat,1,24
,Bob Casey Jr,2,24
Bob Casey Jr,210,3,24
Total,210,4,24
,United States Senator - Democrat,1,25
,Bob Casey Jr,2,25
Bob Casey Jr,133,3,25
Total,133,4,25
,United States Senator - Democrat,1,26
,Bob Casey Jr,2,26
Bob Casey Jr,141,3,26
Total,141,4,26
,United States Senator - Democrat,1,27
,Bob Casey Jr,2,27
Bob Casey Jr,187,3,27
Total,187,4,27
,United States Senator - Democrat,1,28
,Bob Casey Jr,2,28
Bob Casey Jr,133,3,28
Total,133,4,28
,United States Senator - Democrat,1,29
,Bob Casey Jr,2,29
Bob Casey Jr,188,3,29
Total,188,4,29
