col_1,col_2,col_3,col_4,order,division
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,All
,David Torres,Lou Barletta,Jim Christiana,2,All
David Torres,29,300,190,3,All
Lou Barletta,,103,0,4,All
Jim Christiana,,,50,5,All
Total,519,403,240,6,All
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,1
,David Torres,Lou Barletta,Jim Christiana,2,1
David Torres,1,15,6,3,1
Lou Barletta,,7,0,4,1
Jim Christiana,,,1,5,1
Total,22,22,7,6,1
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,2
,David Torres,Jim Christiana,Lou Barletta,2,2
David Torres,0,12,16,3,2
Jim Christiana,,5,0,4,2
Lou Barletta,,,1,5,2
Total,28,17,17,6,2
,United States Senator - Republican,,Representative In Congress 2nd District - Republican,1,3
,Lou Barletta,Jim Christiana,David Torres,2,3
Lou Barletta,6,0,18,3,3
Jim Christiana,,1,3,4,3
David Torres,,,1,5,3
Total,24,4,22,6,3
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,4
,David Torres,Lou Barletta,Jim Christiana,2,4
David Torres,0,12,7,3,4
Lou Barletta,,4,0,4,4
Jim Christiana,,,0,5,4
Total,19,16,7,6,4
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,5
,David Torres,Jim Christiana,Lou Barletta,2,5
David Torres,0,6,4,3,5
Jim Christiana,,2,0,4,5
Lou Barletta,,,2,5,5
Total,10,8,6,6,5
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,6
,David Torres,Lou Barletta,Jim Christiana,2,6
David Torres,0,5,4,3,6
Lou Barletta,,1,0,4,6
Jim Christiana,,,1,5,6
Total,9,6,5,6,6
,United States Senator - Republican,,Representative In Congress 2nd District - Republican,1,7
,Jim Christiana,Lou Barletta,David Torres,2,7
Jim Christiana,1,0,5,3,7
Lou Barletta,,1,0,4,7
David Torres,,,0,5,7
Total,6,1,5,6,7
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,8
,David Torres,Jim Christiana,Lou Barletta,2,8
David Torres,1,10,6,3,8
Jim Christiana,,2,0,4,8
Lou Barletta,,,3,5,8
Total,17,12,9,6,8
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,9
,David Torres,Lou Barletta,Jim Christiana,2,9
David Torres,0,10,4,3,9
Lou Barletta,,2,0,4,9
Jim Christiana,,,1,5,9
Total,14,12,5,6,9
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,10
,David Torres,Lou Barletta,Jim Christiana,2,10
David Torres,0,6,3,3,10
Lou Barletta,,1,0,4,10
Jim Christiana,,,3,5,10
Total,9,7,6,6,10
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,11
,David Torres,Lou Barletta,Jim Christiana,2,11
David Torres,0,12,10,3,11
Lou Barletta,,6,0,4,11
Jim Christiana,,,1,5,11
Total,22,18,11,6,11
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,12
,David Torres,Jim Christiana,Lou Barletta,2,12
David Torres,2,12,9,3,12
Jim Christiana,,5,0,4,12
Lou Barletta,,,6,5,12
Total,23,17,15,6,12
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,13
,David Torres,Lou Barletta,Jim Christiana,2,13
David Torres,2,28,11,3,13
Lou Barletta,,11,0,4,13
Jim Christiana,,,5,5,13
Total,41,39,16,6,13
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,14
,David Torres,Lou Barletta,Jim Christiana,2,14
David Torres,1,17,7,3,14
Lou Barletta,,7,0,4,14
Jim Christiana,,,0,5,14
Total,25,24,7,6,14
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,15
,David Torres,Lou Barletta,Jim Christiana,2,15
David Torres,0,7,5,3,15
Lou Barletta,,3,0,4,15
Jim Christiana,,,1,5,15
Total,12,10,6,6,15
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,16
,David Torres,Lou Barletta,Jim Christiana,2,16
David Torres,4,8,5,3,16
Lou Barletta,,7,0,4,16
Jim Christiana,,,2,5,16
Total,17,15,7,6,16
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,17
,David Torres,Lou Barletta,Jim Christiana,2,17
David Torres,2,16,13,3,17
Lou Barletta,,6,0,4,17
Jim Christiana,,,6,5,17
Total,31,22,19,6,17
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,18
,David Torres,Jim Christiana,Lou Barletta,2,18
David Torres,4,19,15,3,18
Jim Christiana,,5,0,4,18
Lou Barletta,,,4,5,18
Total,38,24,19,6,18
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,19
,David Torres,Lou Barletta,Jim Christiana,2,19
David Torres,1,9,1,3,19
Lou Barletta,,1,0,4,19
Jim Christiana,,,2,5,19
Total,11,10,3,6,19
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,20
,David Torres,Lou Barletta,Jim Christiana,2,20
David Torres,1,9,3,3,20
Lou Barletta,,1,0,4,20
Jim Christiana,,,0,5,20
Total,13,10,3,6,20
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,21
,David Torres,Lou Barletta,Jim Christiana,2,21
David Torres,4,8,5,3,21
Lou Barletta,,4,0,4,21
Jim Christiana,,,0,5,21
Total,17,12,5,6,21
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,22
,David Torres,Lou Barletta,Jim Christiana,2,22
David Torres,0,16,9,3,22
Lou Barletta,,2,0,4,22
Jim Christiana,,,4,5,22
Total,25,18,13,6,22
,United States Senator - Republican,,Representative In Congress 2nd District - Republican,1,23
,Lou Barletta,Jim Christiana,David Torres,2,23
Lou Barletta,6,0,7,3,23
Jim Christiana,,0,3,4,23
David Torres,,,2,5,23
Total,13,3,12,6,23
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,24
,David Torres,Lou Barletta,Jim Christiana,2,24
David Torres,1,13,6,3,24
Lou Barletta,,0,0,4,24
Jim Christiana,,,0,5,24
Total,20,13,6,6,24
,United States Senator - Republican,,Representative In Congress 2nd District - Republican,1,25
,Lou Barletta,Jim Christiana,David Torres,2,25
Lou Barletta,6,0,9,3,25
Jim Christiana,,0,2,4,25
David Torres,,,0,5,25
Total,15,2,11,6,25
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,26
,David Torres,Lou Barletta,Jim Christiana,2,26
David Torres,0,7,6,3,26
Lou Barletta,,1,0,4,26
Jim Christiana,,,0,5,26
Total,13,8,6,6,26
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,27
,David Torres,Lou Barletta,Jim Christiana,2,27
David Torres,0,5,3,3,27
Lou Barletta,,0,0,4,27
Jim Christiana,,,1,5,27
Total,8,5,4,6,27
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,28
,David Torres,Lou Barletta,Jim Christiana,2,28
David Torres,2,13,10,3,28
Lou Barletta,,4,0,4,28
Jim Christiana,,,1,5,28
Total,25,17,11,6,28
