col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Joe Celentano,Tom Young,Matthew D Myers,Andi Perez,Mariel J K Martin,Darrell L Clarke,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,All
Tom Wolf,317,582,568,552,509,538,439,478,468,437,421,315,305,210,3,All
Marylouise Isaacson,,3,345,393,244,351,271,390,381,291,325,252,189,135,4,All
Rhea Powell,,,4,303,300,266,139,256,246,170,311,256,244,152,5,All
Micah Mahjoubian,,,,2,245,382,244,351,314,284,212,168,214,113,6,All
Joe Celentano,,,,,42,267,167,204,184,143,220,150,198,150,7,All
Tom Young,,,,,,3,264,321,289,258,196,133,196,126,8,All
Matthew D Myers,,,,,,,35,239,259,281,136,131,77,76,9,All
Andi Perez,,,,,,,,1,330,264,219,168,151,114,10,All
Mariel J K Martin,,,,,,,,,1,275,250,193,138,88,11,All
Darrell L Clarke,,,,,,,,,,3,149,136,96,77,12,All
Amanda Mcillmurray,,,,,,,,,,,0,243,169,114,13,All
Judi Golding Baker,,,,,,,,,,,,1,127,86,14,All
Noam Kugelmass,,,,,,,,,,,,,1,98,15,All
Jon Geeting,,,,,,,,,,,,,,1,16,All
Total,"1,544",612,587,585,577,569,509,502,494,466,434,333,316,222,17,All
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Tom Wolf,Micah Mahjoubian,Tom Young,Matthew D Myers,Andi Perez,Mariel J K Martin,Marylouise Isaacson,Darrell L Clarke,Joe Celentano,Rhea Powell,Jon Geeting,Noam Kugelmass,Amanda Mcillmurray,Judi Golding Baker,2,1
Tom Wolf,11,26,22,21,18,18,18,16,16,12,7,7,3,3,3,1
Micah Mahjoubian,,0,24,18,20,19,20,18,5,6,5,6,2,2,4,1
Tom Young,,,1,17,19,17,19,16,4,4,3,4,1,1,5,1
Matthew D Myers,,,,0,16,18,15,16,2,0,0,0,0,1,6,1
Andi Perez,,,,,0,18,20,17,5,5,5,6,2,3,7,1
Mariel J K Martin,,,,,,0,17,16,3,3,2,3,3,2,8,1
Marylouise Isaacson,,,,,,,0,17,6,6,4,6,2,3,9,1
Darrell L Clarke,,,,,,,,0,2,2,2,2,1,2,10,1
Joe Celentano,,,,,,,,,3,5,5,6,3,1,11,1
Rhea Powell,,,,,,,,,,0,5,6,2,2,12,1
Jon Geeting,,,,,,,,,,,0,5,1,1,13,1
Noam Kugelmass,,,,,,,,,,,,0,3,2,14,1
Amanda Mcillmurray,,,,,,,,,,,,,0,1,15,1
Judi Golding Baker,,,,,,,,,,,,,,0,16,1
Total,59,30,27,25,22,22,22,20,19,12,7,7,3,3,17,1
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Tom Wolf,Joe Celentano,Marylouise Isaacson,Rhea Powell,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Tom Young,Andi Perez,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,2
Tom Wolf,16,29,30,28,24,25,25,25,24,22,20,15,13,10,3,2
Joe Celentano,,1,15,21,10,14,12,15,14,12,14,11,13,8,4,2
Marylouise Isaacson,,,0,18,15,19,15,20,19,17,14,12,8,6,5,2
Rhea Powell,,,,1,10,15,11,14,13,12,17,13,12,7,6,2
Matthew D Myers,,,,,2,11,17,14,12,11,9,8,4,7,7,2
