col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Dwight Evans,180,0,297,258,117,76,4,3,All
Kevin Johnson,,102,73,43,34,18,1,4,All
Mike Stack,,,21,0,0,0,0,5,All
Kathi Cozzone,,,,35,0,0,0,6,All
Nina Ahmad,,,,,4,0,0,7,All
John Fetterman,,,,,,10,0,8,All
Ray Sosa,,,,,,,4,9,All
Total,932,271,391,336,155,104,9,10,All
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Dwight Evans,Kevin Johnson,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Dwight Evans,4,0,8,7,5,1,0,3,1
Kevin Johnson,,2,3,1,2,1,0,4,1
Nina Ahmad,,,0,0,0,0,0,5,1
Mike Stack,,,,0,0,0,0,6,1
Kathi Cozzone,,,,,0,0,0,7,1
John Fetterman,,,,,,0,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,25,9,11,8,7,2,0,10,1
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,2
Dwight Evans,13,0,22,19,6,0,0,3,2
Kevin Johnson,,4,2,2,0,0,0,4,2
Mike Stack,,,0,0,0,0,0,5,2
Kathi Cozzone,,,,0,0,0,0,6,2
Nina Ahmad,,,,,1,0,0,7,2
Ray Sosa,,,,,,1,0,8,2
John Fetterman,,,,,,,0,9,2
Total,60,8,24,21,7,1,0,10,2
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Dwight Evans,Kevin Johnson,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,3
Dwight Evans,2,0,11,18,4,3,0,3,3
Kevin Johnson,,12,5,2,0,2,0,4,3
Kathi Cozzone,,,8,0,0,0,0,5,3
Mike Stack,,,,3,0,0,0,6,3
John Fetterman,,,,,3,0,0,7,3
Nina Ahmad,,,,,,0,0,8,3
Ray Sosa,,,,,,,0,9,3
Total,38,21,24,23,7,5,0,10,3
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Dwight Evans,3,0,6,6,2,3,1,3,4
Kevin Johnson,,2,2,0,2,0,0,4,4
Mike Stack,,,1,0,0,0,0,5,4
Kathi Cozzone,,,,1,0,0,0,6,4
Nina Ahmad,,,,,0,0,0,7,4
John Fetterman,,,,,,0,0,8,4
Ray Sosa,,,,,,,0,9,4
Total,21,6,9,7,4,3,1,10,4
,Representative In Congress 3rd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Dwight Evans,Kevin Johnson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Dwight Evans,3,0,15,4,2,2,0,3,5
Kevin Johnson,,1,2,1,2,0,0,4,5
Mike Stack,,,0,0,0,0,0,5,5
