col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Dewayne Drummond,Linda Norris,Ken Washington,Liam G Boyle,Joe Khan,Kevin Bundy,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Dwight Evans,"1,050",0,82,57,56,55,51,45,47,40,31,31,27,18,17,3,All
Kevin Johnson,,290,24,26,23,22,17,20,12,11,12,12,7,12,6,4,All
Kathryn S Huggins,,,2,69,62,66,57,56,45,39,30,34,32,22,16,5,All
Monica Maria Djerassi,,,,1,61,62,38,51,29,27,32,22,23,25,14,6,All
Lisa Rhodes,,,,,0,54,37,58,29,22,29,18,23,24,15,7,All
Rebecca Poyourow,,,,,,1,37,48,26,18,25,15,23,25,11,8,All
Dewayne Drummond,,,,,,,0,28,38,34,22,26,18,15,12,9,All
Linda Norris,,,,,,,,0,23,17,22,13,20,20,11,10,All
Ken Washington,,,,,,,,,0,32,13,29,15,11,7,11,All
Liam G Boyle,,,,,,,,,,0,13,26,11,5,9,12,All
Joe Khan,,,,,,,,,,,0,14,10,11,9,13,All
Kevin Bundy,,,,,,,,,,,,0,12,4,9,14,All
Nat Lownes,,,,,,,,,,,,,0,9,4,15,All
Jacque Whaumbush,,,,,,,,,,,,,,1,5,16,All
John Brady,,,,,,,,,,,,,,,0,17,All
Total,"1,158",329,109,85,80,79,68,66,60,51,43,43,34,32,23,18,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,1
Dwight Evans,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Kevin Johnson,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,7,1
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,8,1
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,9,1
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,10,1
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,11,1
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,12,1
Linda Norris,,,,,,,,,,,0,0,0,0,0,13,1
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,14,1
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,15,1
Nat Lownes,,,,,,,,,,,,,,0,0,16,1
Rebecca Poyourow,,,,,,,,,,,,,,,0,17,1
Total,62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,2
Dwight Evans,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Kevin Johnson,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,7,2
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,8,2
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,9,2
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,10,2
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,11,2
Liam G Boyle,,,,,,,,,,0,0,0,0,0,0,12,2
Linda Norris,,,,,,,,,,,0,0,0,0,0,13,2
Lisa Rhodes,,,,,,,,,,,,0,0,0,0,14,2
Monica Maria Djerassi,,,,,,,,,,,,,0,0,0,15,2
Nat Lownes,,,,,,,,,,,,,,0,0,16,2
Rebecca Poyourow,,,,,,,,,,,,,,,0,17,2
Total,138,38,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Lisa Rhodes,Nat Lownes,Dewayne Drummond,Joe Khan,Jacque Whaumbush,Ken Washington,Liam G Boyle,John Brady,Kevin Bundy,2,3
Dwight Evans,6,0,5,3,3,3,3,2,1,0,0,1,1,0,0,3,3
Kevin Johnson,,0,3,4,4,3,3,1,1,2,1,0,0,0,0,4,3
Kathryn S Huggins,,,0,6,6,5,5,3,2,1,1,1,0,0,0,5,3
Monica Maria Djerassi,,,,0,7,6,6,3,2,2,1,1,0,0,0,6,3
Rebecca Poyourow,,,,,0,6,6,3,2,2,1,1,0,0,0,7,3
Linda Norris,,,,,,0,6,3,2,2,1,1,0,0,0,8,3
Lisa Rhodes,,,,,,,0,3,2,2,1,1,0,0,0,9,3
Nat Lownes,,,,,,,,0,2,0,0,1,0,0,0,10,3
Dewayne Drummond,,,,,,,,,0,0,0,0,0,0,0,11,3
Joe Khan,,,,,,,,,,0,1,0,0,0,0,12,3
Jacque Whaumbush,,,,,,,,,,,0,0,0,0,0,13,3
Ken Washington,,,,,,,,,,,,0,0,0,0,14,3
Liam G Boyle,,,,,,,,,,,,,0,0,0,15,3
John Brady,,,,,,,,,,,,,,0,0,16,3
Kevin Bundy,,,,,,,,,,,,,,,0,17,3
Total,12,4,8,7,7,6,6,3,2,2,1,1,1,0,0,18,3
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Dwight Evans,Kevin Johnson,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,4
Dwight Evans,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Kevin Johnson,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Dewayne Drummond,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Jacque Whaumbush,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Joe Khan,,,,,0,0,0,0,0,0,0,0,0,0,0,7,4
John Brady,,,,,,0,0,0,0,0,0,0,0,0,0,8,4
Kathryn S Huggins,,,,,,,0,0,0,0,0,0,0,0,0,9,4
Ken Washington,,,,,,,,0,0,0,0,0,0,0,0,10,4
Kevin Bundy,,,,,,,,,0,0,0,0,0,0,0,11,4
