col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,All
,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,All
Diana Irey Vaughan,4,0,0,0,0,0,0,0,All
Kathy Coder,,3,0,0,1,1,1,1,All
Peg Luksik,,,2,0,0,0,0,0,All
Jeff Bartos,,,,1,0,0,0,0,All
Christopher M Vogler,,,,,0,2,2,2,All
Maria Digiorgio Mccolgan,,,,,,0,2,2,All
Michael A Cibik,,,,,,,0,2,All
Theresa A Dintino,,,,,,,,0,All
Total,4,4,2,1,2,2,2,2,All
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,1
Christopher M Vogler,0,2,2,2,1,0,0,0,1
Maria Digiorgio Mccolgan,,0,2,2,1,0,0,0,1
Michael A Cibik,,,0,2,1,0,0,0,1
Theresa A Dintino,,,,0,1,0,0,0,1
Kathy Coder,,,,,0,0,0,0,1
Diana Irey Vaughan,,,,,,0,0,0,1
Jeff Bartos,,,,,,,0,0,1
Peg Luksik,,,,,,,,0,1
Total,2,2,2,2,1,0,0,0,1
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,2
,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2
Peg Luksik,1,0,0,0,0,0,0,0,2
Diana Irey Vaughan,,0,0,0,0,0,0,0,2
Jeff Bartos,,,0,0,0,0,0,0,2
Kathy Coder,,,,0,0,0,0,0,2
Christopher M Vogler,,,,,0,0,0,0,2
Maria Digiorgio Mccolgan,,,,,,0,0,0,2
Michael A Cibik,,,,,,,0,0,2
Theresa A Dintino,,,,,,,,0,2
Total,1,0,0,0,0,0,0,0,2
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,3
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,3
Diana Irey Vaughan,1,0,0,0,0,0,0,0,3
Jeff Bartos,,0,0,0,0,0,0,0,3
Kathy Coder,,,0,0,0,0,0,0,3
Peg Luksik,,,,0,0,0,0,0,3
Christopher M Vogler,,,,,0,0,0,0,3
Maria Digiorgio Mccolgan,,,,,,0,0,0,3
Michael A Cibik,,,,,,,0,0,3
Theresa A Dintino,,,,,,,,0,3
Total,1,0,0,0,0,0,0,0,3
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,4
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,4
Kathy Coder,1,0,0,0,0,0,0,0,4
Diana Irey Vaughan,,0,0,0,0,0,0,0,4
Jeff Bartos,,,0,0,0,0,0,0,4
Peg Luksik,,,,0,0,0,0,0,4
Christopher M Vogler,,,,,0,0,0,0,4
Maria Digiorgio Mccolgan,,,,,,0,0,0,4
Michael A Cibik,,,,,,,0,0,4
