col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Member Of The Democratic State Committee 8th Senatorial District,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Tom Young,Andi Perez,Darrell L Clarke,Amanda Mcillmurray,Mariel J K Martin,Noam Kugelmass,Joe Celentano,Judi Golding Baker,Matthew D Myers,Jon Geeting,All
Torri Douglas,653,"1,510","1,507","1,444",0,0,0,0,0,0,0,0,0,0,0,0,0,All
Marisa Piccarreto,,316,"1,451","1,435",0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kyle J Sampson,,,240,"1,439",0,0,0,0,0,0,0,0,0,0,0,0,0,All
Kyle Shenandoah,,,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Rhea Powell,,,,,84,256,234,218,231,192,248,223,202,177,181,107,109,All
Marylouise Isaacson,,,,,,8,210,192,248,193,238,238,130,116,153,147,90,All
Micah Mahjoubian,,,,,,,15,223,210,177,159,184,168,159,97,117,86,All
Tom Young,,,,,,,,22,190,166,141,170,157,169,86,124,89,All
Andi Perez,,,,,,,,,7,190,196,226,126,121,132,132,100,All
Darrell L Clarke,,,,,,,,,,55,137,181,91,84,102,148,63,All
Amanda Mcillmurray,,,,,,,,,,,9,204,133,106,166,97,82,All
Mariel J K Martin,,,,,,,,,,,,1,109,93,137,137,73,All
Noam Kugelmass,,,,,,,,,,,,,10,129,82,57,67,All
Joe Celentano,,,,,,,,,,,,,,17,60,58,78,All
Judi Golding Baker,,,,,,,,,,,,,,,1,68,49,All
Matthew D Myers,,,,,,,,,,,,,,,,3,44,All
Jon Geeting,,,,,,,,,,,,,,,,,6,All
Total,"2,291","1,898","1,809","1,727",504,363,358,354,347,347,322,321,251,250,210,203,152,All
