col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,All
,David Torres,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,Christopher M Vogler,2,All
David Torres,16,110,99,101,94,3,All
Maria Digiorgio Mccolgan,,11,86,90,88,4,All
Theresa A Dintino,,,5,88,85,5,All
Michael A Cibik,,,,3,92,6,All
Christopher M Vogler,,,,,2,7,All
Total,169,133,118,116,105,8,All
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,1
,David Torres,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,2,1
David Torres,2,2,1,0,0,3,1
Maria Digiorgio Mccolgan,,0,0,0,0,4,1
Theresa A Dintino,,,0,0,0,5,1
Christopher M Vogler,,,,0,0,6,1
Michael A Cibik,,,,,0,7,1
Total,5,2,1,0,0,8,1
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,2
,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Maria Digiorgio Mccolgan,David Torres,2,2
Christopher M Vogler,0,1,1,0,1,3,2
Michael A Cibik,,0,1,0,1,4,2
Theresa A Dintino,,,0,0,1,5,2
Maria Digiorgio Mccolgan,,,,0,0,6,2
David Torres,,,,,0,7,2
Total,1,1,1,0,1,8,2
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,3
,David Torres,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,2,3
David Torres,0,6,5,5,4,3,3
Maria Digiorgio Mccolgan,,0,4,5,4,4,3
Michael A Cibik,,,0,4,4,5,3
Theresa A Dintino,,,,0,4,6,3
Christopher M Vogler,,,,,0,7,3
Total,7,6,5,5,4,8,3
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,4
,David Torres,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,2,4
David Torres,3,9,6,4,5,3,4
Theresa A Dintino,,1,7,6,5,4,4
Christopher M Vogler,,,0,6,6,5,4
Maria Digiorgio Mccolgan,,,,1,5,6,4
Michael A Cibik,,,,,0,7,4
Total,13,12,8,7,6,8,4
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,5
,David Torres,Theresa A Dintino,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,2,5
David Torres,2,5,5,5,4,3,5
Theresa A Dintino,,1,3,3,4,4,5
Maria Digiorgio Mccolgan,,,1,5,4,5,5
Christopher M Vogler,,,,0,4,6,5
Michael A Cibik,,,,,0,7,5
Total,9,7,6,5,5,8,5
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,6
,David Torres,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,2,6
David Torres,1,2,1,0,0,3,6
Michael A Cibik,,0,0,0,0,4,6
Theresa A Dintino,,,0,0,0,5,6
Christopher M Vogler,,,,0,0,6,6
Maria Digiorgio Mccolgan,,,,,0,7,6
Total,4,2,1,0,0,8,6
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,7
,David Torres,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,2,7
David Torres,5,6,7,6,5,3,7
Maria Digiorgio Mccolgan,,2,4,4,4,4,7
Theresa A Dintino,,,0,4,3,5,7
Christopher M Vogler,,,,0,4,6,7
Michael A Cibik,,,,,1,7,7
Total,16,8,7,6,6,8,7
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,8
,David Torres,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,2,8
David Torres,1,6,5,5,5,3,8
Michael A Cibik,,0,5,4,4,4,8
Christopher M Vogler,,,0,4,3,5,8
Maria Digiorgio Mccolgan,,,,0,2,6,8
Theresa A Dintino,,,,,0,7,8
Total,9,6,5,5,5,8,8
,Member Of The - Republican State Committee 1st Congressional District,,,,Representative In Congress 2nd District - Republican,1,9
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,David Torres,2,9
Maria Digiorgio Mccolgan,1,0,0,0,0,3,9
Christopher M Vogler,,0,0,0,0,4,9
Michael A Cibik,,,0,0,0,5,9
Theresa A Dintino,,,,0,0,6,9
David Torres,,,,,0,7,9
Total,1,0,0,0,0,8,9
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 1st Congressional District,,,,1,10
,David Torres,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,2,10
David Torres,0,8,4,2,0,3,10
Maria Digiorgio Mccolgan,,0,4,2,0,4,10
Michael A Cibik,,,0,2,0,5,10
Christopher M Vogler,,,,0,0,6,10
