col_1,col_2,col_3,order,division
,Representative In Congress 3rd District - Democrat,,1,All
,Dwight Evans,Kevin Johnson,2,All
Dwight Evans,"72,724",0,3,All
Kevin Johnson,,"17,286",4,All
Total,"72,724","17,286",5,All
