col_1,col_2,col_3,order,division
,Representative In Congress 2nd District - Democrat,,1,All
,Brendan F Boyle,Michele Lawrence,2,All
Brendan F Boyle,"2,103",0,3,All
Michele Lawrence,,469,4,All
Total,"2,103",469,5,All
,Representative In Congress 2nd District - Democrat,,1,1
,Brendan F Boyle,Michele Lawrence,2,1
Brendan F Boyle,39,0,3,1
Michele Lawrence,,6,4,1
Total,39,6,5,1
,Representative In Congress 2nd District - Democrat,,1,2
,Brendan F Boyle,Michele Lawrence,2,2
Brendan F Boyle,18,0,3,2
Michele Lawrence,,5,4,2
Total,18,5,5,2
,Representative In Congress 2nd District - Democrat,,1,3
,Brendan F Boyle,Michele Lawrence,2,3
Brendan F Boyle,53,0,3,3
Michele Lawrence,,9,4,3
Total,53,9,5,3
,Representative In Congress 2nd District - Democrat,,1,4
,Brendan F Boyle,Michele Lawrence,2,4
Brendan F Boyle,70,0,3,4
Michele Lawrence,,16,4,4
Total,70,16,5,4
,Representative In Congress 2nd District - Democrat,,1,5
,Brendan F Boyle,Michele Lawrence,2,5
Brendan F Boyle,53,0,3,5
Michele Lawrence,,23,4,5
Total,53,23,5,5
,Representative In Congress 2nd District - Democrat,,1,6
,Brendan F Boyle,Michele Lawrence,2,6
Brendan F Boyle,43,0,3,6
Michele Lawrence,,13,4,6
Total,43,13,5,6
,Representative In Congress 2nd District - Democrat,,1,7
,Brendan F Boyle,Michele Lawrence,2,7
Brendan F Boyle,39,0,3,7
Michele Lawrence,,15,4,7
Total,39,15,5,7
,Representative In Congress 2nd District - Democrat,,1,8
,Brendan F Boyle,Michele Lawrence,2,8
Brendan F Boyle,41,0,3,8
Michele Lawrence,,13,4,8
Total,41,13,5,8
,Representative In Congress 2nd District - Democrat,,1,9
,Brendan F Boyle,Michele Lawrence,2,9
Brendan F Boyle,50,0,3,9
Michele Lawrence,,10,4,9
Total,50,10,5,9
,Representative In Congress 2nd District - Democrat,,1,10
,Brendan F Boyle,Michele Lawrence,2,10
Brendan F Boyle,47,0,3,10
Michele Lawrence,,11,4,10
Total,47,11,5,10
