V1,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,division
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,All
Kathy Coder,18,0,0,0,0,All
Diana Irey Vaughan,,16,0,0,0,All
Jeff Bartos,,,16,0,0,All
Peg Luksik,,,,3,0,All
Write In,,,,,1,All
Total,18,16,16,3,1,All
Diana Irey Vaughan,0,4,0,0,0,1
Kathy Coder,3,,0,0,0,1
Jeff Bartos,,,1,0,0,1
Peg Luksik,,,,1,0,1
Write In,,,,,1,1
Total,3,4,1,1,1,1
Jeff Bartos,0,0,4,0,0,2
Diana Irey Vaughan,0,2,,0,0,2
Kathy Coder,1,,,0,0,2
Peg Luksik,,,,1,0,2
Write In,,,,,1,2
Total,1,2,4,1,1,2
Diana Irey Vaughan,0,2,0,0,0,3
Kathy Coder,2,,0,0,0,3
Jeff Bartos,,,1,0,0,3
Peg Luksik,,,,1,0,3
Write In,,,,,1,3
Total,2,2,1,1,1,3
Diana Irey Vaughan,0,5,0,0,0,5
Jeff Bartos,0,,3,0,0,5
Kathy Coder,2,,,0,0,5
Peg Luksik,,,,1,0,5
Write In,,,,,1,5
Total,2,5,3,1,1,5
Kathy Coder,5,0,0,0,0,6
Diana Irey Vaughan,,2,0,0,0,6
Jeff Bartos,,,2,0,0,6
Peg Luksik,,,,1,0,6
Write In,,,,,1,6
Total,5,2,2,1,1,6
Kathy Coder,2,0,0,0,0,7
Diana Irey Vaughan,,1,0,0,0,7
Jeff Bartos,,,1,0,0,7
Peg Luksik,,,,1,0,7
Write In,,,,,1,7
Total,2,1,1,1,1,7
Jeff Bartos,0,0,3,0,0,8
Diana Irey Vaughan,0,2,,0,0,8
Peg Luksik,0,,,2,0,8
Kathy Coder,1,,,,0,8
Write In,,,,,1,8
Total,1,2,3,2,1,8
Diana Irey Vaughan,0,2,0,0,0,9
Kathy Coder,2,,0,0,0,9
Jeff Bartos,,,1,0,0,9
Peg Luksik,,,,1,0,9
Write In,,,,,1,9
Total,2,2,1,1,1,9
Jeff Bartos,0,0,4,0,0,10
Diana Irey Vaughan,0,2,,0,0,10
Kathy Coder,2,,,0,0,10
Peg Luksik,,,,1,0,10
Write In,,,,,1,10
Total,2,2,4,1,1,10
Jeff Bartos,0,0,4,0,0,11
Kathy Coder,2,0,,0,0,11
Diana Irey Vaughan,,1,,0,0,11
Peg Luksik,,,,1,0,11
Write In,,,,,1,11
Total,2,1,4,1,1,11
Jeff Bartos,0,0,2,0,0,12
Peg Luksik,0,0,,2,0,12
Diana Irey Vaughan,0,1,,,0,12
Kathy Coder,1,,,,0,12
Write In,,,,,1,12
Total,1,1,2,2,1,12
Diana Irey Vaughan,0,2,0,0,0,13
Jeff Bartos,0,,1,0,0,13
Kathy Coder,1,,,0,0,13
Peg Luksik,,,,1,0,13
Write In,,,,,1,13
Total,1,2,1,1,1,13
Kathy Coder,3,0,0,0,0,14
Diana Irey Vaughan,,1,0,0,0,14
Jeff Bartos,,,1,0,0,14
Peg Luksik,,,,1,0,14
Write In,,,,,1,14
Total,3,1,1,1,1,14
Kathy Coder,2,0,0,0,0,15
Diana Irey Vaughan,,1,0,0,0,15
Jeff Bartos,,,1,0,0,15
Peg Luksik,,,,1,0,15
Write In,,,,,1,15
Total,2,1,1,1,1,15
Diana Irey Vaughan,0,2,0,0,0,17
Kathy Coder,2,,0,0,0,17
Jeff Bartos,,,1,0,0,17
Peg Luksik,,,,1,0,17
Write In,,,,,1,17
Total,2,2,1,1,1,17
Kathy Coder,2,0,0,0,0,19
Diana Irey Vaughan,,1,0,0,0,19
Jeff Bartos,,,1,0,0,19
Peg Luksik,,,,1,0,19
Write In,,,,,1,19
Total,2,1,1,1,1,19
