col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,All
,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Thaddeus Kirkland,Mary Gay Scanlon,Greg Vitali,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,2,All
Rich Lazer,22,0,0,0,0,0,0,0,0,0,0,0,0,3,All
Theresa M Wright,,20,0,0,0,0,0,0,0,0,0,0,0,4,All
Lindy Li,,,15,0,0,0,0,0,0,0,0,0,0,5,All
Molly Sheehan,,,,13,0,0,0,0,0,0,0,0,0,6,All
Ashley Lunkenheimer,,,,,7,0,0,0,0,0,0,0,0,7,All
Thaddeus Kirkland,,,,,,6,0,0,0,0,0,0,0,8,All
Mary Gay Scanlon,,,,,,,5,0,0,0,0,0,0,9,All
Greg Vitali,,,,,,,,4,0,0,0,0,0,10,All
Margo Davidson,,,,,,,,,4,0,0,0,0,11,All
Dan Muroff,,,,,,,,,,0,0,0,0,12,All
David Wertime,,,,,,,,,,,0,0,0,13,All
Larry Arata,,,,,,,,,,,,0,0,14,All
Shelly Chauncey,,,,,,,,,,,,,0,15,All
Total,22,20,15,13,7,6,5,4,4,0,0,0,0,16,All
