col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,All
Mike Stack,139,0,0,0,0,154,182,171,188,132,113,105,103,107,3,All
Kathi Cozzone,,39,0,0,0,175,125,129,58,56,43,49,44,47,4,All
Nina Ahmad,,,25,0,0,49,59,54,79,65,53,44,48,42,5,All
John Fetterman,,,,12,0,35,44,38,30,27,22,22,22,24,6,All
Ray Sosa,,,,,1,9,10,10,9,10,7,6,6,7,7,All
Jaime Bouldin,,,,,,6,287,302,225,222,210,201,203,209,8,All
Humberto Perez,,,,,,,5,319,255,237,216,204,205,208,9,All
David Rodriguez,,,,,,,,4,240,230,212,205,208,213,10,All
Barbara Carroll,,,,,,,,,18,256,230,212,212,214,11,All
Sharon Vaughn,,,,,,,,,,1,225,211,214,217,12,All
Latrice Y Bryant,,,,,,,,,,,0,210,213,201,13,All
Robert Taylor,,,,,,,,,,,,0,206,197,14,All
Jonathan M Gary,,,,,,,,,,,,,0,196,15,All
Dustin Morris,,,,,,,,,,,,,,0,16,All
Total,484,275,139,69,16,439,435,418,396,299,247,234,233,230,17,All
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Humberto Perez,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Humberto Perez,0,13,14,6,7,6,6,6,6,9,9,3,1,0,3,1
Jaime Bouldin,,0,13,6,5,7,6,6,6,6,9,2,0,0,4,1
David Rodriguez,,,0,6,5,7,6,6,6,6,7,2,0,0,5,1
