col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,All
Meagan Ingerson,127,800,749,575,578,532,463,399,363,3,All
Erica Vanstone,,25,697,658,705,655,589,534,495,4,All
Mona Getzes Cohen,,,70,533,518,487,402,376,340,5,All
James Harrity,,,,68,503,475,493,467,411,6,All
Catherine Bartch,,,,,5,594,418,408,422,7,All
Marnie Aument Loughrey,,,,,,0,426,399,400,8,All
Frank T Brzozowski,,,,,,,15,431,361,9,All
Richard Lombardo,,,,,,,,5,361,10,All
Billy Cortes,,,,,,,,,6,11,All
Total,"1,048","1,029",870,832,774,721,673,594,552,12,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,1
Meagan Ingerson,7,73,67,51,49,47,31,30,27,3,1
Erica Vanstone,,2,65,53,51,47,31,31,30,4,1
Mona Getzes Cohen,,,4,49,42,44,27,28,26,5,1
James Harrity,,,,3,32,29,27,25,23,6,1
Catherine Bartch,,,,,0,41,21,18,25,7,1
Marnie Aument Loughrey,,,,,,0,19,22,21,8,1
Frank T Brzozowski,,,,,,,0,20,13,9,1
Richard Lombardo,,,,,,,,0,17,10,1
Billy Cortes,,,,,,,,,0,11,1
Total,89,81,77,62,54,50,35,34,33,12,1
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,James Harrity,Erica Vanstone,Marnie Aument Loughrey,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Richard Lombardo,Meagan Ingerson,Mona Getzes Cohen,2,2
James Harrity,2,11,10,10,10,9,9,5,5,3,2
Erica Vanstone,,0,12,12,12,11,11,3,3,4,2
Marnie Aument Loughrey,,,0,11,11,10,11,3,3,5,2
Catherine Bartch,,,,0,11,11,10,3,2,6,2
Frank T Brzozowski,,,,,0,10,11,2,2,7,2
Billy Cortes,,,,,,0,9,2,2,8,2
Richard Lombardo,,,,,,,0,1,1,9,2
Meagan Ingerson,,,,,,,,0,5,10,2
Mona Getzes Cohen,,,,,,,,,0,11,2
Total,15,13,13,12,12,11,11,6,6,12,2
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Marnie Aument Loughrey,James Harrity,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Richard Lombardo,2,3
Erica Vanstone,8,44,36,34,29,33,26,25,27,3,3
Meagan Ingerson,,4,39,29,25,27,22,19,20,4,3
Mona Getzes Cohen,,,2,27,24,22,18,20,19,5,3
Marnie Aument Loughrey,,,,0,22,23,26,20,18,6,3
James Harrity,,,,,4,24,16,20,22,7,3
Frank T Brzozowski,,,,,,0,13,22,24,8,3
Catherine Bartch,,,,,,,0,16,12,9,3
Billy Cortes,,,,,,,,0,20,10,3
Richard Lombardo,,,,,,,,,0,11,3
Total,62,53,44,37,36,34,30,29,29,12,3
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Erica Vanstone,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,2,4
Erica Vanstone,1,66,51,52,55,46,52,35,33,3,4
Meagan Ingerson,,3,45,53,47,40,45,28,26,4,4
James Harrity,,,4,42,44,43,42,32,31,5,4
Mona Getzes Cohen,,,,4,40,33,40,23,21,6,4
Catherine Bartch,,,,,0,38,50,32,31,7,4
Frank T Brzozowski,,,,,,5,39,27,26,8,4
Marnie Aument Loughrey,,,,,,,0,31,29,9,4
Richard Lombardo,,,,,,,,0,24,10,4
Billy Cortes,,,,,,,,,0,11,4
Total,81,76,65,63,61,61,58,39,38,12,4
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,James Harrity,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Richard Lombardo,2,5
Erica Vanstone,1,47,54,50,40,43,35,32,29,3,5
Meagan Ingerson,,9,37,34,25,41,20,17,13,4,5
Catherine Bartch,,,0,45,34,35,32,29,26,5,5
Marnie Aument Loughrey,,,,0,35,35,31,29,26,6,5
James Harrity,,,,,6,26,26,22,24,7,5
Mona Getzes Cohen,,,,,,4,21,19,17,8,5
Billy Cortes,,,,,,,0,22,19,9,5
Frank T Brzozowski,,,,,,,,1,21,10,5
Richard Lombardo,,,,,,,,,1,11,5
Total,67,58,55,52,50,49,35,34,31,12,5
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Marnie Aument Loughrey,James Harrity,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,6
Meagan Ingerson,5,41,42,35,34,31,27,25,23,3,6
Mona Getzes Cohen,,7,34,30,30,27,22,25,21,4,6
Erica Vanstone,,,2,32,31,29,24,21,18,5,6
Marnie Aument Loughrey,,,,0,23,26,16,15,17,6,6
James Harrity,,,,,1,20,26,22,19,7,6
Catherine Bartch,,,,,,0,10,18,14,8,6
Frank T Brzozowski,,,,,,,0,18,14,9,6
Richard Lombardo,,,,,,,,0,14,10,6
Billy Cortes,,,,,,,,,1,11,6
Total,57,50,48,39,38,35,30,29,25,12,6
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,8
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Frank T Brzozowski,2,8
Meagan Ingerson,3,54,51,46,39,38,31,31,32,3,8
Erica Vanstone,,0,47,49,40,41,35,36,34,4,8
Mona Getzes Cohen,,,3,39,33,32,27,26,26,5,8
Catherine Bartch,,,,0,35,40,29,31,27,6,8
James Harrity,,,,,4,29,28,27,27,7,8
Marnie Aument Loughrey,,,,,,0,24,27,22,8,8
Richard Lombardo,,,,,,,0,25,25,9,8
Billy Cortes,,,,,,,,0,20,10,8
Frank T Brzozowski,,,,,,,,,0,11,8
Total,63,60,55,53,50,46,39,38,37,12,8
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,9
,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Richard Lombardo,2,9
Mona Getzes Cohen,5,43,45,37,30,24,23,22,21,3,9
Erica Vanstone,,3,43,39,32,26,24,24,22,4,9
Meagan Ingerson,,,3,37,31,25,23,20,23,5,9
James Harrity,,,,1,27,23,23,22,23,6,9
Catherine Bartch,,,,,0,25,17,17,17,7,9
Marnie Aument Loughrey,,,,,,0,17,14,14,8,9
Frank T Brzozowski,,,,,,,1,12,18,9,9
Billy Cortes,,,,,,,,2,13,10,9
Richard Lombardo,,,,,,,,,0,11,9
Total,52,51,51,43,35,29,28,27,26,12,9
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Richard Lombardo,Frank T Brzozowski,2,10
Meagan Ingerson,7,38,37,29,28,28,21,21,19,3,10
Erica Vanstone,,2,31,24,23,25,18,19,19,4,10
Mona Getzes Cohen,,,5,25,22,22,18,17,15,5,10
James Harrity,,,,0,21,22,18,19,14,6,10
Catherine Bartch,,,,,0,23,18,16,11,7,10
Marnie Aument Loughrey,,,,,,0,17,16,12,8,10
Billy Cortes,,,,,,,0,11,12,9,10
Richard Lombardo,,,,,,,,0,14,10,10
Frank T Brzozowski,,,,,,,,,0,11,10
Total,54,42,42,32,30,30,24,23,21,12,10
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,11
Meagan Ingerson,11,56,52,42,37,38,30,27,22,3,11
Mona Getzes Cohen,,5,49,41,35,35,28,27,21,4,11
Erica Vanstone,,,0,48,38,40,35,33,27,5,11
Catherine Bartch,,,,0,34,39,29,27,24,6,11
James Harrity,,,,,2,33,32,29,24,7,11
Marnie Aument Loughrey,,,,,,0,29,27,23,8,11
Frank T Brzozowski,,,,,,,0,23,19,9,11
Richard Lombardo,,,,,,,,0,24,10,11
Billy Cortes,,,,,,,,,0,11,11
Total,73,64,63,52,48,47,40,37,31,12,11
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,12
,Erica Vanstone,Meagan Ingerson,Marnie Aument Loughrey,Catherine Bartch,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,12
Erica Vanstone,1,23,26,24,18,18,18,18,17,3,12
Meagan Ingerson,,6,19,17,18,15,11,11,11,4,12
Marnie Aument Loughrey,,,0,22,16,17,18,18,18,5,12
Catherine Bartch,,,,0,13,14,14,15,14,6,12
Mona Getzes Cohen,,,,,4,11,10,10,9,7,12
James Harrity,,,,,,2,13,13,11,8,12
Frank T Brzozowski,,,,,,,0,13,14,9,12
Richard Lombardo,,,,,,,,0,13,10,12
Billy Cortes,,,,,,,,,0,11,12
Total,31,31,27,25,24,23,19,19,18,12,12
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,13
Meagan Ingerson,9,51,42,28,34,30,23,23,22,3,13
Erica Vanstone,,0,41,36,44,40,35,35,33,4,13
Mona Getzes Cohen,,,7,25,31,28,20,22,22,5,13
James Harrity,,,,6,27,27,26,27,26,6,13
Catherine Bartch,,,,,0,36,21,25,29,7,13
Marnie Aument Loughrey,,,,,,0,23,25,28,8,13
Frank T Brzozowski,,,,,,,3,28,23,9,13
Richard Lombardo,,,,,,,,0,26,10,13
Billy Cortes,,,,,,,,,0,11,13
Total,64,63,53,47,46,42,41,39,36,12,13
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Meagan Ingerson,Erica Vanstone,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,2,14
Meagan Ingerson,15,44,40,43,31,34,27,23,13,3,14
Erica Vanstone,,1,43,40,41,40,35,32,23,4,14
James Harrity,,,3,39,33,37,29,30,22,5,14
Mona Getzes Cohen,,,,4,30,28,26,23,13,6,14
Catherine Bartch,,,,,3,26,32,20,19,7,14
