col_1,col_2,col_3,col_4,order,division
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,All
Bob Casey Jr,191,"2,266",817,3,All
Dwight Evans,,224,0,4,All
Kevin Johnson,,,76,5,All
Total,"3,274","2,490",893,6,All
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,1
Bob Casey Jr,6,65,19,3,1
Dwight Evans,,4,0,4,1
Kevin Johnson,,,1,5,1
Total,90,69,20,6,1
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,2
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,2
Bob Casey Jr,8,69,28,3,2
Dwight Evans,,6,0,4,2
Kevin Johnson,,,2,5,2
Total,105,75,30,6,2
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,3
Bob Casey Jr,6,85,41,3,3
Dwight Evans,,10,0,4,3
Kevin Johnson,,,2,5,3
Total,132,95,43,6,3
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,4
Bob Casey Jr,1,44,5,3,4
Dwight Evans,,5,0,4,4
Kevin Johnson,,,2,5,4
Total,50,49,7,6,4
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,5
Bob Casey Jr,6,71,22,3,5
Dwight Evans,,11,0,4,5
Kevin Johnson,,,1,5,5
Total,99,82,23,6,5
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,6
Bob Casey Jr,5,67,24,3,6
Dwight Evans,,3,0,4,6
Kevin Johnson,,,2,5,6
Total,96,70,26,6,6
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,7
Bob Casey Jr,5,70,24,3,7
Dwight Evans,,3,0,4,7
Kevin Johnson,,,1,5,7
Total,99,73,25,6,7
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,8
Bob Casey Jr,6,67,17,3,8
Dwight Evans,,6,0,4,8
Kevin Johnson,,,0,5,8
Total,90,73,17,6,8
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,9
Bob Casey Jr,5,64,27,3,9
Dwight Evans,,8,0,4,9
Kevin Johnson,,,0,5,9
Total,96,72,27,6,9
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,10
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,10
Bob Casey Jr,3,65,18,3,10
Dwight Evans,,6,0,4,10
Kevin Johnson,,,7,5,10
Total,86,71,25,6,10
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,11
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,11
Bob Casey Jr,3,63,19,3,11
Dwight Evans,,6,0,4,11
Kevin Johnson,,,1,5,11
Total,85,69,20,6,11
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,12
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,12
Bob Casey Jr,3,38,13,3,12
Dwight Evans,,2,0,4,12
Kevin Johnson,,,0,5,12
Total,54,40,13,6,12
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,13
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,13
Bob Casey Jr,7,48,16,3,13
Dwight Evans,,3,0,4,13
Kevin Johnson,,,3,5,13
Total,71,51,19,6,13
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,14
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,14
Bob Casey Jr,2,25,13,3,14
Dwight Evans,,0,0,4,14
Kevin Johnson,,,2,5,14
Total,40,25,15,6,14
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,15
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,15
Bob Casey Jr,5,48,14,3,15
Dwight Evans,,8,0,4,15
Kevin Johnson,,,6,5,15
Total,67,56,20,6,15
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,16
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,16
Bob Casey Jr,4,58,16,3,16
Dwight Evans,,9,0,4,16
Kevin Johnson,,,2,5,16
Total,78,67,18,6,16
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,17
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,17
Bob Casey Jr,7,45,12,3,17
Dwight Evans,,10,0,4,17
Kevin Johnson,,,2,5,17
Total,64,55,14,6,17
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,18
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,18
Bob Casey Jr,4,47,18,3,18
Dwight Evans,,8,0,4,18
Kevin Johnson,,,1,5,18
Total,69,55,19,6,18
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,19
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,19
Bob Casey Jr,2,58,23,3,19
Dwight Evans,,8,0,4,19
Kevin Johnson,,,2,5,19
Total,83,66,25,6,19
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,20
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,20
Bob Casey Jr,3,55,17,3,20
Dwight Evans,,4,0,4,20
Kevin Johnson,,,0,5,20
Total,75,59,17,6,20
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,21
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,21
Bob Casey Jr,3,36,21,3,21
Dwight Evans,,5,0,4,21
Kevin Johnson,,,3,5,21
Total,60,41,24,6,21
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,22
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,22
Bob Casey Jr,2,39,9,3,22
Dwight Evans,,3,0,4,22
Kevin Johnson,,,2,5,22
Total,50,42,11,6,22
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,23
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,23
Bob Casey Jr,2,35,13,3,23
Dwight Evans,,5,0,4,23
Kevin Johnson,,,2,5,23
Total,50,40,15,6,23
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,24
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,24
Bob Casey Jr,6,35,10,3,24
Dwight Evans,,2,0,4,24
Kevin Johnson,,,1,5,24
Total,51,37,11,6,24
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,25
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,25
Bob Casey Jr,5,31,11,3,25
Dwight Evans,,4,0,4,25
Kevin Johnson,,,1,5,25
Total,47,35,12,6,25
,United States Senator - Democrat,Representative In Congress 3rd District - Democrat,,1,26
,Bob Casey Jr,Dwight Evans,Kevin Johnson,2,26
Bob Casey Jr,3,31,16,3,26
Dwight Evans,,6,0,4,26
Kevin Johnson,,,5,5,26
