col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,All
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,All
Joanna E Mcclinton,181,"1,053",376,284,84,8,All
Mike Stack,,47,0,0,0,0,All
Kathi Cozzone,,,28,0,0,0,All
Nina Ahmad,,,,18,0,0,All
John Fetterman,,,,,16,0,All
Ray Sosa,,,,,,3,All
Total,"1,986","1,100",404,302,100,11,All
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,1
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,1
Joanna E Mcclinton,5,35,8,5,0,0,1
Mike Stack,,3,0,0,0,0,1
Kathi Cozzone,,,1,0,0,0,1
Nina Ahmad,,,,2,0,0,1
John Fetterman,,,,,0,0,1
Ray Sosa,,,,,,0,1
Total,53,38,9,7,0,0,1
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,2
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2
Joanna E Mcclinton,5,27,19,10,4,0,2
Mike Stack,,4,0,0,0,0,2
Kathi Cozzone,,,0,0,0,0,2
Nina Ahmad,,,,0,0,0,2
John Fetterman,,,,,0,0,2
Ray Sosa,,,,,,0,2
Total,65,31,19,10,4,0,2
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,3
,Joanna E Mcclinton,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,3
Joanna E Mcclinton,4,56,14,10,4,0,3
Mike Stack,,3,0,0,0,0,3
Nina Ahmad,,,3,0,0,0,3
Kathi Cozzone,,,,1,0,0,3
John Fetterman,,,,,2,0,3
Ray Sosa,,,,,,0,3
Total,88,59,17,11,6,0,3
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,4
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,4
Joanna E Mcclinton,7,81,12,8,3,0,4
Mike Stack,,3,0,0,0,0,4
Kathi Cozzone,,,0,0,0,0,4
Nina Ahmad,,,,0,0,0,4
John Fetterman,,,,,3,0,4
Ray Sosa,,,,,,1,4
Total,111,84,12,8,6,1,4
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,5
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,5
Joanna E Mcclinton,6,34,12,5,5,0,5
Mike Stack,,3,0,0,0,0,5
Kathi Cozzone,,,1,0,0,0,5
Nina Ahmad,,,,2,0,0,5
John Fetterman,,,,,0,0,5
Ray Sosa,,,,,,0,5
Total,62,37,13,7,5,0,5
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,6
,Joanna E Mcclinton,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,6
Joanna E Mcclinton,12,27,23,16,7,1,6
Kathi Cozzone,,2,0,0,0,0,6
Mike Stack,,,1,0,0,0,6
Nina Ahmad,,,,0,0,0,6
John Fetterman,,,,,2,0,6
Ray Sosa,,,,,,0,6
Total,86,29,24,16,9,1,6
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,7
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,7
Joanna E Mcclinton,7,37,20,8,2,1,7
Mike Stack,,1,0,0,0,0,7
Kathi Cozzone,,,2,0,0,0,7
Nina Ahmad,,,,1,0,0,7
John Fetterman,,,,,0,0,7
Ray Sosa,,,,,,0,7
Total,75,38,22,9,2,1,7
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,8
,Joanna E Mcclinton,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,8
Joanna E Mcclinton,8,58,13,7,6,0,8
Mike Stack,,1,0,0,0,0,8
Nina Ahmad,,,0,0,0,0,8
Kathi Cozzone,,,,1,0,0,8
John Fetterman,,,,,0,0,8
Ray Sosa,,,,,,0,8
Total,92,59,13,8,6,0,8
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,9
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,9
Joanna E Mcclinton,8,62,24,18,7,1,9
Mike Stack,,6,0,0,0,0,9
Kathi Cozzone,,,1,0,0,0,9
Nina Ahmad,,,,0,0,0,9
John Fetterman,,,,,0,0,9
Ray Sosa,,,,,,0,9
Total,120,68,25,18,7,1,9
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,10
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,10
Joanna E Mcclinton,10,48,17,8,3,0,10
Mike Stack,,2,0,0,0,0,10
Kathi Cozzone,,,3,0,0,0,10
Nina Ahmad,,,,0,0,0,10
John Fetterman,,,,,0,0,10
Ray Sosa,,,,,,0,10
Total,86,50,20,8,3,0,10
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,11
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,11
Joanna E Mcclinton,12,60,25,25,9,0,11
Mike Stack,,3,0,0,0,0,11
Kathi Cozzone,,,2,0,0,0,11
Nina Ahmad,,,,1,0,0,11
John Fetterman,,,,,0,0,11
Ray Sosa,,,,,,1,11
Total,131,63,27,26,9,1,11
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,12
,Joanna E Mcclinton,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,12
Joanna E Mcclinton,3,56,16,11,4,0,12
Mike Stack,,1,0,0,0,0,12
Nina Ahmad,,,0,0,0,0,12
Kathi Cozzone,,,,1,0,0,12
John Fetterman,,,,,2,0,12
Ray Sosa,,,,,,0,12
Total,90,57,16,12,6,0,12
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,13
,Joanna E Mcclinton,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,13
Joanna E Mcclinton,5,38,14,6,5,0,13
Mike Stack,,1,0,0,0,0,13
Kathi Cozzone,,,0,0,0,0,13
Nina Ahmad,,,,0,0,0,13
John Fetterman,,,,,0,0,13
Ray Sosa,,,,,,0,13
Total,68,39,14,6,5,0,13
,Representative In The General Assembly 191st District - Democrat,Lieutenant Governor - Democrat,,,,,14
