col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
Total,55,28,20,13,13,11,9,9,9,8,13,6
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Tom Wolf,Jaime Bouldin,Humberto Perez,David Rodriguez,Sharon Vaughn,Latrice Y Bryant,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,2,7
Tom Wolf,15,30,26,24,21,20,19,16,16,16,3,7
Jaime Bouldin,,0,20,21,17,15,16,14,14,15,4,7
Humberto Perez,,,2,21,17,15,15,14,14,15,5,7
David Rodriguez,,,,0,19,16,17,14,15,16,6,7
Sharon Vaughn,,,,,0,17,18,15,15,16,7,7
Latrice Y Bryant,,,,,,0,16,16,13,16,8,7
Barbara Carroll,,,,,,,0,15,13,14,9,7
Robert Taylor,,,,,,,,1,12,14,10,7
Dustin Morris,,,,,,,,,0,13,11,7
Jonathan M Gary,,,,,,,,,,0,12,7
Total,58,30,28,24,21,20,19,17,16,16,13,7
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,8
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Robert Taylor,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,2,8
Tom Wolf,18,31,25,20,20,19,17,17,15,15,3,8
Jaime Bouldin,,0,20,19,19,18,16,17,15,15,4,8
David Rodriguez,,,0,19,17,16,15,16,15,14,5,8
Humberto Perez,,,,0,17,16,15,16,15,14,6,8
Sharon Vaughn,,,,,0,18,16,17,15,15,7,8
Barbara Carroll,,,,,,0,15,16,14,14,8,8
Robert Taylor,,,,,,,0,15,15,14,9,8
Latrice Y Bryant,,,,,,,,0,15,13,10,8
Jonathan M Gary,,,,,,,,,0,13,11,8
Dustin Morris,,,,,,,,,,0,12,8
Total,58,31,25,20,20,19,18,17,16,15,13,8
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
,Tom Wolf,Barbara Carroll,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,9
Tom Wolf,14,28,30,24,22,15,14,12,11,9,3,9
Barbara Carroll,,1,15,14,14,14,14,11,11,8,4,9
Jaime Bouldin,,,0,20,18,12,13,12,11,9,5,9
David Rodriguez,,,,1,18,13,13,11,11,9,6,9
Humberto Perez,,,,,1,12,12,11,10,9,7,9
Sharon Vaughn,,,,,,0,13,10,11,8,8,9
Latrice Y Bryant,,,,,,,0,11,11,9,9,9
Jonathan M Gary,,,,,,,,0,9,8,10,9
Dustin Morris,,,,,,,,,0,8,11,9
Robert Taylor,,,,,,,,,,0,12,9
Total,64,30,30,25,23,16,15,12,11,9,13,9
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,Tom Wolf,Barbara Carroll,Jaime Bouldin,David Rodriguez,Humberto Perez,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,Sharon Vaughn,2,10
Tom Wolf,9,8,8,6,5,4,3,3,3,3,3,10
Barbara Carroll,,2,3,3,4,3,3,3,3,2,4,10
Jaime Bouldin,,,1,3,4,2,3,3,3,2,5,10
David Rodriguez,,,,0,4,2,2,2,2,2,6,10
Humberto Perez,,,,,0,3,3,3,3,2,7,10
Latrice Y Bryant,,,,,,0,2,2,2,2,8,10
Dustin Morris,,,,,,,0,3,3,2,9,10
Jonathan M Gary,,,,,,,,0,3,2,10,10
Robert Taylor,,,,,,,,,0,2,11,10
Sharon Vaughn,,,,,,,,,,0,12,10
Total,27,10,10,7,6,4,3,3,3,3,13,10
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,2,11
Tom Wolf,4,15,12,10,8,7,6,6,6,5,3,11
Jaime Bouldin,,0,7,8,6,6,6,4,5,5,4,11
David Rodriguez,,,1,8,7,6,6,5,6,5,5,11
