col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,All
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Jim Christiana,Lou Barletta,2,All
Christopher M Vogler,0,6,6,7,3,2,3,All
Maria Digiorgio Mccolgan,,0,6,6,3,2,4,All
Michael A Cibik,,,1,6,3,1,5,All
Theresa A Dintino,,,,0,3,2,6,All
Jim Christiana,,,,,2,0,7,All
Lou Barletta,,,,,,1,8,All
Total,7,7,7,7,5,4,9,All
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,1
,Christopher M Vogler,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,Lou Barletta,Jim Christiana,2,1
Christopher M Vogler,0,1,0,0,1,0,3,1
Theresa A Dintino,,0,0,0,1,0,4,1
Maria Digiorgio Mccolgan,,,0,0,0,0,5,1
Michael A Cibik,,,,0,0,0,6,1
Lou Barletta,,,,,0,0,7,1
Jim Christiana,,,,,,0,8,1
Total,1,1,0,0,1,0,9,1
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,2
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Lou Barletta,Jim Christiana,2,2
Christopher M Vogler,0,1,1,1,1,0,3,2
Maria Digiorgio Mccolgan,,0,1,1,1,0,4,2
Michael A Cibik,,,0,1,1,0,5,2
Theresa A Dintino,,,,0,1,0,6,2
Lou Barletta,,,,,0,0,7,2
Jim Christiana,,,,,,0,8,2
Total,1,1,1,1,1,0,9,2
,United States Senator - Republican,,Member Of The - Republican State Committee 1st Congressional District,,,,1,3
,Jim Christiana,Lou Barletta,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,3
Jim Christiana,1,0,0,0,0,0,3,3
Lou Barletta,,0,0,0,0,0,4,3
Christopher M Vogler,,,0,0,0,0,5,3
Maria Digiorgio Mccolgan,,,,0,0,0,6,3
Michael A Cibik,,,,,0,0,7,3
Theresa A Dintino,,,,,,0,8,3
Total,1,0,0,0,0,0,9,3
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,4
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Jim Christiana,Lou Barletta,2,4
Christopher M Vogler,0,1,1,1,0,0,3,4
Maria Digiorgio Mccolgan,,0,1,1,0,0,4,4
Michael A Cibik,,,0,1,0,0,5,4
Theresa A Dintino,,,,0,0,0,6,4
Jim Christiana,,,,,0,0,7,4
Lou Barletta,,,,,,0,8,4
Total,1,1,1,1,0,0,9,4
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,5
,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Jim Christiana,Lou Barletta,2,5
Michael A Cibik,1,2,2,2,1,0,3,5
Christopher M Vogler,,0,2,2,1,0,4,5
Maria Digiorgio Mccolgan,,,0,2,1,0,5,5
Theresa A Dintino,,,,0,1,0,6,5
Jim Christiana,,,,,1,0,7,5
Lou Barletta,,,,,,0,8,5
Total,3,2,2,2,2,0,9,5
,Member Of The - Republican State Committee 1st Congressional District,,,,United States Senator - Republican,,1,10
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Jim Christiana,Lou Barletta,2,10
Maria Digiorgio Mccolgan,0,2,2,2,2,1,3,10
Christopher M Vogler,,0,2,2,2,0,4,10
Michael A Cibik,,,0,2,2,0,5,10
Theresa A Dintino,,,,0,2,0,6,10
Jim Christiana,,,,,0,0,7,10
Lou Barletta,,,,,,1,8,10
Total,3,2,2,2,2,2,9,10
