V1,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In Lieutenant Governor - Republican,division
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,All
Kathy Coder,79,0,0,0,0,All
Jeff Bartos,,0,77,0,0,All
Diana Irey Vaughan,,58,,0,0,All
Peg Luksik,,,,8,0,All
Write In,,,,,0,All
Total,79,58,77,8,0,All
1,2,4,3,5,6,All
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,1
Kathy Coder,5,0,0,0,0,1
Diana Irey Vaughan,,3,0,0,0,1
Jeff Bartos,,,1,0,0,1
Peg Luksik,,,,0,0,1
Write In,,,,,0,1
Total,5,3,1,0,0,1
1,2,3,4,5,6,1
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,2
Diana Irey Vaughan,0,2,0,0,0,2
Jeff Bartos,0,,2,0,0,2
Kathy Coder,2,,,0,0,2
Peg Luksik,,,,1,0,2
Write In,,,,,0,2
Total,2,2,2,1,0,2
1,4,2,3,5,6,2
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,3
Kathy Coder,7,0,0,0,0,3
Jeff Bartos,,0,3,0,0,3
Diana Irey Vaughan,,1,,0,0,3
Peg Luksik,,,,1,0,3
Write In,,,,,0,3
Total,7,1,3,1,0,3
1,2,4,3,5,6,3
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,4
