col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,All
,Joseph Giedemann,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,2,All
Joseph Giedemann,0,11,13,9,11,3,All
Linwood Holland,,4,10,6,6,4,All
Camille G Mccolgan,,,1,8,7,5,All
Margaret L Recupido,,,,4,4,6,All
Dan Tinney,,,,,1,7,All
Total,17,16,15,13,12,8,All
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,3
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,3
Camille G Mccolgan,0,4,4,2,2,3,3
Joseph Giedemann,,0,4,2,2,4,3
Margaret L Recupido,,,0,2,2,5,3
Dan Tinney,,,,0,0,6,3
Linwood Holland,,,,,0,7,3
Total,4,4,4,2,2,8,3
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,4
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,4
Margaret L Recupido,1,0,0,0,0,3,4
Camille G Mccolgan,,0,0,0,0,4,4
Dan Tinney,,,0,0,0,5,4
Joseph Giedemann,,,,0,0,6,4
Linwood Holland,,,,,0,7,4
Total,1,0,0,0,0,8,4
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,5
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,5
Linwood Holland,1,0,0,0,0,3,5
Margaret L Recupido,,1,0,0,0,4,5
Camille G Mccolgan,,,0,0,0,5,5
Dan Tinney,,,,0,0,6,5
Joseph Giedemann,,,,,0,7,5
Total,1,1,0,0,0,8,5
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,9
,Dan Tinney,Joseph Giedemann,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,2,9
Dan Tinney,0,1,0,0,0,3,9
Joseph Giedemann,,0,0,0,0,4,9
Camille G Mccolgan,,,0,0,0,5,9
Linwood Holland,,,,0,0,6,9
Margaret L Recupido,,,,,0,7,9
Total,1,1,0,0,0,8,9
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,10
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,10
Camille G Mccolgan,0,1,1,1,0,3,10
Joseph Giedemann,,0,1,1,0,4,10
Linwood Holland,,,0,1,0,5,10
Margaret L Recupido,,,,0,0,6,10
Dan Tinney,,,,,0,7,10
Total,1,1,1,1,0,8,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,11
,Linwood Holland,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,2,11
Linwood Holland,1,1,1,1,0,3,11
Camille G Mccolgan,,0,1,1,0,4,11
Joseph Giedemann,,,0,1,0,5,11
Margaret L Recupido,,,,0,0,6,11
Dan Tinney,,,,,0,7,11
Total,2,1,1,1,0,8,11
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Linwood Holland,2,14
Camille G Mccolgan,0,1,1,1,1,3,14
Margaret L Recupido,,1,1,1,0,4,14
Dan Tinney,,,0,1,0,5,14
Joseph Giedemann,,,,0,0,6,14
Linwood Holland,,,,,0,7,14
Total,2,2,1,1,1,8,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,15
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,15
Camille G Mccolgan,0,1,1,1,0,3,15
Dan Tinney,,0,1,1,0,4,15
Joseph Giedemann,,,0,1,0,5,15
Linwood Holland,,,,0,0,6,15
Margaret L Recupido,,,,,0,7,15
Total,1,1,1,1,0,8,15
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,19
,Dan Tinney,Joseph Giedemann,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,2,19
Dan Tinney,0,3,3,2,0,3,19
Joseph Giedemann,,0,3,2,0,4,19
Linwood Holland,,,0,2,0,5,19
Camille G Mccolgan,,,,0,0,6,19
Margaret L Recupido,,,,,1,7,19
Total,3,3,3,2,1,8,19
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,25
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,25
Linwood Holland,2,0,0,0,0,3,25
Camille G Mccolgan,,1,0,0,0,4,25
Dan Tinney,,,0,0,0,5,25
Joseph Giedemann,,,,0,0,6,25
Margaret L Recupido,,,,,0,7,25
Total,2,1,0,0,0,8,25
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,26
,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,2,26
Dan Tinney,1,2,1,1,0,3,26
Joseph Giedemann,,0,1,1,0,4,26
Linwood Holland,,,0,1,0,5,26
Margaret L Recupido,,,,0,0,6,26
Camille G Mccolgan,,,,,0,7,26
Total,3,2,1,1,0,8,26
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,27
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,27
Camille G Mccolgan,0,1,1,1,0,3,27
Dan Tinney,,0,1,1,0,4,27
Joseph Giedemann,,,0,1,0,5,27
Linwood Holland,,,,0,0,6,27
Margaret L Recupido,,,,,0,7,27
Total,1,1,1,1,0,8,27
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,28
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,28
Camille G Mccolgan,0,2,1,1,0,3,28
Joseph Giedemann,,0,1,1,0,4,28
Linwood Holland,,,0,1,0,5,28
Margaret L Recupido,,,,0,0,6,28
Dan Tinney,,,,,0,7,28
Total,2,2,1,1,0,8,28
