col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 173rd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Mike Driscoll,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,All
Mike Driscoll,45,125,125,116,95,89,80,69,53,54,All
Meagan Ingerson,,4,85,85,83,70,65,55,43,43,All
Mona Getzes Cohen,,,1,76,74,63,57,46,36,42,All
James Harrity,,,,2,80,74,70,53,42,46,All
Erica Vanstone,,,,,0,75,70,59,50,50,All
Richard Lombardo,,,,,,0,68,52,39,44,All
Frank T Brzozowski,,,,,,,1,44,33,37,All
Catherine Bartch,,,,,,,,0,39,34,All
Marnie Aument Loughrey,,,,,,,,,1,28,All
Billy Cortes,,,,,,,,,,1,All
Total,253,132,128,121,98,93,84,72,57,56,All
