col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Tom Wolf,Dwight Evans,Kevin Johnson,2,All
Tom Wolf,100,"2,139",437,3,All
Dwight Evans,,88,0,4,All
Kevin Johnson,,,33,5,All
Total,"2,676","2,227",470,6,All
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Tom Wolf,Dwight Evans,Kevin Johnson,2,1
Tom Wolf,2,63,8,3,1
Dwight Evans,,4,0,4,1
Kevin Johnson,,,0,5,1
Total,73,67,8,6,1
,Representative In Congress 3rd District - Democrat,,Governor - Democrat,1,2
,Dwight Evans,Kevin Johnson,Tom Wolf,2,2
Dwight Evans,12,0,82,3,2
Kevin Johnson,,1,8,4,2
Tom Wolf,,,2,5,2
Total,94,9,92,6,2
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Tom Wolf,Dwight Evans,Kevin Johnson,2,3
Tom Wolf,1,54,8,3,3
Dwight Evans,,3,0,4,3
Kevin Johnson,,,1,5,3
Total,63,57,9,6,3
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Tom Wolf,Dwight Evans,Kevin Johnson,2,4
Tom Wolf,2,178,19,3,4
Dwight Evans,,5,0,4,4
Kevin Johnson,,,3,5,4
Total,199,183,22,6,4
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Tom Wolf,Dwight Evans,Kevin Johnson,2,5
Tom Wolf,3,80,14,3,5
Dwight Evans,,7,0,4,5
Kevin Johnson,,,2,5,5
Total,97,87,16,6,5
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Tom Wolf,Dwight Evans,Kevin Johnson,2,6
Tom Wolf,3,46,10,3,6
Dwight Evans,,1,0,4,6
Kevin Johnson,,,0,5,6
Total,59,47,10,6,6
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Tom Wolf,Dwight Evans,Kevin Johnson,2,7
Tom Wolf,3,73,5,3,7
Dwight Evans,,1,0,4,7
Kevin Johnson,,,1,5,7
Total,81,74,6,6,7
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Tom Wolf,Dwight Evans,Kevin Johnson,2,8
Tom Wolf,3,82,8,3,8
Dwight Evans,,4,0,4,8
Kevin Johnson,,,1,5,8
Total,93,86,9,6,8
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Tom Wolf,Dwight Evans,Kevin Johnson,2,9
Tom Wolf,6,47,8,3,9
Dwight Evans,,3,0,4,9
Kevin Johnson,,,0,5,9
Total,61,50,8,6,9
