V1,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Write In,division
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Write In,All
Kathi Cozzone,,,,10,0,0,10
Ray Sosa,,,,,2,0,10
Write In,,,,,,1,10
Total,11,11,37,10,2,1,10
John Fetterman,0,0,75,0,0,0,11
Mike Stack,33,0,,0,0,0,11
Nina Ahmad,,31,,0,0,0,11
Kathi Cozzone,,,,24,0,0,11
Ray Sosa,,,,,4,0,11
Write In,,,,,,1,11
Total,33,31,75,24,4,1,11
Mike Stack,36,0,0,0,0,0,12
Kathi Cozzone,,0,0,20,0,0,12
John Fetterman,,0,18,,0,0,12
Nina Ahmad,,14,,,0,0,12
Ray Sosa,,,,,2,0,12
Write In,,,,,,1,12
Total,36,14,18,20,2,1,12
John Fetterman,0,0,26,0,0,0,13
Mike Stack,11,0,,0,0,0,13
Kathi Cozzone,,0,,10,0,0,13
Nina Ahmad,,8,,,0,0,13
Ray Sosa,,,,,1,0,13
Write In,,,,,,1,13
Total,11,8,26,10,1,1,13
Mike Stack,24,0,0,0,0,0,14
Nina Ahmad,,18,0,0,0,0,14
John Fetterman,,,11,0,0,0,14
Kathi Cozzone,,,,11,0,0,14
Ray Sosa,,,,,2,0,14
Write In,,,,,,1,14
Total,24,18,11,11,2,1,14
John Fetterman,0,0,34,0,0,0,15
Kathi Cozzone,0,0,,32,0,0,15
Mike Stack,30,0,,,0,0,15
Nina Ahmad,,26,,,0,0,15
Ray Sosa,,,,,2,0,15
Write In,,,,,,1,15
Total,30,26,34,32,2,1,15
John Fetterman,0,0,46,0,0,0,16
Nina Ahmad,0,43,,0,0,0,16
Mike Stack,35,,,0,0,0,16
Kathi Cozzone,,,,16,0,0,16
Ray Sosa,,,,,2,0,16
Write In,,,,,,1,16
Total,35,43,46,16,2,1,16
John Fetterman,0,0,25,0,0,0,17
Mike Stack,23,0,,0,0,0,17
Nina Ahmad,,20,,0,0,0,17
Kathi Cozzone,,,,8,0,0,17
Ray Sosa,,,,,1,0,17
Write In,,,,,,1,17
Total,23,20,25,8,1,1,17
Mike Stack,28,0,0,0,0,0,18
Nina Ahmad,,21,0,0,0,0,18
John Fetterman,,,14,0,0,0,18
Kathi Cozzone,,,,11,0,0,18
Ray Sosa,,,,,1,0,18
Write In,,,,,,1,18
Total,28,21,14,11,1,1,18
Mike Stack,22,0,0,0,0,0,19
Nina Ahmad,,18,0,0,0,0,19
John Fetterman,,,9,0,0,0,19
Kathi Cozzone,,,,7,0,0,19
Ray Sosa,,,,,2,0,19
Write In,,,,,,1,19
Total,22,18,9,7,2,1,19
Nina Ahmad,0,25,0,0,0,0,20
John Fetterman,0,,23,0,0,0,20
Mike Stack,22,,,0,0,0,20
Kathi Cozzone,,,,15,0,0,20
Ray Sosa,,,,,4,0,20
Write In,,,,,,1,20
Total,22,25,23,15,4,1,20
Mike Stack,34,0,0,0,0,0,21
Kathi Cozzone,,0,0,18,0,0,21
Nina Ahmad,,11,0,,0,0,21
John Fetterman,,,8,,0,0,21
Ray Sosa,,,,,1,0,21
Write In,,,,,,1,21
Total,34,11,8,18,1,1,21
Nina Ahmad,0,53,0,0,0,0,22
Mike Stack,45,,0,0,0,0,22
John Fetterman,,,34,0,0,0,22
Kathi Cozzone,,,,24,0,0,22
Ray Sosa,,,,,3,0,22
Write In,,,,,,1,22
Total,45,53,34,24,3,1,22
John Fetterman,0,0,94,0,0,0,23
Nina Ahmad,0,54,,0,0,0,23
Mike Stack,36,,,0,0,0,23
Kathi Cozzone,,,,13,0,0,23
Ray Sosa,,,,,3,0,23
Write In,,,,,,1,23
Total,36,54,94,13,3,1,23
John Fetterman,0,0,22,0,0,0,24
Nina Ahmad,0,22,,0,0,0,24
Kathi Cozzone,0,,,16,0,0,24
Mike Stack,16,,,,0,0,24
Ray Sosa,,,,,2,0,24
Write In,,,,,,1,24
Total,16,22,22,16,2,1,24
