col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,2,All
Bob Casey Jr,170,226,169,161,153,146,143,145,126,125,3,All
James Harrity,,11,96,101,131,119,121,127,120,114,4,All
Meagan Ingerson,,,9,99,58,48,51,57,43,39,5,All
Mona Getzes Cohen,,,,14,60,50,47,57,41,40,6,All
Richard Lombardo,,,,,1,111,112,125,112,105,7,All
Billy Cortes,,,,,,3,110,107,105,106,8,All
Catherine Bartch,,,,,,,2,115,97,113,9,All
Erica Vanstone,,,,,,,,0,111,101,10,All
Frank T Brzozowski,,,,,,,,,0,91,11,All
Marnie Aument Loughrey,,,,,,,,,,0,12,All
Total,569,253,185,185,159,158,153,150,134,132,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,James Harrity,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,2,1
Bob Casey Jr,15,10,7,7,6,5,5,4,3,3,3,1
James Harrity,,0,6,5,6,6,6,5,3,3,4,1
Erica Vanstone,,,0,4,3,4,5,4,4,4,5,1
Meagan Ingerson,,,,0,4,3,3,3,2,2,6,1
Mona Getzes Cohen,,,,,0,5,3,3,1,1,7,1
Billy Cortes,,,,,,0,4,4,2,2,8,1
Catherine Bartch,,,,,,,0,5,2,2,9,1
Marnie Aument Loughrey,,,,,,,,0,2,2,10,1
Frank T Brzozowski,,,,,,,,,0,4,11,1
Richard Lombardo,,,,,,,,,,0,12,1
Total,29,11,8,7,7,6,6,5,4,4,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Billy Cortes,Richard Lombardo,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,2,2
Bob Casey Jr,11,16,13,13,7,6,5,5,4,3,3,2
James Harrity,,4,9,10,4,4,4,4,4,3,4,2
Meagan Ingerson,,,0,8,4,3,4,4,3,2,5,2
Mona Getzes Cohen,,,,0,3,3,2,2,2,2,6,2
Billy Cortes,,,,,0,4,4,4,4,2,7,2
Richard Lombardo,,,,,,0,3,3,3,3,8,2
Catherine Bartch,,,,,,,0,5,3,2,9,2
Erica Vanstone,,,,,,,,0,3,2,10,2
Marnie Aument Loughrey,,,,,,,,,0,2,11,2
Frank T Brzozowski,,,,,,,,,,0,12,2
Total,36,20,13,13,7,6,5,5,4,3,13,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Bob Casey Jr,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,2,3
Bob Casey Jr,8,4,4,3,1,1,1,0,0,0,3,3
Meagan Ingerson,,2,1,1,0,1,1,0,0,0,4,3
James Harrity,,,0,0,0,0,0,0,0,0,5,3
Mona Getzes Cohen,,,,0,0,1,1,0,0,0,6,3
Billy Cortes,,,,,0,0,0,0,0,0,7,3
Catherine Bartch,,,,,,0,1,0,0,0,8,3
Erica Vanstone,,,,,,,0,0,0,0,9,3
Frank T Brzozowski,,,,,,,,0,0,0,10,3
Marnie Aument Loughrey,,,,,,,,,0,0,11,3
Richard Lombardo,,,,,,,,,,0,12,3
Total,18,6,4,3,1,1,1,0,0,0,13,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Bob Casey Jr,Meagan Ingerson,Billy Cortes,James Harrity,Mona Getzes Cohen,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,2,4
Bob Casey Jr,4,6,4,3,3,2,2,1,1,1,3,4
Meagan Ingerson,,0,2,3,2,2,2,1,1,1,4,4
Billy Cortes,,,0,1,1,2,1,0,1,0,5,4
James Harrity,,,,0,2,1,2,1,1,1,6,4
Mona Getzes Cohen,,,,,0,1,2,1,1,1,7,4
Frank T Brzozowski,,,,,,0,1,0,1,0,8,4
Richard Lombardo,,,,,,,0,1,1,1,9,4
Catherine Bartch,,,,,,,,0,0,1,10,4
Erica Vanstone,,,,,,,,,0,0,11,4
