col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Bob Casey Jr,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,All
Bob Casey Jr,"124,591","5,916","5,448","5,202","4,769","4,218","4,202","3,747","3,505","3,341",All
James Harrity,,103,"3,454","3,542","3,710","3,140","3,525","3,174","2,728","2,779",All
Mona Getzes Cohen,,,162,"3,871","3,023","2,431","2,430","2,051","1,920","1,829",All
Meagan Ingerson,,,,96,"3,220","2,543","2,496","2,187","2,055","1,834",All
Erica Vanstone,,,,,15,"3,534","3,554","3,212","3,037","2,883",All
Catherine Bartch,,,,,,38,"2,960","2,595","2,919","2,528",All
Richard Lombardo,,,,,,,19,"3,104","2,564","2,707",All
Frank T Brzozowski,,,,,,,,20,"2,307","2,395",All
Marnie Aument Loughrey,,,,,,,,,6,"2,255",All
Billy Cortes,,,,,,,,,,8,All
Total,"134,245","6,230","5,788","5,481","4,964","4,425","4,384","3,921","3,651","3,466",All
