col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Rhea Powell,Marylouise Isaacson,Andi Perez,Amanda Mcillmurray,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Tom Young,Jon Geeting,Judi Golding Baker,Noam Kugelmass,Joe Celentano,Matthew D Myers,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,All
Rhea Powell,6,604,590,608,536,377,502,438,375,440,445,381,197,324,378,159,138,4,3,All
Marylouise Isaacson,,3,532,563,517,428,512,412,274,399,350,261,241,257,309,191,79,6,4,All
Andi Perez,,,4,471,486,406,485,412,354,332,349,299,233,271,300,185,69,12,5,All
Amanda Mcillmurray,,,,0,434,350,479,339,302,418,343,275,195,256,306,128,78,8,6,All
Micah Mahjoubian,,,,,3,358,423,405,252,304,352,294,222,230,266,175,84,2,7,All
Darrell L Clarke,,,,,,9,361,284,259,269,195,160,242,203,223,203,39,6,8,All
Mariel J K Martin,,,,,,,1,341,215,347,280,219,240,217,251,166,56,5,9,All
Tom Young,,,,,,,,5,246,204,305,296,224,184,189,218,87,1,10,All
Jon Geeting,,,,,,,,,2,189,202,228,123,252,213,96,35,8,11,All
Judi Golding Baker,,,,,,,,,,1,234,173,152,175,229,86,53,4,12,All
Noam Kugelmass,,,,,,,,,,,1,270,116,168,198,102,73,5,13,All
Joe Celentano,,,,,,,,,,,,2,100,154,167,116,62,3,14,All
Matthew D Myers,,,,,,,,,,,,,0,94,100,134,23,6,15,All
John Fetterman,,,,,,,,,,,,,,104,0,0,0,0,16,All
Nina Ahmad,,,,,,,,,,,,,,,93,0,0,0,17,All
Mike Stack,,,,,,,,,,,,,,,,54,0,0,18,All
Kathi Cozzone,,,,,,,,,,,,,,,,,18,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,4,20,All
Total,"1,015",870,849,787,769,706,703,688,611,553,552,510,360,647,621,447,207,20,21,All
