col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Michele Lawrence,Brendan F Boyle,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,All
Michele Lawrence,101,0,293,277,258,223,187,148,138,140,143,3,All
Brendan F Boyle,,107,123,137,133,135,92,85,84,80,79,4,All
Jaime Bouldin,,,11,287,302,225,222,210,201,203,209,5,All
Humberto Perez,,,,5,319,255,237,216,204,205,208,6,All
David Rodriguez,,,,,10,240,230,212,205,208,213,7,All
Barbara Carroll,,,,,,23,256,230,212,212,214,8,All
Sharon Vaughn,,,,,,,9,225,211,214,217,9,All
Latrice Y Bryant,,,,,,,,2,210,213,201,10,All
Robert Taylor,,,,,,,,,1,206,197,11,All
Jonathan M Gary,,,,,,,,,,0,196,12,All
Dustin Morris,,,,,,,,,,,0,13,All
Total,600,342,439,435,418,396,299,247,234,233,230,14,All
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Michele Lawrence,Brendan F Boyle,Humberto Perez,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,1
Michele Lawrence,2,0,16,12,10,8,6,5,5,5,5,3,1
Brendan F Boyle,,1,4,5,6,1,1,3,1,1,1,4,1
Humberto Perez,,,2,13,14,6,7,6,6,6,6,5,1
Jaime Bouldin,,,,0,13,6,5,7,6,6,6,6,1
David Rodriguez,,,,,0,6,5,7,6,6,6,7,1
Sharon Vaughn,,,,,,1,5,6,6,6,6,8,1
Barbara Carroll,,,,,,,0,5,5,5,5,9,1
Latrice Y Bryant,,,,,,,,0,6,6,6,10,1
Dustin Morris,,,,,,,,,0,6,6,11,1
Jonathan M Gary,,,,,,,,,,0,6,12,1
